abmient_temperature_c,vibration,pressure_bar,cooling_temp_c,speed_kmph,stress,strain,torque,angular_momentum,force_n
59,-0.860262452,1.723696276,0.937891372,-0.981899693,-0.190048799,-0.837945172,-0.365750233,-1.118649433,1.692706743
42,0.328301295,0.71301623,-0.853238484,-1.363077668,-0.412263881,0.444083967,-0.097274571,-0.271242071,0.268754128
38,-0.401297805,0.325799614,-0.387313437,-0.77259856,0.178620199,2.723573491,0.275136498,0.335321667,-0.399500033
41,-0.316655295,0.124769521,-0.347584513,-0.283625452,0.781681153,-1.115825123,-1.558889272,0.904281372,-0.300573361
63,0.596906481,-1.012673124,3.306574349,-2.327604043,-0.524640403,-0.22775445,-0.368787577,-2.189012294,0.221637365
41,-0.987286693,-1.027296877,-1.510199644,-2.445227491,-1.381096698,1.331712985,0.746564652,-0.390239299,-0.220489081
62,-0.40123471,0.323356531,0.2035397,-0.715864927,0.945476184,-0.492145821,0.327953651,-1.21585737,0.690276315
58,-0.800082476,-1.369391124,-2.084432135,0.883396842,-1.36169108,1.359046074,0.150096962,-1.468087847,-1.416999362
55,-1.043129498,-0.766327599,-0.006937441,-1.300439857,0.534987631,1.08477266,0.671277898,-0.274804891,-0.815186385
49,-0.857078189,1.28151134,1.909890562,-0.076339084,-0.095959297,0.015616021,-0.398021347,0.875046406,-1.990480182
39,0.677462169,1.914229697,-0.408455432,1.430556816,-0.896406884,-0.17342825,-0.800105131,-1.008340616,0.442397256
38,0.051820389,-1.665956077,1.104554421,-1.323408583,1.387181436,0.940284041,-0.553788858,-0.464784969,0.670680112
41,-0.879160629,1.626649562,-0.066115226,-0.438356166,0.997393061,-0.777464254,0.71331172,-0.186598463,0.718526488
57,-0.231101608,-0.211438291,-0.422498717,-0.743152481,0.576467637,0.760896492,0.890694859,-2.088946445,-0.2972774
55,-1.638807307,-0.015005087,-0.251656359,0.891967582,0.440000838,1.401752612,0.004502263,-0.560087096,1.110876427
67,-0.733312808,-0.113411631,-0.586902645,0.463872765,0.475470104,1.231653333,-0.985396168,-1.348681522,-0.817700049
52,2.149574535,1.080544127,-0.626058272,0.617660847,-0.983577336,1.001158121,-0.178278921,-0.364170201,-0.575486659
60,-0.09024385,-1.607676579,-1.330194412,2.496417063,-0.561993712,-0.978051572,0.923813151,1.179397988,1.197757222
46,0.731658927,0.456163611,1.506800729,1.629475223,-1.641003219,0.677956019,0.714544076,0.199718768,-2.62814945
40,-0.065488375,-0.944870197,-0.393076396,-0.099044702,0.292282737,-0.069464071,-1.021254008,1.686534303,1.586740434
56,0.348169235,0.570788529,0.293774311,-0.201991955,1.433104891,-1.057361033,0.232298969,-1.075230311,1.416104285
45,0.66325809,1.542796338,-0.876531851,-1.448825889,-0.383711301,-0.140120954,-0.154916555,0.581157208,0.767168809
46,-1.104616598,-0.000417326,1.116990559,-1.714164687,0.237492592,-1.433495224,-0.399993388,0.302373069,0.165838054
53,-0.030936257,0.374155086,-0.273555778,-0.049641571,-0.532755167,-0.179081216,-2.658387132,-0.594945386,0.815072608
61,1.578865194,0.409551778,-0.091032668,-1.299395463,-0.471179843,-0.123042636,-1.003428963,1.383429851,-1.627732791
63,-0.79550055,-0.7995935,-1.828976635,0.625355429,-0.340084529,0.538195379,1.389283785,0.326089274,0.30031881
69,-0.566439854,1.51163935,0.395976211,-0.791719288,-1.463205664,1.065478093,-0.071351748,-1.504525761,1.333678979
57,-0.307691277,1.706468247,1.811505705,-0.582943395,1.138598256,-1.401320168,0.138888105,-0.611864056,0.829296221
43,0.269024073,0.701783372,-0.869077586,-1.552680541,-0.00502483,-1.32760373,-0.096762258,0.198676495,-0.484893087
62,0.524917864,0.073285432,-0.458229154,2.110153524,0.971587697,-2.046315888,0.4031153,1.094609448,0.161825878
63,1.267411655,-0.461893815,-1.138323958,0.758829549,0.302341224,0.838533613,0.628149196,0.982795115,-0.584978179
64,0.499498233,-0.626490223,0.129162174,-0.709930241,-0.806235706,-0.686931053,0.567997256,-0.06806019,-0.696728391
61,-0.062053126,1.710836583,0.064024198,0.151147032,-0.316911948,-0.562013196,1.181980787,-1.045726588,-1.147051641
44,1.25916713,1.414415043,0.705081101,1.323091308,-1.586865203,-0.044288311,0.45870585,-1.746984568,0.71963047
45,0.704111022,-0.063661489,0.551473547,-0.927825074,0.788687084,-0.004736763,1.703775486,-0.595877214,-0.939569335
59,-1.495679516,-1.57993053,-0.812516046,1.906598683,0.137224774,0.684185921,1.510627592,-0.393509959,-1.248522912
35,2.52636824,-2.83201187,0.224948049,-1.032174894,-0.785180525,-2.160270879,0.018814787,0.781985277,0.977257977
64,1.769921388,-1.08342666,-0.328301107,-0.177361483,-1.506570211,-0.197359315,-1.213213632,0.131578794,-0.974969473
36,-0.168214223,-0.130620396,-1.091032977,-1.650378396,-0.576409837,-1.232532666,-1.15953989,1.336569505,-0.919454911
52,0.377910102,1.400689034,-0.126855873,-2.538511126,-1.107288422,1.691839638,-0.996044093,1.213744138,0.155264915
37,1.32435875,-0.651656209,3.801660215,1.010090781,0.135282531,0.531287787,0.182014309,0.432983993,-1.340796164
69,-0.172200793,0.504815456,2.315170634,0.085702092,-1.052777616,0.35196884,-1.258196707,0.77548961,1.057030071
44,0.73035179,1.303180962,0.139826598,-1.73386098,2.052293425,2.172092102,-0.010906274,1.203199816,-0.077869139
48,1.104578474,0.128536317,1.738857208,-1.640601205,0.985308919,-0.146206911,1.22037557,-0.492107139,1.70382995
55,-1.014825908,-0.142447869,-0.045383364,1.1453614,-0.372840118,0.896195,0.620079798,3.019669596,-0.273920762
66,-0.602331854,-1.308763514,-0.053138339,-0.150595109,-1.486235803,-1.461201246,-0.203399623,0.602455931,-0.310247554
68,0.921408398,-1.202475308,-1.949571788,1.431443247,-0.111661377,0.201411987,-0.05977961,0.227730995,-1.754890475
42,0.460814477,0.416099634,-0.960105566,0.636586768,-1.959615355,2.274656007,-1.11216507,0.5269126,0.419147169
43,0.92379656,-0.200907533,-0.783499264,-0.066562848,1.060701248,0.498010838,0.369879868,-0.151645532,1.282593112
63,-0.132568015,0.122531318,0.107519032,0.032329981,0.791297948,-0.751855,0.242988318,-0.258884768,-0.529666638
63,-0.289005211,-0.047277716,0.013984535,-0.555073647,1.448644745,-0.975596039,-1.4556867,-0.524534133,1.029458837
35,-1.998639476,0.664144049,-0.578942351,0.097786109,-0.556654509,-1.573866355,0.204595766,0.271712815,0.152770677
57,-1.146000427,-0.784687411,-0.5888132,-0.060984982,0.805564349,0.44363748,0.236297566,-0.887486996,-0.858043344
58,0.047066095,-0.335580644,-0.166153136,0.837516673,1.384040949,0.861051662,-0.208656273,-0.896464009,0.466065306
63,0.82455722,1.896182229,-1.381411651,-0.163418441,-0.435664696,0.127106172,-0.818601009,-0.196866642,0.271053236
43,0.531178367,-0.799786138,-0.61263856,0.823555492,-0.733841832,-0.811346654,-0.272065446,0.091197618,-0.757339318
54,-0.128241974,-0.281575431,-0.38128987,0.920632291,1.348113189,0.241820535,-0.545854515,-0.887303571,1.708581922
44,-0.271771566,-0.589386702,-1.248948933,0.180762607,0.145476426,-0.686742811,-1.291390314,-1.868182184,0.259353294
53,0.217179633,0.444781362,-0.330237893,-1.312968334,0.425297885,1.220734705,1.241292143,-0.076098149,0.272731522
47,0.078211181,1.022392322,-0.834807164,-0.160476706,-0.088039822,-0.410869032,1.495335815,-0.780596856,0.030509631
53,1.404545515,-0.498211619,1.235382392,-1.906074646,-1.248473474,-0.882769042,-0.221428156,0.480244263,0.654318166
37,0.14644077,-0.431414341,-0.243803797,-1.206621621,1.104597222,-0.54562849,0.508897113,0.032036503,0.717641602
39,-1.481245962,-0.278981605,-0.189545668,0.730418333,-2.029385923,0.386800142,-1.547735978,-0.706707206,-0.272500601
56,-1.272558135,0.529833783,0.428028107,0.494892789,0.997975918,-1.230491275,-0.734109119,-0.463154975,1.164631783
58,1.518759337,-0.739395303,0.556968317,-0.003208878,-0.279238468,0.667029311,-0.061784784,-1.173543746,-0.188618753
42,-1.171160461,-0.375959966,-1.736241804,-0.302433157,-0.187632452,-0.27126113,-0.916700156,0.544523945,0.654836222
50,0.764497453,-2.372193872,-0.376784109,-0.739400946,-0.532540795,0.081820171,1.748294394,-1.301709974,0.7484856
52,-0.268372735,-1.381745009,-0.909032326,-0.512812083,0.526850443,-0.129965856,0.611357954,0.369976282,1.559614387
55,-0.169758294,-0.112443756,-0.145170244,0.965251517,0.408745019,2.264058838,0.124471581,-0.085002106,-1.260884417
38,-0.134132783,0.897864173,-0.536332521,0.476679257,1.611498491,-0.169505367,-1.765469554,-0.723702264,-0.630416045
37,1.221384959,0.295075783,0.157069463,-1.371216494,-0.184072239,0.845225425,-0.813155738,-0.746459266,0.632117716
36,-0.192841829,-1.098768457,-0.980459246,0.198852843,-0.182061111,2.453228994,-0.226672153,0.250955705,0.291215455
70,-0.033319283,-1.400256208,-0.567767242,0.13996283,-0.353795181,0.425752298,-0.243316453,-2.124690525,-0.831264101
38,-1.530803497,0.174680093,-0.591159669,1.648673473,0.103931106,1.847595858,-0.958661835,1.672370259,-0.209090882
61,0.206690512,-1.652803642,1.08259137,-1.757551749,-0.448980529,0.097454755,-0.35982573,-0.716987897,-0.705121659
66,0.531042507,1.065926819,0.368003659,-0.783129539,1.155266385,0.796706636,-0.178670209,-0.534827101,-1.557159339
50,0.239145581,0.063896192,0.368888708,0.973625836,1.370400142,-0.588708077,-1.854959586,0.357595612,1.740083315
46,1.397896261,-1.607320159,-0.286318281,-1.110932224,-1.922386113,-1.112178928,0.48282022,-0.239538854,-1.174703823
45,0.055171355,-0.965953859,-0.384717852,2.385621632,-1.288860719,-0.968771041,-0.237414817,1.992325857,-0.372501193
52,0.298977456,-0.724311319,0.561002888,-1.178944222,-1.018783533,-0.024155112,-0.223484951,0.198204776,-0.363797876
70,1.64850401,-0.77319251,0.777433934,0.029122145,0.661616331,0.285738405,-0.792811795,-1.46302723,0.485246444
66,-1.550014189,-1.489933008,0.015146786,0.559547558,-0.892038531,-1.116903127,-0.008800357,-0.505329093,-1.667911974
47,-0.455825348,-0.874662522,1.141647945,0.881037143,0.551889392,-1.37835633,-0.113838595,0.86505187,-0.409245212
48,1.426158752,-0.684401556,1.274155028,0.715208485,1.371329968,-1.87672812,-1.161303357,-1.30657958,0.487461991
39,0.936129148,-0.711285756,-1.664698039,-0.462077536,0.770885439,2.126709162,0.557974637,-0.652815484,-0.068512667
49,0.678380099,1.127956625,0.430378885,0.913207006,-1.044818254,0.107593216,-1.19641498,1.701400286,-0.234880615
57,0.832650739,0.104827803,-0.042601928,-0.754652488,-1.199904463,-2.145268174,1.276102268,0.220198402,0.182834907
59,0.327066209,-0.993257217,0.388288814,-0.534977143,-2.668061349,-0.009091063,-0.542850665,-1.61760356,1.025346109
62,1.631597428,-0.334621606,1.115976528,0.456642461,0.490012075,-0.159270841,-0.767608226,-0.585816304,-0.395236876
48,0.37775917,-0.879557097,-0.920538163,1.509576958,-1.255038975,-1.377173468,-2.038021519,0.34617477,-1.076744099
62,0.239867106,-0.300006659,-1.620274102,-0.228171237,0.042394365,1.159311547,-0.837418088,1.792517598,-0.453094066
48,0.158958674,0.875509153,1.106191473,-0.890341532,0.230788187,-0.457362458,1.807692736,-0.865865734,-0.504675425
56,0.192863956,0.252270781,-0.998484645,1.209771907,-1.309774407,0.041293259,0.6725515,0.019423511,-0.490937152
62,-1.157017281,2.285601182,-0.686219514,-1.264800032,0.943392736,-0.284312327,-0.41438219,-0.247278963,-0.383363534
36,0.770673054,0.375927426,0.204620893,1.838181489,-1.035966666,0.046385413,0.019058792,-0.983015761,-1.825499203
67,-0.130439734,-0.91359451,-0.686101821,-0.984082688,-0.594155961,1.017532938,0.625417094,-1.246017026,-1.102243024
49,1.821915098,0.809740731,-1.592210628,0.640948447,-1.182275708,0.605670655,-0.28203254,-1.401188547,0.356925997
70,-0.075650471,1.079931217,0.034189767,0.926691226,0.049039646,-0.451886828,0.874876727,-2.340386385,-0.224372226
70,0.420918284,1.094166991,-0.781484659,0.785034054,-0.664643672,1.575488158,-0.516302383,-0.789250051,-1.788518477
47,0.246602186,-1.094240953,0.597859878,0.227002638,2.270058792,1.540193088,-1.089865507,-0.187877868,0.982221721
63,-0.625557035,-0.147637415,-0.506076556,0.049529552,-0.64359406,-1.463202599,0.127573819,-0.02410798,-1.402539429
41,0.992136829,1.131811957,-0.688446139,-1.653180501,0.186373822,-1.114549489,-0.139526917,-1.237436231,0.821340703
68,1.905063641,-1.684728959,-0.210000539,-0.780819638,-0.280314759,-0.611164229,-1.55751233,0.44449307,0.386977231
64,-0.01477722,-0.499416761,1.052153477,0.724644687,0.886658602,1.525084223,0.424911821,1.446495676,-1.186098321
39,-0.300478786,-1.426937685,0.907904082,0.663369167,0.003909021,-0.182713201,-0.160773994,-0.628073823,-1.205282846
39,-0.355028731,-0.93257023,-1.093226182,-1.037881306,-1.461771323,-0.571921332,1.315239208,0.066763734,-0.153337588
43,-1.892361893,-1.012457153,2.799707649,0.34697902,0.198875933,-0.0339937,-0.766228168,0.685915746,1.831475498
69,-0.177813144,1.250569833,-0.325776325,0.252030989,0.439974919,-0.224142768,-0.141936954,1.852706969,0.815426606
40,0.250998116,-0.234538035,-1.152415729,1.750918842,-1.279135306,-0.155978656,-1.144273724,1.581691225,-1.072418696
53,1.054757925,-0.863355581,0.88823199,-0.41840116,-1.042793746,-1.06963745,0.541940351,0.094387842,0.838428677
37,0.960047741,-1.035605731,-0.361672457,-0.519857268,-0.655607107,-0.793158746,-0.060365238,-0.666795531,-2.099983393
63,-0.416499082,0.141667165,2.153719508,-0.923442968,0.257154209,-0.267161182,0.011580168,0.666044853,0.243681065
56,-0.276822995,-0.011135627,0.847408355,-0.999278471,-0.356809273,1.381575761,-0.426024993,0.532038766,-0.034912508
43,1.123905306,1.344074375,-0.198719846,0.374948362,-2.252246858,1.289161297,-0.869333534,-1.050807799,0.793261345
67,-0.173463897,0.500016696,1.575306878,-0.704341139,-0.760275505,0.915686714,0.332105476,-0.528918545,1.111041848
63,-0.51002954,-1.431797778,0.849115211,1.074703858,1.135155932,0.363326194,-0.223230124,-1.978993792,2.497479812
49,1.392518449,-0.628980708,-1.228895197,-0.627299061,0.63268111,-2.611875576,0.185918009,-0.0936506,-2.838197944
51,1.037585667,1.070072512,0.88839411,1.533995675,0.653863186,1.780367361,0.075559907,-0.553708157,-1.060512436
52,0.018791792,-0.621082698,-0.516487442,0.417725458,-0.056068498,1.11801218,0.481256134,0.157761955,1.058907079
64,-0.593777448,1.734572175,-0.083326285,0.258383626,2.17299592,-0.36931936,0.080554091,0.37143645,0.958560632
49,-2.011880319,-1.098289431,0.131054449,-1.150428563,-0.068730777,-0.648383371,-0.188178446,0.453640682,0.82476181
60,0.589703606,0.572613353,-0.879096012,0.329114186,-0.2313193,0.186072027,-1.311192475,1.136213703,-2.523029
53,-0.896369723,-0.861215553,-1.333342279,0.045521977,-0.472346181,0.044710048,-0.088724413,0.412755786,1.567249942
68,-1.962732009,-0.509595133,0.367784011,0.632082603,-0.398687851,-0.692673385,1.512770114,0.074606816,-0.20268507
46,1.584820527,1.098581648,-1.388233499,-0.510847298,0.78228061,1.493980526,0.573708174,1.472926602,2.03088066
58,0.647967791,-0.127067163,-2.575202627,-1.453629876,-2.084000059,-0.655053409,-0.541003976,-0.052189459,-0.063761226
68,-1.139008193,0.813452245,-0.836105604,0.275221599,-1.185218147,0.249871209,0.10117749,-0.333401468,0.532429328
66,-1.214401383,0.473290595,0.331092421,0.139787247,1.400777645,-1.204251501,0.99455198,-0.224972955,0.965016145
58,0.870961782,0.753865684,-0.269881134,0.243892361,-0.775763536,-0.255289292,0.018713031,-0.517929023,-0.356164715
61,-0.877970617,-0.888188211,1.267130941,1.005650162,-1.127581614,1.08226616,0.255671506,-1.046634804,-2.244160774
67,1.296149868,-0.221574398,0.183753495,-0.939640633,-0.167248412,0.042569645,-0.711177233,0.984865836,0.572133054
67,0.616459313,0.424252618,-0.766309652,-2.381750138,-0.748298561,-0.586913331,1.103841926,-0.099443763,-0.042063203
65,0.536596521,-0.849072873,-0.43958355,0.475027002,0.292870729,-1.948176143,0.749876024,1.741868879,0.833380286
40,0.404695456,1.629500043,-1.436541359,0.40591252,-1.196331835,-0.340991342,-0.690177719,1.131347208,-0.129479903
38,0.191450872,-0.777228042,1.085797225,-0.477056306,1.499101181,-0.354653641,-0.616114341,1.563066991,0.218202325
57,0.880511199,-0.300003577,-1.381100086,0.170598202,-1.310930207,0.733345927,-0.875480764,-1.060207595,0.362545854
58,-0.454080363,-1.006559065,-0.920407632,-1.04778081,-0.083946585,1.32221886,1.383398859,1.666930512,-0.340090286
56,0.085951973,-2.143308065,-0.16028622,-2.106197212,0.055820816,-1.218570939,-1.464259458,-1.478979961,-1.353757131
41,0.751946588,1.796918523,0.002353264,-1.692911448,0.246391976,0.801690551,-1.290574306,-1.90577049,-1.295209417
39,0.562989719,-0.204338937,-1.502650364,0.04236114,-0.060606562,-0.968736248,-1.136987829,0.355273163,0.772378341
35,-1.194986805,-0.447914838,-0.905535795,1.382710415,-0.005779349,1.149337833,-1.81633658,-0.744724398,-0.06484063
59,-0.500409667,-0.198715062,0.265040602,-0.389518388,-0.070002366,-0.436795542,-2.059307297,0.130675932,-1.240076932
41,0.252803505,1.419863972,1.129723359,0.81393791,1.305683518,0.557279085,-1.577349515,0.928736848,1.682794679
52,-0.408014709,-0.965106608,0.349003562,-0.594331971,-0.125398756,1.548829471,-0.180910363,-0.109254049,1.140157608
40,1.774658561,0.679567866,-0.025809762,-0.055439023,0.963553205,-1.703670177,2.633002456,0.35793072,-1.52589696
66,-0.393153195,-0.423788249,-1.562408734,0.796560724,-0.732264828,0.14685858,-0.873853487,0.062054462,0.815926264
70,-0.162218448,-0.596670856,-0.617342347,0.133179885,-0.002418791,1.577394646,0.462649217,0.934129441,-1.195925052
63,0.769430178,0.567058213,0.521494241,-0.541678349,-0.130170386,0.779121639,0.571719781,-1.321741246,-1.550591916
59,0.330532743,0.988240574,1.08094667,-0.865302364,1.00047102,2.165941359,-0.576854908,-0.188784694,-0.603400438
68,-0.145274457,-0.51390295,0.889375908,-0.092528125,-0.586601887,-0.496248066,-0.378127878,0.545002575,-0.608335401
