Car Model,Acceleration,Number of Cylinders,Origin,Curb Weight,Horsepower_bin,MPG_bin,Engine_Displacement_bin,Weight_bin
Ford,15.97664143,8,Japan,3809.358201,>350,30-35,2-3,3500-4000
Audi,7.471010133,6,Germany,3989.587056,>350,30-35,3-4,2500-3000
Audi,10.27033902,8,Japan,2662.999268,>350,<15,<2,2000-2500
Nissan,8.972993867,8,Japan,3446.675268,200-250,30-35,4-5,>5000
Mercedes,10.24792541,4,Japan,3004.659923,>350,15-20,5-6,2500-3000
BMW,15.62486074,8,Germany,3717.487641,>350,<15,3-4,2500-3000
Nissan,10.51770772,4,USA,3631.221977,100-150,40-50,4-5,2000-2500
Chevrolet,13.32894984,8,Japan,3838.777786,250-300,40-50,4-5,>5000
Audi,6.498978156,6,Germany,3015.554316,>350,40-50,<2,4000-4500
Audi,17.0752654,8,Germany,2776.795516,100-150,20-25,5-6,4500-5000
Honda,10.54832938,6,Japan,2532.702516,>350,<15,<2,>5000
BMW,14.72801239,4,USA,2883.260026,>350,35-40,3-4,3000-3500
Mercedes,15.88084402,6,USA,3050.75731,>350,25-30,2-3,4000-4500
Mercedes,8.144913832,8,USA,3919.100479,200-250,<15,<2,2000-2500
Honda,18.27012477,6,Germany,3237.058951,150-200,25-30,3-4,2500-3000
Chevrolet,14.24336377,4,Japan,3334.659256,>350,<15,2-3,>5000
Honda,11.43087713,6,Japan,3820.193143,200-250,40-50,3-4,>5000
Audi,7.735027754,6,Germany,3827.604271,>350,20-25,3-4,3000-3500
BMW,19.13451407,8,Japan,3291.87374,250-300,35-40,<2,3500-4000
Toyota,16.32602306,8,Japan,2670.555248,150-200,20-25,<2,4000-4500
BMW,8.120368441,6,USA,2905.774247,100-150,30-35,3-4,2000-2500
BMW,10.06566162,4,Japan,3185.3323,300-350,30-35,2-3,2500-3000
Nissan,17.14511387,6,Japan,3626.754243,>350,15-20,4-5,2500-3000
Toyota,15.43516495,4,Germany,3567.522622,200-250,40-50,4-5,3000-3500
Toyota,16.48676439,4,Germany,3464.062353,200-250,40-50,4-5,>5000
Toyota,11.61801653,4,USA,3820.36834,200-250,40-50,4-5,3000-3500
BMW,15.74714394,6,Germany,3703.969612,300-350,40-50,3-4,2500-3000
Chevrolet,10.79740584,4,USA,3973.171361,250-300,30-35,4-5,4000-4500
Toyota,8.168943754,6,USA,3833.737781,>350,40-50,2-3,>5000
Ford,14.49015552,4,Japan,2793.484642,300-350,<15,2-3,2500-3000
Honda,19.64020888,4,USA,2586.424848,300-350,15-20,4-5,2000-2500
Chevrolet,9.659014571,6,Japan,3121.766416,150-200,<15,3-4,3000-3500
Ford,11.91454388,8,USA,3426.256676,>350,20-25,4-5,4500-5000
BMW,15.11002057,8,Germany,3464.65525,150-200,25-30,4-5,4000-4500
BMW,13.12259423,6,Germany,2901.269142,100-150,20-25,4-5,>5000
Ford,17.65141694,6,Germany,3789.821447,>350,40-50,5-6,>5000
Nissan,16.4261406,8,USA,2993.869695,300-350,20-25,3-4,>5000
Nissan,5.874458058,8,USA,3878.67191,250-300,20-25,2-3,4000-4500
Ford,19.97631851,8,Japan,3207.402102,250-300,30-35,3-4,3500-4000
Mercedes,16.28603681,6,Japan,2515.585999,>350,15-20,2-3,2000-2500
Nissan,17.95854974,4,Japan,2743.061967,150-200,40-50,3-4,>5000
Honda,14.76796568,6,Japan,2653.478885,>350,<15,4-5,3500-4000
Honda,17.84427692,8,USA,2566.038694,>350,40-50,4-5,2500-3000
Mercedes,6.685744624,4,USA,3571.025966,250-300,40-50,2-3,4500-5000
BMW,10.21606753,6,Japan,2788.47381,250-300,15-20,2-3,3000-3500
Nissan,18.14631415,8,USA,3757.929692,200-250,<15,3-4,4000-4500
Mercedes,8.024828169,6,USA,2896.703243,>350,40-50,2-3,4000-4500
Toyota,6.173631479,4,USA,2548.49066,300-350,35-40,5-6,3500-4000
Mercedes,16.8217841,8,USA,3731.013016,200-250,35-40,2-3,>5000
Ford,17.53229233,6,Japan,3199.218776,300-350,40-50,2-3,3000-3500
Honda,7.439783273,4,Japan,3399.25816,>350,<15,<2,3500-4000
Mercedes,17.81518974,4,USA,3004.340933,250-300,20-25,4-5,4000-4500
Audi,15.30151693,6,Germany,2569.060594,>350,<15,4-5,4500-5000
Nissan,12.80124025,4,Japan,3055.265634,200-250,40-50,2-3,>5000
Audi,17.45375289,8,Japan,3277.429555,100-150,30-35,<2,3500-4000
Nissan,11.28873874,4,Germany,2517.529905,150-200,20-25,3-4,4500-5000
Mercedes,7.909909343,6,Japan,3361.435048,250-300,<15,2-3,2500-3000
Mercedes,9.272790149,8,Germany,3839.563232,150-200,20-25,4-5,>5000
Honda,12.57746027,4,Germany,2826.760784,100-150,20-25,3-4,3500-4000
Honda,12.96996189,4,USA,3890.153742,>350,35-40,2-3,4500-5000
Mercedes,17.0837124,8,Japan,2646.412778,>350,35-40,2-3,2000-2500
Toyota,16.87029085,8,Germany,3738.154525,>350,40-50,5-6,2500-3000
Nissan,13.72049836,4,USA,3760.486537,150-200,25-30,3-4,3500-4000
Mercedes,16.71178225,8,Japan,2886.639794,100-150,<15,4-5,>5000
Nissan,7.876601874,6,USA,3936.765112,100-150,35-40,2-3,4000-4500
Chevrolet,5.750967906,4,USA,3124.898089,>350,40-50,3-4,>5000
BMW,18.10450734,6,Germany,2711.884131,>350,30-35,<2,3500-4000
Toyota,6.133317406,4,Japan,3387.571676,250-300,40-50,3-4,3500-4000
Honda,8.700326446,6,USA,3994.922056,100-150,25-30,5-6,2000-2500
Audi,15.42978424,6,Germany,3848.937323,300-350,30-35,3-4,>5000
Honda,11.14171906,8,Germany,2917.904239,200-250,25-30,<2,2500-3000
Ford,18.14470955,4,USA,3365.479899,200-250,<15,<2,>5000
BMW,9.46969692,8,USA,2673.05149,300-350,<15,3-4,>5000
Honda,5.1780702,8,Germany,3192.767207,>350,<15,2-3,>5000
Nissan,9.509834608,4,USA,3284.605102,100-150,35-40,<2,4000-4500
Honda,13.67112574,6,USA,2972.917447,100-150,20-25,4-5,4500-5000
Mercedes,10.63907563,4,Japan,3226.280624,>350,30-35,3-4,>5000
Nissan,13.02309134,4,Germany,3879.907687,150-200,40-50,2-3,2500-3000
Nissan,18.14897178,4,USA,3250.206456,100-150,15-20,5-6,4000-4500
Toyota,18.68727581,8,Germany,3746.485466,150-200,25-30,<2,2000-2500
Honda,8.98961097,4,Japan,2976.085644,100-150,40-50,5-6,3500-4000
Toyota,11.9321071,4,Germany,3957.106334,250-300,15-20,2-3,2500-3000
Audi,13.23716023,4,Germany,2640.19485,>350,<15,5-6,2500-3000
Audi,19.23668685,6,Germany,3378.37997,200-250,20-25,3-4,3000-3500
BMW,19.97925979,6,Japan,3684.831693,250-300,15-20,4-5,3500-4000
Nissan,8.531108733,6,Japan,3721.061479,>350,40-50,5-6,4000-4500
Mercedes,15.90469807,6,Germany,2797.421666,300-350,40-50,2-3,2000-2500
Mercedes,10.67046593,8,Germany,3102.468833,>350,35-40,5-6,4000-4500
Audi,5.121622953,8,Japan,3436.294259,>350,40-50,3-4,2500-3000
BMW,5.138787837,4,USA,2973.824065,100-150,40-50,3-4,4000-4500
Honda,11.90849011,8,Japan,3487.444023,>350,15-20,2-3,4500-5000
BMW,12.3250237,6,Germany,3068.171007,250-300,40-50,3-4,4000-4500
BMW,5.338545449,4,USA,3026.299484,>350,30-35,2-3,4500-5000
Honda,15.30391125,4,USA,2662.102257,250-300,40-50,3-4,3000-3500
Toyota,9.410050829,6,USA,2558.879318,>350,40-50,3-4,>5000
Toyota,13.39839652,6,Japan,3752.910685,>350,20-25,4-5,3500-4000
Nissan,9.513786097,6,Japan,3234.316738,150-200,<15,4-5,3500-4000
Mercedes,7.507014723,8,Japan,3344.3097,300-350,15-20,3-4,4500-5000
Nissan,11.10760608,4,Japan,3058.331534,>350,25-30,2-3,2000-2500
Honda,8.484100472,6,Germany,2705.113068,>350,40-50,2-3,4500-5000
Honda,13.02201465,4,USA,3174.357997,100-150,40-50,2-3,4000-4500
Chevrolet,7.982427954,4,Germany,2843.435617,>350,<15,<2,3000-3500
Chevrolet,12.62608965,8,Japan,3756.52457,200-250,30-35,2-3,2000-2500
Ford,7.360677723,4,Japan,3980.182807,100-150,25-30,2-3,2000-2500
Mercedes,15.06462064,6,Germany,3833.644203,250-300,15-20,5-6,>5000
Audi,16.30906527,6,USA,3292.411399,150-200,<15,3-4,4500-5000
Nissan,6.655913514,4,USA,3442.197618,>350,20-25,2-3,2500-3000
BMW,12.01703618,4,Japan,3922.183814,200-250,40-50,3-4,3000-3500
Audi,6.06307551,8,Japan,3308.0229,>350,20-25,2-3,4000-4500
Ford,13.97273668,6,Japan,3457.883685,100-150,30-35,3-4,>5000
Audi,8.966064469,6,Japan,3443.844256,200-250,35-40,4-5,2000-2500
Mercedes,12.91436685,4,USA,3562.181728,150-200,20-25,3-4,2500-3000
Mercedes,12.76191514,4,Germany,3460.427649,150-200,40-50,3-4,>5000
Mercedes,18.86531519,4,USA,3506.058097,100-150,40-50,5-6,2000-2500
Ford,13.23624834,6,Germany,3588.841708,150-200,20-25,5-6,2500-3000
Toyota,13.7449772,4,Japan,3713.648845,300-350,25-30,3-4,>5000
BMW,11.02479689,8,Japan,3104.582454,200-250,20-25,3-4,4000-4500
Mercedes,19.23619405,8,Germany,3618.750976,250-300,20-25,3-4,3000-3500
Toyota,16.65778864,4,Japan,2650.305639,250-300,<15,2-3,2000-2500
Mercedes,9.281079355,8,USA,3814.282198,>350,30-35,3-4,2000-2500
Chevrolet,17.66314379,8,Japan,2935.066462,>350,30-35,<2,2500-3000
Ford,11.4859454,8,Japan,3105.190471,250-300,<15,3-4,>5000
Audi,17.43000715,8,Japan,3705.415619,200-250,20-25,3-4,3500-4000
Chevrolet,17.34332102,8,Japan,3455.480557,100-150,40-50,2-3,4500-5000
BMW,7.833052801,6,USA,2962.941985,>350,15-20,5-6,>5000
Mercedes,15.51711697,4,Germany,2838.098667,100-150,15-20,5-6,3500-4000
BMW,9.35964454,8,Japan,3936.571673,200-250,25-30,4-5,2500-3000
Nissan,9.46239005,4,Japan,2631.664542,200-250,40-50,3-4,4000-4500
Mercedes,9.445221153,8,USA,2506.502663,200-250,15-20,4-5,>5000
Honda,15.88352371,6,USA,3509.402353,150-200,35-40,2-3,>5000
Toyota,8.447390627,6,USA,3421.711641,>350,40-50,4-5,2000-2500
Nissan,5.013587529,8,Japan,3606.420944,100-150,15-20,<2,4500-5000
Audi,15.7285528,8,Germany,3597.450747,>350,35-40,4-5,4000-4500
Nissan,7.567771158,8,USA,3794.888691,100-150,20-25,2-3,>5000
Audi,6.56723593,6,USA,3883.162886,100-150,35-40,5-6,2000-2500
Toyota,8.562741809,6,USA,3662.536882,>350,35-40,5-6,4000-4500
Toyota,10.69850783,4,Germany,2848.439202,150-200,30-35,2-3,>5000
BMW,12.13859491,6,Japan,3195.244267,>350,<15,3-4,3500-4000
BMW,5.668550611,8,Japan,3462.572861,300-350,40-50,5-6,3500-4000
Ford,19.55859999,4,Japan,3309.047903,100-150,20-25,3-4,2000-2500
Chevrolet,15.7409458,6,USA,2738.346269,>350,15-20,4-5,3000-3500
BMW,9.84791098,6,Japan,3383.909546,150-200,<15,3-4,3000-3500
Nissan,9.780458859,8,USA,3829.792974,>350,30-35,3-4,>5000
Ford,11.72813824,4,Germany,3127.775835,150-200,35-40,2-3,3000-3500
Audi,14.39367234,6,Germany,3503.399237,>350,<15,2-3,3500-4000
Ford,7.195595999,6,Japan,3423.901429,100-150,30-35,4-5,4500-5000
Nissan,7.833947206,8,USA,3065.564705,300-350,15-20,3-4,2500-3000
BMW,17.89151874,4,USA,3347.906811,>350,35-40,3-4,3500-4000
Mercedes,8.843823858,4,Japan,2815.318051,>350,15-20,3-4,4500-5000
Audi,10.70292497,4,Germany,3319.160888,>350,35-40,3-4,>5000
Nissan,18.06907776,4,Germany,3698.244386,>350,25-30,4-5,4500-5000
Honda,14.94721744,8,Germany,3638.421654,>350,40-50,5-6,4500-5000
BMW,10.12567819,6,Germany,3036.931825,150-200,15-20,3-4,2500-3000
Chevrolet,15.25549319,6,Germany,2668.127824,200-250,20-25,4-5,>5000
Audi,5.295248231,4,Japan,3699.913848,200-250,<15,4-5,2500-3000
Nissan,16.0346399,4,Japan,2897.558634,250-300,40-50,3-4,>5000
BMW,12.30524061,4,Japan,2579.565651,250-300,40-50,5-6,3000-3500
Toyota,17.19773221,6,Germany,3167.78944,300-350,20-25,2-3,>5000
Honda,19.31956478,6,Germany,3609.205794,150-200,35-40,<2,4500-5000
Audi,18.88682824,4,Japan,3712.740011,>350,40-50,4-5,>5000
Audi,18.63897565,8,Japan,3973.303224,150-200,30-35,3-4,2500-3000
Chevrolet,12.68254934,6,Germany,2784.111526,200-250,30-35,4-5,3500-4000
BMW,10.40213171,6,USA,2940.692276,300-350,15-20,5-6,4000-4500
Toyota,11.97552987,4,Japan,3414.235748,>350,<15,<2,>5000
BMW,15.34844005,8,Germany,3717.015546,>350,40-50,5-6,2000-2500
Toyota,18.25996665,4,Germany,2851.112532,>350,40-50,3-4,>5000
Chevrolet,8.104794545,4,Japan,3114.871676,150-200,35-40,3-4,>5000
Honda,18.77289738,8,USA,3112.601003,300-350,20-25,4-5,3000-3500
Audi,17.22770348,8,Germany,3659.4051,100-150,20-25,5-6,>5000
Toyota,19.68284023,8,Japan,2861.398309,250-300,35-40,<2,4000-4500
Ford,18.2037766,6,Germany,3953.137832,250-300,40-50,3-4,3500-4000
Chevrolet,9.199059945,4,Germany,3265.695719,100-150,40-50,4-5,3000-3500
Chevrolet,6.58933867,6,Germany,2923.100255,200-250,40-50,4-5,4000-4500
Nissan,6.68361608,8,Germany,2926.42609,>350,35-40,4-5,4500-5000
Honda,9.368349779,6,USA,2527.44998,>350,<15,2-3,3500-4000
Ford,14.21275586,8,Japan,3538.646336,200-250,15-20,2-3,4500-5000
Ford,17.06480489,8,Japan,3663.922454,100-150,40-50,2-3,4500-5000
Nissan,18.4887546,4,Japan,2548.641659,150-200,30-35,4-5,4500-5000
Toyota,14.35630077,4,Japan,3378.901809,250-300,<15,2-3,2000-2500
Toyota,5.084469691,4,Japan,3672.509002,>350,<15,2-3,>5000
Mercedes,7.794751648,6,USA,3064.360073,150-200,35-40,5-6,3500-4000
Mercedes,6.495893058,4,Germany,3149.112374,>350,<15,<2,3000-3500
Ford,10.44986713,8,Germany,3042.43735,100-150,15-20,5-6,2500-3000
Honda,12.5202649,4,Japan,2973.476078,>350,30-35,4-5,3500-4000
Toyota,5.650957679,6,Germany,3236.712585,250-300,35-40,4-5,>5000
Chevrolet,10.22716964,4,Germany,2749.15099,>350,35-40,2-3,3500-4000
BMW,7.687695119,4,Germany,3161.031522,200-250,15-20,<2,4500-5000
Nissan,14.70605249,4,Japan,3912.737686,>350,35-40,4-5,2000-2500
Honda,11.96408554,6,Japan,2541.103147,150-200,15-20,4-5,3500-4000
Toyota,12.4297647,8,USA,2747.115124,150-200,20-25,4-5,>5000
BMW,11.41537682,8,Japan,3666.553586,>350,35-40,2-3,>5000
Ford,19.34029566,8,USA,2698.085635,>350,35-40,4-5,2500-3000
Nissan,8.221026877,4,Japan,2906.921349,>350,40-50,4-5,4000-4500
Toyota,12.7499639,4,Germany,3182.258386,>350,35-40,4-5,2500-3000
Ford,16.04026053,6,USA,3914.743386,>350,30-35,4-5,3500-4000
Toyota,13.3526662,8,USA,2775.251781,100-150,<15,4-5,>5000
Nissan,18.93531329,4,USA,3884.626891,200-250,20-25,3-4,>5000
Chevrolet,10.66952533,4,Japan,3577.786769,200-250,20-25,<2,2500-3000
Audi,11.95513709,4,USA,3506.717368,>350,15-20,3-4,>5000
Chevrolet,6.327834728,6,Japan,3585.313786,200-250,40-50,<2,4000-4500
Audi,14.13498667,8,USA,2546.869928,150-200,25-30,3-4,3500-4000
BMW,9.323179527,6,Japan,2648.350392,300-350,40-50,3-4,4000-4500
Ford,7.404635593,8,USA,3002.262293,>350,35-40,<2,4000-4500
Audi,13.16796939,8,Germany,2610.9513,250-300,40-50,2-3,4000-4500
Chevrolet,12.98465395,4,Germany,3981.384564,150-200,30-35,<2,3500-4000
Nissan,6.138074618,4,USA,3370.618312,150-200,30-35,4-5,4000-4500
Ford,15.4732318,4,Japan,3231.015507,150-200,25-30,5-6,2500-3000
Toyota,14.35658286,4,Japan,3678.267677,200-250,15-20,<2,>5000
Audi,7.835259241,4,Japan,3965.43881,>350,35-40,5-6,4000-4500
Mercedes,12.04152293,8,Germany,3932.695,300-350,20-25,3-4,2500-3000
Audi,15.80484375,4,Germany,3689.597327,>350,<15,2-3,>5000
Honda,12.94153611,4,Germany,3065.761355,200-250,35-40,<2,>5000
Audi,10.93233614,6,Japan,2598.939237,>350,15-20,3-4,>5000
Audi,9.835076871,6,Japan,2647.565467,150-200,40-50,4-5,3000-3500
Toyota,14.155908,8,Japan,2501.728511,250-300,40-50,4-5,2500-3000
Nissan,19.08663047,8,USA,2502.854265,>350,40-50,<2,4000-4500
BMW,15.07617261,6,USA,3904.632698,150-200,20-25,<2,2000-2500
Ford,6.121188555,6,USA,3890.525454,100-150,<15,3-4,>5000
Toyota,11.9102746,4,Germany,3501.3307,>350,40-50,2-3,2500-3000
Ford,18.36236197,4,Germany,3590.015086,200-250,25-30,2-3,3000-3500
Mercedes,6.416936387,8,Japan,3269.812685,>350,40-50,2-3,3500-4000
Chevrolet,19.83313568,6,USA,2856.763384,100-150,40-50,4-5,3500-4000
Honda,19.2360409,8,Japan,3871.577574,>350,40-50,5-6,>5000
Mercedes,6.174117211,4,USA,2916.537201,200-250,20-25,3-4,3500-4000
Nissan,19.00119981,8,USA,3609.506891,100-150,25-30,5-6,2500-3000
Toyota,10.44698885,8,Japan,2868.153527,300-350,40-50,2-3,3000-3500
Honda,17.67063751,8,Japan,3805.222627,150-200,20-25,3-4,4000-4500
Audi,11.27575007,4,USA,3476.859152,250-300,15-20,2-3,2500-3000
Nissan,11.61282669,8,USA,3464.042531,100-150,30-35,4-5,4000-4500
Mercedes,14.51364636,4,Germany,2646.050855,150-200,40-50,5-6,4000-4500
Nissan,16.61716129,6,Japan,3129.203355,200-250,35-40,3-4,4500-5000
BMW,5.506837264,8,Japan,3287.362761,100-150,30-35,2-3,>5000
Mercedes,13.89733993,8,Japan,2941.054433,>350,<15,4-5,>5000
Mercedes,7.800994911,4,Japan,3821.461918,100-150,30-35,<2,>5000
Chevrolet,10.18924277,8,USA,3756.504912,250-300,40-50,5-6,2500-3000
BMW,10.21952999,4,Germany,3240.431369,100-150,15-20,3-4,2500-3000
BMW,12.0359051,8,Japan,3010.046804,200-250,30-35,3-4,3000-3500
Ford,10.01204618,6,USA,3702.313408,>350,40-50,3-4,>5000
Ford,6.610416777,6,USA,2795.337171,150-200,35-40,3-4,>5000
Audi,7.184431078,6,USA,2607.274473,>350,35-40,<2,>5000
Honda,5.501569783,8,USA,2568.565729,150-200,35-40,4-5,2000-2500
Chevrolet,12.05373628,8,USA,2558.024891,>350,20-25,2-3,>5000
Mercedes,19.31671542,6,Japan,3233.332985,300-350,20-25,4-5,3500-4000
Nissan,6.735128355,6,Japan,2882.970454,>350,40-50,4-5,2000-2500
Audi,19.1939674,4,Germany,3535.562682,300-350,40-50,4-5,3500-4000
Chevrolet,16.00042272,4,Japan,3480.837361,300-350,40-50,3-4,2000-2500
Chevrolet,14.56248204,6,USA,3313.030011,150-200,40-50,3-4,4000-4500
Mercedes,14.67916633,6,Germany,3029.264922,150-200,30-35,2-3,3000-3500
Mercedes,17.40091473,8,USA,3775.684367,>350,30-35,4-5,3500-4000
Honda,6.603797966,6,USA,3564.55413,200-250,40-50,2-3,4000-4500
Ford,12.57131485,4,Japan,2907.289186,200-250,35-40,3-4,>5000
Mercedes,15.45636707,4,USA,3252.532993,>350,35-40,2-3,4500-5000
Chevrolet,13.80230668,4,Japan,2734.406813,200-250,40-50,2-3,3500-4000
Chevrolet,17.49168607,4,USA,2993.164437,>350,40-50,4-5,>5000
Chevrolet,6.084075635,4,Germany,3995.710274,>350,20-25,<2,>5000
Toyota,15.36051559,4,USA,2835.76633,300-350,25-30,4-5,2000-2500
Chevrolet,13.01041596,6,Japan,3547.453534,>350,<15,2-3,4000-4500
Chevrolet,10.68741296,4,USA,2857.627969,100-150,30-35,<2,3000-3500
Mercedes,10.10412473,4,Japan,3907.201809,200-250,<15,3-4,2000-2500
Nissan,14.31248949,4,Japan,2965.199267,250-300,25-30,<2,4500-5000
BMW,18.36493062,4,Germany,3020.033612,150-200,30-35,2-3,>5000
Toyota,12.44263889,6,Japan,3390.78966,>350,20-25,4-5,2500-3000
Chevrolet,17.37084746,8,Germany,3382.167657,>350,30-35,<2,>5000
BMW,11.03234573,8,Germany,3368.614585,250-300,<15,4-5,>5000
Chevrolet,6.535916942,8,USA,3359.882003,200-250,<15,<2,>5000
Honda,5.922586047,8,Germany,2968.280341,>350,40-50,2-3,3000-3500
Mercedes,5.77001557,4,Japan,3151.615335,250-300,20-25,4-5,>5000
Mercedes,10.70225213,8,Japan,3390.150165,250-300,15-20,2-3,3000-3500
Honda,10.05856626,8,Germany,3506.905186,200-250,30-35,<2,4000-4500
BMW,15.76905535,6,USA,2879.69352,>350,40-50,2-3,2000-2500
Mercedes,16.14232252,6,Germany,3552.212593,300-350,15-20,2-3,2000-2500
Toyota,5.762809533,6,Germany,3884.914375,>350,30-35,4-5,4500-5000
Nissan,8.316848943,4,Japan,3636.891555,>350,<15,2-3,3500-4000
Toyota,9.113927752,4,USA,2626.349204,200-250,<15,4-5,3000-3500
Toyota,13.21417976,4,USA,3203.68933,250-300,30-35,5-6,2500-3000
Honda,7.167728359,6,USA,3152.895753,>350,30-35,3-4,4500-5000
Honda,7.009118291,8,USA,3004.754968,200-250,35-40,5-6,2000-2500
Nissan,19.15683334,6,Japan,3236.98021,>350,35-40,3-4,>5000
Audi,17.06304361,4,USA,3159.45066,>350,40-50,5-6,2000-2500
Audi,7.709823531,6,USA,2509.255716,300-350,30-35,<2,2500-3000
Audi,11.09851712,8,USA,2854.832917,>350,20-25,4-5,3500-4000
Chevrolet,10.33432999,4,Japan,2820.673218,>350,40-50,3-4,3500-4000
Nissan,16.86506111,8,Japan,3023.889312,>350,20-25,3-4,3000-3500
Chevrolet,12.65319375,8,USA,2761.685113,250-300,25-30,4-5,3000-3500
BMW,6.917746055,4,Japan,2601.702166,100-150,<15,4-5,>5000
BMW,16.08488095,8,Germany,2794.919283,250-300,<15,<2,4500-5000
Ford,10.95331967,6,USA,3781.28018,>350,40-50,2-3,2000-2500
Audi,8.943863714,8,Japan,3695.559011,250-300,40-50,4-5,3500-4000
Honda,10.63247933,8,USA,3163.144296,>350,35-40,4-5,>5000
Ford,12.46634845,8,USA,3816.722551,200-250,25-30,5-6,3000-3500
Ford,10.14673275,6,Japan,2848.998427,>350,15-20,4-5,2000-2500
Honda,8.628586589,8,Germany,3376.313712,150-200,15-20,5-6,>5000
Mercedes,10.97753043,8,USA,2714.387313,>350,20-25,4-5,4000-4500
Ford,5.287593661,6,Germany,3750.101034,300-350,30-35,2-3,4000-4500
Mercedes,16.58746769,4,Japan,2695.872336,150-200,35-40,<2,2000-2500
Audi,7.564173404,4,USA,2547.790238,200-250,35-40,4-5,2500-3000
Toyota,5.658569204,4,Japan,2910.166345,>350,20-25,4-5,4000-4500
Mercedes,14.80548039,8,Japan,3851.402634,250-300,40-50,<2,2500-3000
Chevrolet,16.60904193,4,Japan,2694.185623,150-200,35-40,2-3,4000-4500
Audi,17.20743697,6,Japan,2996.005403,>350,30-35,5-6,4000-4500
Mercedes,12.40263774,8,USA,2974.62249,>350,30-35,3-4,3000-3500
Nissan,8.08052277,8,Germany,3702.469411,>350,25-30,3-4,>5000
Honda,16.05841516,8,Germany,3132.2881,250-300,15-20,3-4,>5000
Toyota,15.49569616,4,USA,3417.350574,250-300,20-25,2-3,4500-5000
BMW,8.694061012,4,USA,3106.574509,>350,40-50,2-3,2000-2500
Nissan,18.55111634,4,Germany,3327.185523,300-350,<15,2-3,2000-2500
Nissan,6.565571871,8,Germany,2593.661086,>350,<15,<2,3500-4000
Mercedes,19.74032359,6,USA,3061.044157,200-250,<15,4-5,2500-3000
Nissan,17.90371716,8,Japan,3782.658757,250-300,<15,3-4,>5000
Ford,15.31847968,6,USA,3536.601345,100-150,40-50,4-5,2500-3000
Ford,19.08124832,8,Germany,3972.743566,150-200,35-40,4-5,3500-4000
Ford,15.83466752,6,Japan,3681.879306,100-150,25-30,2-3,3000-3500
Audi,7.856854955,8,Germany,3177.264572,100-150,<15,4-5,4500-5000
Mercedes,11.63234207,8,Japan,3514.420687,>350,25-30,3-4,2500-3000
Ford,6.072545365,6,Germany,3663.870514,150-200,25-30,5-6,3500-4000
Toyota,10.84486133,6,Japan,2904.52549,>350,15-20,2-3,3000-3500
Ford,16.1240453,6,USA,2590.026836,>350,25-30,4-5,>5000
Mercedes,10.79665026,6,USA,3108.770902,300-350,25-30,3-4,2000-2500
Honda,9.954412632,6,Japan,2717.009743,150-200,30-35,2-3,>5000
Nissan,13.93033584,6,Japan,2915.86168,>350,35-40,2-3,>5000
Toyota,18.08306793,6,USA,3920.268243,300-350,<15,4-5,3000-3500
Mercedes,5.713747888,6,USA,3770.62389,>350,20-25,4-5,>5000
BMW,10.78205652,8,Japan,3388.695752,>350,35-40,2-3,2000-2500
Ford,7.373611127,6,Japan,3101.88506,>350,30-35,4-5,>5000
BMW,15.43031376,6,USA,2896.49554,300-350,40-50,3-4,4000-4500
