Car Model,MPG,Engine Displacement,Horsepower,Weight,Acceleration,Number of Cylinders,Origin,Curb Weight,Combined Power,Weight Difference,Fuel Efficiency per Weight,Weight per Cylinder,Acceleration Power,Log Weight,Engine Power Squared
Audi,34.47411579,4.504712191,304.4454554,2776.515082,8.976848922,6,Germany,2603.207731,308.950167591,173.30735099999993,0.012416325779569455,462.75251366666663,2732.9608581152893,7.928951852685637,20.292431923744022
Ford,15.57975443,1.784030658,341.7251929,4146.430037,12.42583918,4,USA,3987.984161,343.50922355800003,158.44587600000023,0.003757389921203679,1036.60750925,4246.222290729878,8.330003010964635,3.1827653886839133
BMW,21.68578594,1.820720056,284.3593353,5739.288162,17.6980174,8,USA,3521.056431,286.180055356,2218.231731,0.0037784800706788415,717.41102025,5032.596463991835,8.655090468034441,3.3150215223206434
Ford,24.65447373,2.919085167,431.4835935,5339.8271,12.57748567,6,Germany,3889.870746,434.402678667,1449.9563540000004,0.004617092139556353,889.9711833333334,5426.978714086355,8.5829485531529,8.521058212199417
BMW,28.24279937,5.266902846,431.8250863,5370.138033,16.22052109,8,Japan,3012.811711,437.091989146,2357.3263220000003,0.0052592315498121945,671.267254125,7004.42791952022,8.58860889164183,27.7402655892029
Audi,41.40703846,4.174290587,383.7555287,3212.832775,7.084398579,6,Japan,3471.528129,387.929819287,-258.69535399999995,0.012888015455457374,535.4721291666666,2718.6771222056736,8.074908311387293,17.4247019047168
Chevrolet,17.98695129,4.214679827,142.160551,3717.791588,8.786207195,6,Japan,3511.745845,146.375230827,206.04574300000013,0.004838074126601633,619.6319313333333,1249.0520560413643,8.220885111842048,17.763526044120752
Ford,30.56937754,2.947679963,435.5415448,3882.823789,15.97664143,8,Japan,3809.358201,438.489224763,73.46558800000003,0.007872975751977911,485.352973625,6958.491089137881,8.264317948583493,8.688817164271683
Audi,33.69658275,3.874643165,368.4051922,2629.486333,7.471010133,6,Germany,3989.587056,372.279835365,-1360.100723,0.012814891763120641,438.2477221666666,2752.3589239760126,7.8745437954498145,15.012859656081218
Audi,11.85801651,1.540524736,378.8096664,2124.272521,10.27033902,8,Japan,2662.999268,380.35019113600003,-538.7267470000002,0.005582154075230351,265.534065125,3890.503697981103,7.661184679686931,2.37321646222787
Nissan,34.30179408,4.044384186,245.1931362,5787.611598,8.972993867,8,Japan,3446.675268,249.237520386,2340.9363300000005,0.005926761583630374,723.45144975,2200.1165073530956,8.663474980800375,16.357043443966884
Mercedes,16.82096495,5.15314779,451.7118225,2962.850343,10.24792541,4,Japan,3004.659923,456.86497029,-41.809580000000096,0.005677291460144465,740.71258575,4629.10906379516,7.99390703769182,26.554932145581887
BMW,12.60206372,3.950293873,390.1486401,2959.795615,15.62486074,8,Germany,3717.487641,394.09893397300004,-757.6920260000002,0.004257747952640304,369.974451875,6096.01816946288,7.9928754959476285,15.60482168306134
Nissan,47.95542149,4.994794374,145.0361866,2333.516215,10.51770772,4,USA,3631.221977,150.03098097400002,-1297.705762,0.020550712774884232,583.37905375,1525.4482194821808,7.755131514155099,24.947970838542048
Chevrolet,48.62528132,4.395892222,263.1112138,5714.031008,13.32894984,8,Japan,3838.777786,267.50710602199996,1875.2532219999998,0.00850980354357923,714.253876,3506.9961710817156,8.650680009447328,19.323868427440093
Audi,42.33589392,1.982233666,454.5521448,4318.94846,6.498978156,6,Germany,3015.554316,456.534378466,1303.3941439999994,0.009802361457214519,719.8247433333332,2954.124459818149,8.3707672395716,3.9292503066237994
Audi,22.18455077,5.109813229,118.8786807,4668.147429,17.0752654,8,Germany,2776.795516,123.988493929,1891.3519129999995,0.004752324365803573,583.518428625,2029.8850233543578,8.448517575812602,26.110191235263407
Honda,13.90688456,1.765775377,484.5666479,5646.307549,10.54832938,6,Japan,2532.702516,486.33242327700003,3113.6050330000003,0.0024630051479330073,941.0512581666667,5111.368608611686,8.638757079345474,3.117962682019492
BMW,37.36932106,3.63586989,371.6650273,3382.480676,14.72801239,4,USA,2883.260026,375.30089719,499.2206500000002,0.011047903784092452,845.620169,5473.887127004088,8.126364647094404,13.219549857008612
Mercedes,27.60609975,2.068548495,352.5503911,4486.029245,15.88084402,6,USA,3050.75731,354.61893959500003,1435.2719349999998,0.006153793977328384,747.6715408333333,5598.797770249096,8.408723234229658,4.278892876166765
Mercedes,14.88152939,1.546826443,208.2237026,2155.197819,8.144913832,8,USA,3919.100479,209.77052904299998,-1763.9026600000002,0.006904948241319653,269.399727375,1695.9641154569945,7.67563779368454,2.3926720447640326
Honda,29.8070764,3.188137041,199.5167155,2747.090113,18.27012477,6,Germany,3237.058951,202.704852541,-489.9688379999998,0.010850418142071336,457.8483521666667,3645.195285885593,7.918297489707212,10.164217792196236
Chevrolet,11.37554084,2.680162831,476.8232878,5324.98322,14.24336377,4,Japan,3334.659256,479.503450631,1990.3239640000002,0.0021362585326606905,1331.245805,6791.567542142803,8.580164839398952,7.183272800673935
Honda,46.37281608,3.444001975,219.3089817,5067.073425,11.43087713,6,Japan,3820.193143,222.752983675,1246.8802819999996,0.00915179477194965,844.5122375,2506.894023318119,8.53051869619389,11.8611496038039
Audi,20.35119926,3.808799547,410.2021187,3402.570766,7.735027754,6,Germany,3827.604271,414.010918247,-425.03350500000033,0.005981124467228789,567.0951276666666,3172.9247728941027,8.132286532545931,14.506953989227405
BMW,36.50089137,1.674956289,257.2487193,3507.242511,19.13451407,8,Japan,3291.87374,258.923675589,215.36877099999992,0.010407290415624184,438.405313875,4922.329238935331,8.162585398305419,2.8054785700606515
Toyota,22.46844304,1.99201318,155.7016283,4134.217734,16.32602306,8,Japan,2670.555248,157.69364148,1463.6624859999997,0.005434750776481479,516.77721675,2541.988374105349,8.327053407940378,3.9681165092937127
BMW,30.80272085,3.734569586,104.2861191,2000.964019,8.120368441,6,USA,2905.774247,108.020688686,-904.8102279999998,0.015393940399485015,333.4940031666667,846.8417103740073,7.601384352912818,13.947009992676213
BMW,31.86841117,2.872669413,317.7029348,2964.977344,10.06566162,4,Japan,3185.3323,320.57560421299996,-220.35495600000013,0.010748281511995257,741.244336,3197.8902373777223,7.99462467025592,8.252229556385766
Nissan,17.39417822,4.41669395,490.3115274,2832.927234,17.14511387,6,Japan,3626.754243,494.72822135,-793.8270089999996,0.006140001766102545,472.15453900000006,8406.446969046625,7.949065814361219,19.507185447966602
Toyota,48.78338511,4.109166594,247.6544775,3001.931787,15.43516495,4,Germany,3567.522622,251.763644094,-565.590835,0.01625066409611925,750.48294675,3822.587710818564,8.007011289416926,16.885250097245564
Toyota,41.00531293,4.882417452,242.8769336,5223.62337,16.48676439,4,Germany,3464.062353,247.759351052,1759.5610170000004,0.007849975012651037,1305.9058425,4004.254780028875,8.560946572262273,23.838000175594175
Toyota,47.57995766,4.269971307,237.6366471,3118.695426,11.61801653,4,USA,3820.36834,241.906618407,-701.6729139999998,0.01525636561471649,779.6738565,2760.866494141577,8.04517006066937,18.232654962603284
BMW,45.79309402,3.21972431,308.2175349,2766.085288,15.74714394,6,Germany,3703.969612,311.43725921,-937.8843239999997,0.01655519958790222,461.0142146666667,4853.545886902273,7.925188346167265,10.366624632404976
Chevrolet,33.91599915,4.19186649,276.2659534,4017.053843,10.79740584,4,USA,3973.171361,280.45781989,43.88248199999998,0.008443003374002821,1004.26346075,2982.955618634328,8.29830403805337,17.57174466998492
Toyota,46.8749694,2.601524697,451.9658507,5462.580145,8.168943754,6,USA,3833.737781,454.567375397,1628.842364,0.008581104195405814,910.4300241666666,3692.0836130970615,8.605676511149762,6.767930749100941
Ford,13.53970008,2.725253995,302.2083167,2965.398815,14.49015552,4,Japan,2793.484642,304.933570695,171.91417300000012,0.004565895154308275,741.34970375,4379.045508420413,7.994766809975024,7.427009337263461
Honda,17.8393145,4.65594064,303.1031353,2314.144971,19.64020888,4,USA,2586.424848,307.75907594,-272.27987699999994,0.007708814583163813,578.53624275,5953.0088894749015,7.746795555315855,21.67778324320361
Chevrolet,11.80909156,3.285678066,155.3486379,3425.618943,9.659014571,6,Japan,3121.766416,158.634315966,303.852527,0.0034472869739732757,570.9364905,1500.514757061103,8.139037447654319,10.7956803533935
Ford,23.01321323,4.693521362,493.0958164,4990.607298,11.91454388,8,USA,3426.256676,497.789337762,1564.350622,0.004611305169056803,623.82591225,5875.011741542224,8.515312884346367,22.029142775550337
BMW,25.54709159,4.789689495,199.9891563,4202.762179,15.11002057,8,Germany,3464.65525,204.778845795,738.1069290000005,0.006078643164167486,525.345272375,3021.840265469945,8.343497249773463,22.94112545851336
BMW,20.85396127,4.930249351,129.345627,5267.173478,13.12259423,6,Germany,2901.269142,134.275876351,2365.9043359999996,0.003959231902481113,877.8622463333332,1697.3501785459323,8.56924915571714,24.307358663035917
Ford,43.14950037,5.166540943,365.2584996,5838.36859,17.65141694,6,Germany,3789.821447,370.42504054299997,2048.5471430000002,0.0073906776704551974,973.0614316666666,6447.330067318423,8.67220668576911,26.693145315695332
Nissan,24.27013307,3.223940882,338.1465481,5170.649907,16.4261406,8,USA,2993.869695,341.37048898200004,2176.780212,0.004693826406066134,646.331238375,5554.442742495263,8.550753666952065,10.393794810630938
Nissan,21.23738039,2.775467273,266.0582616,4415.212315,5.874458058,8,USA,3878.67191,268.833728873,536.5404049999997,0.004810047371413893,551.901539375,1562.948098753592,8.392811201349522,7.703218583494055
Ford,31.70784333,3.828794986,268.8768936,3973.366352,19.97631851,8,Japan,3207.402102,272.705688586,765.96425,0.007980095596782765,496.670794,5371.170466532981,8.287368961983816,14.659671044818742
Mercedes,15.636969,2.984689694,414.0255684,2160.276345,16.28603681,6,Japan,2515.585999,417.010258094,-355.3096539999997,0.00723841143573694,360.0460575,6742.835647243573,7.677991429994907,8.908372569469813
Nissan,42.08787923,3.904296667,178.285056,5937.287915,17.95854974,4,Japan,2743.061967,182.189352667,3194.225948,0.007088738129688629,1484.32197875,3201.741046074685,8.68900772812599,15.243532463947309
Honda,12.98202575,4.322343451,428.1013276,3533.92449,14.76796568,6,Japan,2653.478885,432.423671051,880.4456049999999,0.0036735436160946384,588.9874149999999,6322.185713559236,8.17016428592811,18.68265290840259
Honda,49.47547746,4.253620074,359.4988456,2608.912856,17.84427692,8,USA,2566.038694,363.752465674,42.87416200000007,0.018964020720820887,326.114107,6414.996953306722,7.866688883275711,18.093283733935763
Mercedes,40.88979077,2.998211548,267.5879095,4666.835422,6.685744624,4,USA,3571.025966,270.586121048,1095.809456,0.008761781179863513,1166.7088555,1789.0244273870237,8.448236481132605,8.989272486560557
BMW,17.94862726,2.167440807,283.2114466,3137.153156,10.21606753,6,Japan,2788.47381,285.378887407,348.6793459999999,0.005721310489949187,522.8588593333333,2893.307263734589,8.051071029440726,4.697799651848812
Nissan,10.22088468,3.222117354,202.6588829,4343.113084,18.14631415,8,USA,3757.929692,205.881000254,585.1833919999995,0.0023533544907346927,542.8891355,3677.511754391463,8.37634667041826,10.38204024294796
Mercedes,42.61845714,2.070376576,400.8457331,4347.071631,8.024828169,6,USA,2896.703243,402.916109676,1450.3683879999999,0.009803946370719466,724.5119384999999,3216.7181304043356,8.377257709113897,4.286459166449484
Toyota,38.27429375,5.060388141,305.1498969,3782.919284,6.173631479,4,USA,2548.49066,310.21028504099996,1234.4286240000001,0.010117660694449011,945.729821,1883.8830093154445,8.238251287899983,25.607528137573432
Mercedes,39.16028672,2.883509843,228.3418171,5344.474462,16.8217841,8,USA,3731.013016,231.225326943,1613.4614460000003,0.007327247421319983,668.05930775,3841.1167482578876,8.583818495332297,8.314629014677886
Ford,40.85081387,2.117838989,338.4200463,3059.868246,17.53229233,6,Japan,3199.218776,340.53788528900003,-139.35053000000016,0.013350514004451681,509.978041,5933.279182063736,8.026127137156708,4.485241983328542
Honda,12.96178607,1.60179104,498.2937808,3794.530366,7.439783273,4,Japan,3399.25816,499.89557184,395.2722060000001,0.0034159131222511875,948.6325915,3707.197735435768,8.24131593144734,2.5657345358242813
Mercedes,24.33862914,4.083289545,274.1049119,4150.768514,17.81518974,4,USA,3004.340933,278.188201445,1146.4275810000004,0.0058636440596263025,1037.6921285,4883.231014164484,8.33104878017667,16.67325350830631
Audi,14.63476238,4.04760927,468.2765603,4654.498883,15.30151693,6,Germany,2569.060594,472.32416957000004,2085.438289,0.0031442186898898434,775.7498138333334,7165.341715352616,8.445589532573704,16.38314080258993
Nissan,44.52413704,2.862416666,238.006736,5135.887402,12.80124025,4,Japan,3055.265634,240.869152666,2080.6217680000004,0.008669219855299311,1283.9718505,3046.7814086543235,8.544007921842875,8.193429169794555
Audi,34.93192507,1.786847555,121.8930828,3579.229132,17.45375289,8,Japan,3277.429555,123.679930355,301.7995769999998,0.009759622472250262,447.4036415,2127.4917461915093,8.182902729951735,3.1928241848094783
Nissan,23.23592099,3.13851558,181.6968425,4584.187776,11.28873874,4,Germany,2517.529905,184.83535808,2066.657871,0.005068710560167071,1146.046944,2051.1281848654285,8.430368220906386,9.850280045902736
Mercedes,12.54233401,2.74486998,267.4780573,2602.443812,7.909909343,6,Japan,3361.435048,270.22292727999996,-758.9912359999998,0.00481944468970537,433.74063533333333,2115.727184484759,7.86420621024645,7.534311207105199
Mercedes,22.43929287,4.208482559,187.8539714,5730.592402,9.272790149,8,Germany,3839.563232,192.062453959,1891.0291700000002,0.003915702129184514,716.32405025,1741.930455448448,8.653574190403212,17.71132544940719
Honda,23.00733288,3.923116998,100.0908153,3532.235226,12.57746027,4,Germany,2826.760784,104.013932298,705.4744419999997,0.006513533614819344,883.0588065,1258.888252827658,8.169686158034013,15.39084697999653
Honda,39.18424713,2.958374913,466.0006151,4918.085688,12.96996189,4,USA,3890.153742,468.958990013,1027.9319460000002,0.007967377881521775,1229.521422,6044.010218563559,8.500674645967175,8.751982125867759
Mercedes,35.50229885,2.371570217,437.5517645,2081.364328,17.0837124,8,Japan,2646.412778,439.923334717,-565.0484499999998,0.017057224615795376,260.170541,7475.008504830529,7.6407788845923985,5.624345294161427
Toyota,45.4885097,5.452143865,396.9168926,2820.748572,16.87029085,8,Germany,3738.154525,402.36903646499997,-917.405953,0.016126396429493612,352.5935715,6696.1034214402125,7.944757579770089,29.72587272465714
Nissan,28.88859701,3.316006485,167.1258383,3948.330177,13.72049836,4,USA,3760.486537,170.441844785,187.8436399999996,0.007316661908946528,987.08254425,2293.0497903087753,8.281048028515423,10.995899008562056
Mercedes,14.78376984,4.253096943,148.1454305,5513.009871,16.71178225,8,Japan,2886.639794,152.398527443,2626.370077,0.0026816149772861523,689.126233875,2475.7741758485085,8.614866009083274,18.088833606555944
Nissan,38.52979149,2.06221187,127.0418998,4109.0206,7.876601874,6,USA,3936.765112,129.10411167,172.2554879999998,0.009376879612139205,684.8367666666667,1000.6584660412002,8.320939982256094,4.252717796768897
Chevrolet,40.43140194,3.442358799,389.6116755,5719.481929,5.750967906,4,USA,3124.898089,393.05403429899997,2594.58384,0.0070690671711011194,1429.87048225,2240.6442416033865,8.651633508418819,11.849834101052723
BMW,32.4510879,1.610146879,471.5231843,3935.187586,18.10450734,6,Germany,2711.884131,473.13333117900004,1223.3034550000002,0.008246389070612401,655.8645976666667,8536.694951139523,8.27771383087156,2.5925729719534405
Toyota,40.8386872,3.521820472,272.2143284,3961.796387,6.133317406,4,Japan,3387.571676,275.736148872,574.2247109999998,0.010308123692072013,990.44909675,1669.57687853832,8.284452834468954,12.403219436998302
Honda,29.75182385,5.356069628,147.6562688,2478.987154,8.700326446,6,USA,3994.922056,153.012338428,-1515.934902,0.012001604688428329,413.16452566666663,1284.6577403583246,7.815605350093567,28.68748185998406
Audi,30.90931318,3.036826852,304.9571283,5210.624977,15.42978424,6,Germany,3848.937323,307.993955152,1361.6876540000003,0.0059319780863976,868.4374961666667,4705.422692118998,8.55845508475082,9.222317329028229
Honda,27.10164073,1.65598405,239.532763,2987.86165,11.14171906,8,Germany,2917.904239,241.18874705,69.95741099999987,0.00907058087177497,373.48270625,2668.8067510115625,8.00231324330658,2.7422831738544025
Ford,11.01676507,1.623823164,249.9299697,5598.449957,18.14470955,4,USA,3365.479899,251.55379286399997,2232.970058,0.001967824157510818,1399.61248925,4534.906708046801,8.630245045016022,2.636801667942971
BMW,14.31565708,3.05194704,348.5322497,5643.296881,9.46969692,8,USA,2673.05149,351.58419674000004,2970.2453910000004,0.00253675420270699,705.412110125,3300.4947715047615,8.63822372707613,9.314380734964761
Honda,11.25716743,2.140099746,387.4872453,5773.240447,5.1780702,8,Germany,3192.767207,389.62734504599996,2580.4732400000003,0.0019498871618710532,721.655055875,2006.43615776802,8.660988804462077,4.580026922829266
Nissan,35.45641645,1.593408385,144.2414395,4080.921956,9.509834608,4,USA,3284.605102,145.83484788500002,796.3168540000001,0.008688334849890964,1020.230489,1371.7122332648385,8.314078211478764,2.5389502813883085
Honda,22.57423924,4.524854456,114.2360923,4708.375139,13.67112574,6,USA,2972.917447,118.760946756,1735.457692,0.004794486117517495,784.7291898333333,1561.7359818795458,8.457098146386759,20.474307847983056
Mercedes,30.34282765,3.334092036,497.7321211,5114.06352,10.63907563,4,Japan,3226.280624,501.066213136,1887.7828959999997,0.005933212900335661,1278.51588,5295.409679863219,8.539749576579625,11.116169704518624
Nissan,46.30265896,2.656979088,193.0913396,2524.058475,13.02309134,4,Germany,3879.907687,195.74831868799998,-1355.849212,0.018344527045872028,631.01461875,2514.646152573759,7.833623390983864,7.059537874069312
Nissan,19.97168917,5.100332732,121.53221,4403.82878,18.14897178,4,USA,3250.206456,126.632542732,1153.622324,0.004535073947629726,1100.957195,2205.684649651034,8.39022961879433,26.013393977110585
Toyota,26.41531692,1.964555841,175.9501316,2137.191605,18.68727581,8,Germany,3746.485466,177.91468744099998,-1609.293861,0.012359826259003108,267.148950625,3288.0286380149964,7.667247912039218,3.859479652407217
Honda,40.22204554,5.323675316,115.5831385,3990.264334,8.98961097,4,Japan,2976.085644,120.90681381600001,1014.1786900000002,0.010080045373755933,997.5660835,1039.0474498066294,8.29161275681234,28.341518870187702
Toyota,19.15192662,2.75586687,256.7243578,2619.370726,11.9321071,4,Germany,3957.106334,259.48022467,-1337.735608,0.007311651775709736,654.8426815,3063.26253244832,7.870689386991057,7.594802205163598
Audi,13.07919639,5.053614689,420.9607138,2731.691704,13.23716023,4,Germany,2640.19485,426.01432848900004,91.49685399999998,0.004787947472567351,682.922926,5572.324419105773,7.91267636805659,25.539021424876566
Audi,21.59005812,3.911771506,236.4977799,3460.190267,19.23668685,6,Germany,3378.37997,240.40955140600002,81.81029699999999,0.00623955807456758,576.6983778333333,4549.433732656525,8.149078857002278,15.301956315153507
BMW,16.44885149,4.806829439,277.6733628,3729.748667,19.97925979,6,Japan,3684.831693,282.480192239,44.916973999999755,0.004410176920374244,621.6247778333333,5547.708252144122,8.224096128866286,23.10560925563706
Nissan,47.18790609,5.436052653,370.2347094,4492.689698,8.531108733,6,Japan,3721.061479,375.670762053,771.6282190000002,0.010503264027116434,748.7816163333333,3158.512562622057,8.410206843253166,29.55066844618834
Mercedes,42.32481518,2.653621751,303.557628,2297.713674,15.90469807,6,Germany,2797.421666,306.211249751,-499.7079920000001,0.01842040444766052,382.95227900000003,4827.992420185378,7.739669852734509,7.041708397380307
Mercedes,35.33615026,5.344541942,444.5782744,4014.767045,10.67046593,8,Germany,3102.468833,449.922816342,912.2982120000001,0.008801544364574707,501.845880625,4743.857330203391,8.297734603526958,28.564128569797134
Audi,44.85842361,3.05792758,446.41427,2730.500521,5.121622953,8,Japan,3436.294259,449.47219758,-705.7937379999998,0.01642864495538399,341.312565125,2286.365571778739,7.912240212399735,9.350921084524655
BMW,42.14688308,3.042047619,103.9642782,4295.9007,5.138787837,4,USA,2973.824065,107.006325819,1322.0766350000004,0.009810953749466323,1073.975175,534.2503682966442,8.365416521396416,9.254053716263568
Honda,17.46280236,2.861548417,411.2185226,4549.618449,11.90849011,8,Japan,3487.444023,414.08007101699997,1062.1744259999996,0.003838300410408768,568.702306125,4896.991709430911,8.422798651066133,8.188459342835205
BMW,45.70235994,3.665630429,284.2934401,4226.837026,12.3250237,6,Germany,3068.171007,287.959070529,1158.6660190000002,0.01081242538069884,704.4728376666667,3503.92338698703,8.349209244346811,13.436846442010726
BMW,31.57368968,2.116580173,495.5362165,4953.182042,5.338545449,4,USA,3026.299484,497.652796673,1926.8825580000002,0.006374425452623006,1238.2955105,2645.442613410754,8.507785485799364,4.47991162873671
Honda,42.29760621,3.714845941,293.2928304,3342.436977,15.30391125,4,USA,2662.102257,297.00767634100004,680.3347199999998,0.012654720642770102,835.60924425,4488.527446702902,8.114455453749724,13.800080365364176
Toyota,45.843652,3.66681925,494.7583782,5060.426367,9.410050829,6,USA,2558.879318,498.42519745,2501.5470490000002,0.009059246924123854,843.4043945,4655.701486935605,8.529206020984612,13.445563412170563
Toyota,22.720139,4.54760725,401.8277445,3731.068327,13.39839652,6,Japan,3752.910685,406.37535175,-21.842357999999876,0.00608944597331144,621.8447211666667,5383.847453548249,8.224449886374297,20.680731700252565
Nissan,14.40207698,4.834599848,199.4419538,3936.737993,9.513786097,6,Japan,3234.316738,204.276553648,702.4212550000002,0.0036583783339426317,656.1229988333333,1897.4480872209563,8.278107738818095,23.37335569028162
Mercedes,19.1174065,3.261765401,315.3579917,4592.408509,7.507014723,8,Japan,3344.3097,318.619757101,1248.098809,0.004162827950199672,574.051063625,2367.397086707612,8.432159895061769,10.63911353116069
Nissan,27.08431155,2.709332997,496.8542558,2073.433536,11.10760608,4,Japan,3058.331534,499.56358879699997,-984.8979979999999,0.013062541470343036,518.358384,5518.861352597955,7.636961225157744,7.340485288633003
Honda,42.72059064,2.537339589,443.0122431,4615.976886,8.484100472,6,Germany,2705.113068,445.549582689,1910.8638180000003,0.009254940329005796,769.3294810000001,3758.5603807864886,8.437278800809715,6.43809218990669
Honda,44.42922333,2.278495347,138.9467575,4474.340596,13.02201465,4,USA,3174.357997,141.22525284699998,1299.982599,0.00992978124412771,1118.585149,1809.3667117349971,8.406114267002296,5.1915410463006495
Chevrolet,10.27808522,1.730590329,382.5487987,3239.388467,7.982427954,4,Germany,2843.435617,384.279389029,395.9528500000001,0.0031728473829872404,809.84711675,3053.668224511999,8.083139846218756,2.994942886828328
Chevrolet,30.4298921,2.869791915,238.2318343,2343.17714,12.62608965,8,Japan,3756.52457,241.101626215,-1413.3474300000003,0.012986594816301426,292.8971425,3007.9364973557454,7.7592630395765525,8.235705635399366
Ford,26.69644013,2.580990769,102.7929048,2363.7418,7.360677723,4,Japan,3980.182807,105.373895569,-1616.4410070000004,0.011294143941609866,590.93545,756.6254444438198,7.768001150902663,6.6615133496632115
Mercedes,18.88431242,5.365669543,261.3923876,5692.894988,15.06462064,6,Germany,3833.644203,266.75805714300003,1859.2507850000002,0.0033171720995743056,948.8158313333333,3937.77715737784,8.646974182970311,28.79040964467783
Audi,14.79461469,3.730835305,193.9017687,4757.117285,16.30906527,6,USA,3292.411399,197.632604005,1464.7058860000002,0.003109995781825673,792.8528808333334,3162.3566016967434,8.467397151373248,13.919132073034442
Nissan,23.50460686,2.889108156,427.5477082,2508.410455,6.655913514,4,USA,3442.197618,430.436816356,-933.787163,0.009370319284528734,627.10261375,2845.7205688881086,7.827404546655715,8.346945937065719
BMW,47.71638816,3.821870404,234.9322435,3426.892677,12.01703618,4,Japan,3922.183814,238.754113904,-495.29113700000016,0.013924097617720638,856.72316925,2823.1892699880696,8.139409204488981,14.606693384971125
Audi,22.92811728,2.056786805,431.0094776,4369.931976,6.06307551,8,Japan,3308.0229,433.066264405,1061.909076,0.005246790431961634,546.241497,2613.2430082144538,8.38250272183576,4.230371961222109
