Company Name,Stock Price,Market Capitalization,Earnings per Share (EPS),Price-to-Earnings Ratio (P/E Ratio),Dividend Yield,Beta,Debt-to-Equity Ratio
Company 63,174.3106264,450920565.3,9.417096044,11.21512212,0.001878311,1.235681613,0.813182147
Company 64,103.512999,756407165.6,8.775562388,18.45987448,0.035859072,0.886543472,0.954637652
Company 65,92.14017645,348223952.7,1.11542283,29.80339099,0.026904733,1.82739012,0.925788549
Company 66,131.4044125,665246812.8,3.988034358,26.43826519,0.025435299,1.365530603,0.909265043
Company 67,71.13863375,795654510.8,5.578374779,7.434172345,0.012156227,0.831721415,0.512169956
Company 68,170.3295471,927250641.7,5.081011478,22.65929992,0.037237537,0.903679629,0.360142114
Company 69,61.18259655,235407439.8,2.019244373,13.63948965,0.008411829,1.704699633,0.465035325
Company 70,198.0330405,399916599.9,8.602286035,5.174556547,0.009496737,0.566218343,0.689896003
Company 71,165.8367154,153263597.3,6.801713752,15.08702423,0.023035609,1.988138281,0.883997777
Company 72,79.80735223,992491018.7,8.395292911,10.86886054,0.014313993,0.69552752,0.206986303
Company 73,50.82831757,927073967,8.601766366,25.47173176,0.012373149,1.694102788,0.918193158
Company 74,172.3192143,540417173.2,7.508722951,13.43326522,0.032261882,1.092162975,0.815180232
Company 75,156.0286016,842191261.1,4.448184952,25.68809235,0.032548587,1.238324275,0.978856015
Company 76,159.3510752,521437019.3,6.144412875,5.014948471,0.041225853,1.820975866,0.880251773
Company 77,165.690552,623962102.3,1.687617521,12.69547875,0.020885428,1.119366784,0.27993733
Company 78,61.10669776,90035307.68,6.769089633,11.02913036,0.003654255,1.306240631,0.105955911
Company 79,103.7698593,755515150.1,1.874607232,10.83918403,0.013683319,0.573949494,0.112241072
Company 80,67.38035893,128585770.2,6.970100946,6.704665494,0.049000273,0.503521211,0.291223319
Company 81,179.4655139,826241562.6,2.373021791,9.67810676,0.029812929,0.86719981,0.614183724
Company 82,143.494719,782246059.6,1.263757871,18.88873925,0.035486854,1.520874639,0.804320326
Company 83,99.63470373,709035953,1.736316452,12.28402682,0.000367891,0.68189734,0.899250307
Company 84,59.53375254,37124220.14,0.119722139,15.43486956,0.025910287,0.670642938,0.623753384
Company 85,96.64734826,303825227.6,7.215522217,14.42167201,0.001876433,1.116440912,0.005631313
Company 86,98.7774983,263849457.3,7.350770386,26.89762312,0.028461511,1.471755558,0.186316777
Company 87,159.4409268,360776271.1,5.197840164,27.63247498,0.046038542,1.568107988,0.099726204
Company 88,145.6336207,88555104.02,1.69749173,17.32392429,0.048420957,0.767676011,0.363324476
Company 89,183.0819114,937020865.2,0.927187941,13.25389876,0.027027634,0.619382221,0.501350994
Company 90,120.8322388,554248438.5,0.289376768,7.6700176,0.02291024,1.910595551,0.043397179
Company 91,67.93913689,306218786.3,1.740906952,28.83507198,0.047250855,0.890999574,0.348477976
Company 92,156.9867181,397584535.6,8.919469796,6.505673623,0.033680492,1.780019746,0.179179675
Company 93,164.1177573,447755338,2.491214733,12.44125694,0.003244964,1.795237176,0.647070166
Company 94,134.1915796,600993739,3.607286139,12.45165503,0.023286279,1.658783888,0.464272369
Company 95,165.645077,516163748.3,1.142920296,13.01003215,0.012012251,0.75325041,0.495317647
Company 96,124.0693395,919472581.2,2.301376917,9.107171082,0.023490216,1.732702189,0.427691788
Company 97,128.4099244,497466519.4,5.240323251,24.57903577,0.022773279,1.653875839,0.95601971
Company 98,114.1311528,992165856.8,6.116751563,8.062446549,0.02910724,1.395084485,0.214735125
Company 99,53.81286901,851573532.8,2.52898791,20.87266648,0.017838525,1.005803053,0.51666426
Company 100,66.18371405,209302003.8,0.671548376,8.096150668,0.008213522,0.893762906,0.736017368
Company 101,54.71437785,930664619.4,3.971225404,6.76339094,0.025185972,0.682833818,0.556844413
Company 102,145.4615617,117250031.5,2.418613372,27.73573759,0.041510144,1.2646356,0.929020886
Company 103,97.15339716,817632258.8,2.27358384,9.753219158,0.033200611,1.377891313,0.377968356
Company 104,126.2856037,381242670.2,9.602641747,25.53125386,0.016918393,1.039008486,0.463675806
Company 105,186.1349711,878096346.1,6.201374811,18.61577178,0.046776151,1.213038602,0.088522315
Company 106,87.39383437,868188633.4,5.613096587,6.94641299,0.045610379,1.045271686,0.608999111
Company 107,111.5574385,806119474.7,4.216173525,28.88620479,0.01046742,1.461509086,0.288211968
Company 108,163.3326708,790240405.9,4.346548901,11.17402917,0.001970879,1.851888812,0.16030904
Company 109,84.31972482,305374460,5.454959538,26.49113363,0.037065435,0.745880393,0.544531293
Company 110,61.54698647,81838363.77,6.99465509,9.220250145,0.041380513,1.072113215,0.532310263
Company 111,93.46271794,403577198.6,7.051246352,26.34857205,0.048393228,0.711302906,0.075871641
Company 112,74.18319309,174350990.5,1.799769686,5.330720323,0.04449182,1.437415656,0.698215453
Company 113,189.4546479,695256137.8,5.051116246,17.79451141,0.030026738,1.593305764,0.623772191
Company 114,171.2180569,346753626.8,4.178385141,24.23606449,0.026502617,1.897869099,0.189017283
Company 115,145.0105635,975634590.7,8.718216966,28.36988794,0.001392053,0.918307889,0.469434862
Company 116,180.7190885,641331105.3,6.35104732,27.73005341,0.012332822,1.925316809,0.720322916
Company 117,170.5508115,822658083.1,5.371790258,25.49062174,0.022980738,0.594894008,0.529435741
Company 118,77.98550883,133392148.1,1.242406958,27.20478374,0.031425195,1.404520795,0.395489076
Company 119,183.8838498,862152467.8,6.095815104,9.980492146,0.027862592,0.585699079,0.322338458
Company 120,130.9013363,922834433.3,1.260318666,12.10460739,0.037131799,1.840661282,0.610393867
Company 121,171.1160233,487574856.9,3.438345098,12.22421312,0.013988347,1.294713586,0.939108698
Company 122,184.413695,606646684.8,1.514135452,14.42634828,0.02824763,1.504022526,0.67174484
Company 123,97.70052125,765044991.1,6.951529106,14.83301676,0.004407112,1.747360889,0.074745904
Company 124,66.50778868,175663788.6,2.141895927,18.61388312,0.020683276,0.725465934,0.460684973
Company 125,84.19027438,503063510.4,3.979407795,8.996994084,0.037508042,0.557887343,0.890824132
Company 126,114.0661683,399264364.7,8.967180298,22.28116659,0.034670043,1.818321719,0.094462426
Company 127,172.7022149,147227618.2,2.122732196,9.189163483,0.049532137,0.972399841,0.988875712
Company 128,179.1095875,368166887.9,5.127270133,12.75771205,0.013894556,0.693468362,0.949069394
Company 129,51.04281958,69104137.08,4.250789446,17.58362827,0.024909465,1.202691856,0.078274481
Company 130,126.6120954,26786095.04,0.279428006,24.91101404,0.016476521,1.397459114,0.93341332
Company 131,112.6116505,136031122.9,7.948305324,23.48673083,0.022030156,0.546455905,0.36313259
Company 132,83.31617157,963151996.5,0.783554473,21.13835891,0.042847506,0.912343487,0.844709167
Company 133,67.9798051,549980006.4,4.795124708,8.894331515,0.034210454,0.549199811,0.418383338
Company 134,100.6422757,965856339,5.65071512,18.67613364,0.04412206,1.130503084,0.440855113
Company 135,191.4364556,433065380.5,6.32142192,7.186162545,0.010175555,1.842650044,0.634243091
Company 136,98.4804398,312504317,6.91745313,14.43407942,0.043668056,1.973978617,0.774477419
Company 137,127.8185933,506635721,2.607396597,15.33791326,0.002988114,1.45557133,0.033789151
Company 138,155.4528438,440072176.9,0.198789889,5.995285986,0.044429964,0.742456541,0.593155996
Company 139,104.5444404,106559019.6,7.262092257,11.84970249,0.016453689,1.858774085,0.186732994
Company 140,195.7673124,641185488.4,5.403000334,28.89123668,0.015729382,1.274371735,0.345949518
Company 141,194.3670942,216822144.3,8.377565262,28.8408152,0.025604429,0.730623968,0.347968666
Company 142,87.76734437,619968366.9,8.231744793,13.80817636,0.047034509,1.882590004,0.46906034
Company 143,124.5872759,650550891.3,8.448929061,6.077502724,0.002389068,1.636203576,0.334136412
Company 144,95.13174647,152872828.3,4.902437134,9.477373483,0.017611549,1.597557909,0.107361118
Company 145,92.72607416,62288277.48,3.402921119,14.80544484,0.042828599,1.563771056,0.145628739
Company 146,55.5330421,780980824.5,7.936426206,28.69449245,0.019802724,0.800509732,0.033437986
Company 147,141.4346501,460340623.3,4.567811719,8.529976588,0.009957845,0.816510038,0.470249085
Company 148,125.4018535,59105631.71,1.916077744,24.08789609,0.021239709,1.532439498,0.954447695
Company 149,57.72181269,994871450.9,8.564242794,7.717063484,0.019277625,0.829584125,0.115675224
Company 150,91.79696964,58722780.44,8.83734278,29.53143943,0.04577081,1.158007545,0.946264493
Company 151,186.2398829,695340193.6,4.716466586,14.54041248,0.038096719,1.673002738,0.733361515
Company 152,85.9342836,983695246.3,0.8494273,24.38086347,0.025255778,1.675928777,0.637498803
Company 153,71.73423081,239940924.1,3.93947829,13.56477707,0.049418528,1.179892659,0.645277755
Company 154,123.417914,143107119.3,8.055022829,20.69172193,0.023263877,1.688284907,0.826727648
Company 155,197.8475681,122263554.5,9.027562883,9.800402119,0.002911892,1.757932694,0.106919864
Company 156,86.30829073,303971872.4,2.114380151,8.650525482,0.013113716,1.482163627,0.504754324
Company 157,150.8203321,101944765.2,0.763038759,28.45160349,0.021803524,0.842638778,0.697091138
Company 158,164.2429423,692469180.4,8.785769486,27.94118195,0.007845131,0.911017671,0.586820445
Company 159,85.6456316,63229506.33,3.955108896,27.18672351,0.047378256,0.972261733,0.832779071
Company 160,159.2324523,509912706,5.463433546,20.63583625,0.038342445,0.675206162,0.072271709
Company 161,105.1674699,996700157,9.683851539,25.20670528,0.01341436,0.909739431,0.690701039
Company 162,144.8458746,814156299.2,0.758990806,6.725923423,0.029540227,0.814278836,0.53402773
Company 163,145.0294566,615604218.8,6.518348274,13.36972605,0.036072458,1.182993125,0.379160864
Company 164,130.3662026,306947367.2,0.833643683,12.84257812,0.047063946,1.862656322,0.340274982
Company 165,63.54346551,624271940.5,3.817142392,20.89113305,0.044081767,0.656720475,0.620832633
Company 166,175.2953743,527514422.4,8.057763997,13.89894434,0.025759611,1.580401886,0.890995375
Company 167,98.11700975,426657300.5,4.391375104,8.712669541,0.038732631,1.530924507,0.496175926
Company 168,77.97777656,131579666.4,9.972105304,19.91167689,0.028107238,0.643631298,0.824723164
Company 169,56.11627123,886717611,5.634686921,25.35959802,0.027635195,1.883858607,0.402156382
Company 170,138.6339415,450334864.2,3.279505311,14.55308736,0.005737098,1.352708303,0.102394463
Company 171,151.6346543,195427889.3,2.279102126,8.306717877,0.006306883,1.045588282,0.061505736
Company 172,52.48817434,368391591.5,3.570153289,9.917204933,0.026476681,1.634807875,0.051334371
Company 173,126.8139587,414715622.8,3.78807941,10.93708263,0.013443077,0.886048188,0.380150142
Company 174,83.97436628,827710357.7,0.780265409,12.49743982,0.001051845,1.540264756,0.337237751
Company 175,146.7759186,733880766.2,3.758784574,21.06987676,0.03614196,0.559566811,0.717937024
Company 176,76.15496435,769535588.7,4.695961345,20.02363711,0.00162433,1.759112056,0.742821502
Company 177,153.6406607,12020233.16,7.255103747,22.40199654,0.029763842,1.172256271,0.050853969
Company 178,108.0103019,416737844.2,6.601621899,14.06254961,0.02695969,1.455039372,0.221123263
Company 179,190.5094983,481862807.5,7.116779987,25.5999413,0.048440735,0.83185673,0.27426185
Company 180,70.62814162,20173084.55,0.182800451,10.10219153,0.024210657,1.515610569,0.547611984
Company 181,101.1599527,260553395.5,2.254907256,16.72601869,0.003180072,1.658360414,0.144515224
Company 182,67.02102819,760529533.3,6.650674455,25.02346804,0.027584398,1.20981978,0.133941219
Company 183,188.7040427,137972596,4.891494745,9.503966193,0.042054809,1.426590386,0.943788889
Company 184,181.600903,535774821.3,0.152603409,7.746577844,0.049842464,1.184488886,0.804202907
Company 185,88.69124416,215986670.1,8.06449696,27.09209919,0.021517159,1.841137054,0.180654902
Company 186,148.9976069,13108653.87,7.750814776,13.57324157,0.016014937,1.246803771,0.406567808
Company 187,172.58333,241960256.1,5.529349714,22.09675312,0.045332665,1.762713064,0.355621999
Company 188,133.2801217,975897881.2,0.757986925,5.633715107,0.009562106,1.702028087,0.791004074
Company 189,129.4475868,801735574.8,7.68849899,22.25117221,0.030771446,1.115757232,0.510212916
Company 190,86.27784364,959617067.7,5.878764519,12.90253279,0.020285721,0.845126738,0.127849737
Company 191,63.96541517,488366189.9,7.841403774,6.39352134,0.002054118,1.109123199,0.738992063
Company 192,184.5823637,110626462.5,7.542295225,20.24531904,0.017364424,1.739326064,0.396887978
Company 193,185.0627086,548411529.5,8.049720512,11.0200954,0.013261426,0.841448804,0.262924248
Company 194,144.9652186,454922957.2,5.228279857,14.67018105,0.034304558,1.286654519,0.375498622
Company 195,100.8544687,844512725.7,1.48921273,7.014520307,0.047439525,1.709145122,0.497756564
Company 196,102.3814362,98984498.2,6.744458986,8.679081277,0.013402359,1.030216213,0.343115516
Company 197,158.8933518,488752895.9,6.242690472,12.44943089,0.040573297,1.463314456,0.241905773
Company 198,184.566539,150898616,7.448306553,7.243987514,0.002767991,0.868447361,0.398502029
Company 199,183.0629636,325351251,1.78182196,27.77065662,0.026906051,0.663919168,0.019172911
Company 200,166.9813319,737619720.3,2.030254479,5.15117608,0.003527503,1.691576338,0.772497846
Company 201,146.3047469,476542111.2,8.91505422,17.09650547,0.04670165,0.648452935,0.170944894
Company 202,62.62099475,376512396.9,7.524780205,8.081186453,0.038317564,0.907072093,0.043904614
Company 203,74.24430711,395081802.3,9.091462038,12.69197724,0.032897496,1.782664133,0.653698693
Company 204,184.7831283,459987321.6,7.61128168,28.151489,0.041194819,1.019703931,0.773936129
Company 205,140.9643589,785231527.3,6.011837529,9.042363832,0.03237599,1.959568024,0.813829132
Company 206,51.37955774,892192604.3,6.575914097,29.14580799,0.04844722,1.969601502,0.493509183
Company 207,65.22073143,955379351.8,8.902366447,10.14485942,0.035697897,0.902414031,0.205368185
Company 208,149.5252654,787116482.9,5.83018687,23.53915271,0.04623293,0.561467333,0.737227677
Company 209,50.75923758,316091488.9,6.360674111,18.66693162,0.025856595,1.557594926,0.699713077
Company 210,74.12120771,688446571.4,1.649119488,27.11196819,0.005853221,1.176479754,0.246270734
Company 211,132.3100684,438165520.9,4.791820079,18.84983139,0.026408886,0.651129266,0.903407756
Company 212,153.7842797,255415951.4,7.192331408,18.36398048,0.006343641,1.561284228,0.104371458
Company 213,147.7941889,841030707.8,2.782332713,9.886450009,0.029624674,0.546762364,0.98268824
Company 214,83.64039642,39387922.61,2.102316387,9.155734051,0.024124653,1.805295036,0.860247811
Company 215,156.8268832,901860230.1,3.206885401,27.91222878,0.03112877,0.707978794,0.687898645
Company 216,85.58736312,462015987.2,2.490856217,13.19595497,0.000502349,0.690967818,0.938749888
Company 217,98.80995472,637564275.3,2.227635107,14.30205637,0.009742025,0.763508447,0.722311168
Company 218,161.9737108,659694568.3,4.306023344,23.99559146,0.024566522,1.940399538,0.190456997
Company 219,147.4449349,895222623,9.087601287,13.47058706,0.047525178,1.53975404,0.442156138
Company 220,177.3835116,637033012.5,5.119890503,28.80156117,0.019180452,1.702057303,0.071503024
Company 221,148.6419338,614319651.2,1.96041177,23.44819422,0.021218601,1.096452479,0.389657422
Company 222,135.2462905,67585388.52,0.862019527,19.93573106,0.035734804,1.004469091,0.74160302
Company 223,64.05121517,518889613.9,6.991945837,27.02237901,0.030189638,0.85172601,0.386443351
Company 224,105.1573705,151018831.8,3.889707768,6.240147709,0.014946308,1.220972042,0.330294175
Company 225,89.78035515,737696335,8.236126371,11.4265673,0.02054082,1.3277431,0.595355723
Company 226,86.59844651,512709698.9,6.62915661,16.62590836,0.01088499,1.447662265,0.872204529
Company 227,195.9515832,680547551.4,7.98279036,10.67446349,0.048301073,0.885677756,0.047583193
Company 228,108.9646587,42631227.7,2.79226579,23.59762968,0.006531719,1.922981121,0.385470435
Company 229,183.8069833,85707224.03,6.954353332,27.98020078,0.018591839,0.754637747,0.158240742
Company 230,144.6707939,716607064.7,2.714213648,15.594253,0.001291949,1.948479762,0.695354251
Company 231,169.2216955,73012251.66,9.396777947,13.553315,0.011088975,0.522284184,0.10572456
Company 232,125.395564,72185471.04,6.400105387,29.0387683,0.039023557,1.221688538,0.664807759
Company 233,136.5355827,13096366.76,3.312666822,16.12131082,0.010058762,1.000051757,0.286180871
Company 234,123.8776541,956544896.9,2.768167437,17.22621001,0.00400317,1.173685121,0.198916814
Company 235,79.28644817,737770851.1,1.990173192,13.79124681,0.023722659,1.355996868,0.936352558
Company 236,158.3678173,353898157.1,6.976945493,27.73871183,0.000498462,1.153383737,0.018524577
Company 237,92.11585437,297239045.7,2.265284569,19.22388708,0.004238308,1.122270275,0.437777272
Company 238,53.64739496,350353526.5,5.993502333,24.05436468,0.040381293,1.599085123,0.021626992
Company 239,146.8208444,774878877.7,2.719886767,25.29516796,0.038573667,1.528814413,0.483593048
Company 240,76.56660191,661709240.5,6.653492553,13.54622605,0.045756941,1.749906923,0.501047378
Company 241,191.0687877,186010372.3,8.167903313,15.84235828,0.042725772,0.874938472,0.321662471
Company 242,193.0892866,174935226,7.802449907,26.21179436,0.034158778,1.414292765,0.132161778
Company 243,187.2296585,99297254.06,7.632428176,14.08138379,0.002616643,1.377792178,0.376387538
Company 244,105.523805,660642417,1.958451816,24.84837834,0.039142431,1.054606716,0.67226294
Company 245,52.31849248,764608289.6,0.975010975,28.52480806,0.042275541,1.229086313,0.782395809
Company 246,189.2477844,265781381.9,7.019593402,20.58025933,0.039954107,0.970673215,0.530750602
Company 247,114.2276222,21924016.07,3.746637417,23.54068219,0.025423952,0.712766596,0.589834394
Company 248,194.9982229,83089495.81,4.380227641,25.1274328,0.011645092,0.820701816,0.200616371
Company 249,194.5429966,967892174.8,0.408376019,26.12599122,0.042266499,0.65827047,0.287330333
Company 250,177.9514183,296149332.7,2.669806848,14.87633345,0.03635814,1.524604363,0.16189561
Company 251,94.16733381,769453924.7,0.433396398,6.281586479,0.049038059,1.49109109,0.24929535
Company 252,107.7646593,625038905.3,8.803939149,15.04690678,0.00778463,1.925909557,0.22488678
Company 253,177.6705007,382557700,2.509627164,21.84390574,0.011283229,1.59451762,0.519448786
Company 254,97.53830077,206481574.9,5.617637979,16.25875964,0.010589907,0.578068758,0.562688756
Company 255,75.423912,122265031.7,0.485895275,23.72407877,0.039626988,1.826367761,0.944947421
Company 256,133.5201894,615397955.1,6.701789174,13.92456074,0.009345365,1.794012744,0.195570647
Company 257,190.4232161,774859146.9,3.297970723,20.86860353,0.003332991,1.164980481,0.64167571
Company 258,154.4044695,644260349.3,8.989399951,9.660495121,0.04992804,1.378794576,0.817259269
Company 259,135.5091755,530771831.1,8.89237007,23.73423592,0.001240861,1.964117499,0.560241464
Company 260,64.57647407,42909272.21,3.320377122,18.64239922,0.041762203,1.298456546,0.255003653
Company 261,142.251084,968520288.8,9.019512867,10.10160971,0.018268342,1.857982743,0.26255023
Company 262,198.5080775,798915477.5,9.961960968,12.29777934,0.042080773,0.624558137,0.039253053
Company 263,71.01260229,293529214.7,8.271615075,23.71521771,0.027731025,0.786577803,0.305444227
Company 264,127.7494479,979990359,8.464226343,17.06503089,0.045081561,1.161132415,0.744603679
Company 265,181.6059608,602279708,2.565186487,10.40078601,0.046309649,1.377135213,0.047517757
Company 266,161.1152927,582840235.5,5.809353749,29.18177976,0.000454909,1.724341778,0.219295283
Company 267,154.5523611,748325106.3,0.765833548,22.8781255,0.003770609,1.982393173,0.706232499
Company 268,155.3726126,811958018.3,1.039687575,28.92837081,0.012517936,1.083277245,0.782651563
Company 269,103.9236727,656822128.7,9.989036859,15.67762613,0.033465771,0.571123454,0.45531841
Company 270,94.03877664,128967650.6,3.333728569,16.87750852,0.04441361,1.701757255,0.698074338
Company 271,171.4041733,338929238.5,7.507020729,27.4488804,0.022997098,1.406571079,0.387952169
Company 272,171.5170092,928155556.7,8.085984025,18.12623351,0.030348656,0.797814288,0.159913245
Company 273,180.0608478,225390996.2,8.594430383,22.6819728,0.009424993,1.242242685,0.398149494
Company 274,186.9860829,372794856.8,9.976520144,11.30432194,0.040248342,1.613465368,0.57996782
Company 275,126.7013598,432644806.1,2.490815204,16.16816172,0.048366406,1.655617681,0.948053282
Company 276,125.2274442,439965584.7,0.499473186,8.086246645,0.013429947,1.249427618,0.068750952
Company 277,169.7442768,613326642.9,4.170796028,10.1495009,0.024741298,0.957821795,0.507394094
Company 278,147.4945896,943132761.9,1.387798631,5.023585382,0.004305806,1.960613873,0.328919778
Company 279,155.2950316,241452019.1,0.322016303,5.981626291,0.027956833,1.495043916,0.508311694
Company 280,169.3689004,122379874.9,3.668225589,29.43209558,0.025139172,1.112356279,0.023975447
Company 281,183.5008013,198273019.4,7.859008686,11.05884238,0.007221824,0.920694836,0.313025355
Company 282,100.6992735,887037975.3,5.705188843,21.58276774,0.022103311,1.596654475,0.819868148
Company 283,106.3374429,646165001.8,3.196502093,25.97749247,0.016705233,0.863275168,0.553941734
Company 284,64.09729098,286620882.4,6.577985854,18.76651148,0.026091544,0.757564983,0.450582493
Company 285,136.7420211,816130992,2.396979985,8.828612502,0.029282717,1.294750833,0.285525072
Company 286,55.39134107,861508626.4,0.242376316,23.20291093,0.000424779,0.934981089,0.298042523
Company 287,119.8397027,846667824.4,7.667098526,20.00628525,0.038050299,1.443357717,0.383101434
Company 288,131.3966952,919007607.1,6.27505654,23.28126473,0.035650715,0.676908012,0.83557071
Company 289,92.98118782,252988779.2,7.646795983,24.24366557,0.018314319,1.482411657,0.967213207
Company 290,138.6249891,755286886.8,0.485486365,29.38525919,0.002646797,0.924944792,0.438655381
Company 291,54.57503749,461078957.8,8.387484316,19.339082,0.037746627,0.500364402,0.393352839
Company 292,55.60222831,842156554.3,6.23330938,13.54102782,0.047758758,0.690404087,0.846550776
Company 293,173.3900841,728762186.5,5.677613972,21.21161392,0.01200758,1.900423067,0.426905321
Company 294,104.0285962,776670999.1,6.283679076,6.711017731,0.016176231,1.801031959,0.552018172
Company 295,69.0590769,656505675.8,8.657889144,27.43493296,0.009190644,0.850413548,0.230941665
Company 296,128.336489,178251340.7,5.910671415,7.984525283,0.028846806,1.667557857,0.743502536
