Bedrooms,Square Footage,Location,Age of House,Bathrooms,Sale Price
5,2813,Suburb,23,3,986295
1,3691,Rural,5,3,375583
5,825,Suburb,9,2,483582
4,1271,Rural,7,2,803572
3,3625,Rural,15,2,936064
1,3043,Rural,21,2,847632
2,3275,City,3,1,308921
2,2972,City,20,1,881823
4,1790,City,46,3,724730
1,2833,City,5,1,992904
1,2018,Rural,7,3,839760
2,1018,Rural,41,2,371039
3,1602,Suburb,21,3,629445
5,1107,Rural,34,3,939350
3,2900,Rural,26,1,334653
1,3837,Rural,1,2,103118
4,3677,City,10,3,855629
3,1609,Suburb,27,3,267137
3,3006,Suburb,22,1,411716
1,980,Rural,14,2,972713
2,2516,Suburb,17,2,410705
1,868,Rural,26,3,304334
3,1599,Rural,11,2,993246
3,3871,Rural,6,2,292593
4,3718,City,11,3,943761
3,3541,City,29,2,175117
4,2623,Rural,19,2,66044
3,3640,Rural,44,1,145444
2,1992,City,22,1,786694
3,2854,City,48,2,197034
4,1633,Rural,37,2,997303
4,2577,City,16,1,517068
4,3237,Rural,3,3,262975
3,1233,City,10,1,829245
4,1315,Rural,20,2,751644
5,1047,City,41,1,782634
2,3877,Suburb,40,3,719818
3,1538,Rural,47,3,130912
4,1182,Suburb,30,3,699690
2,3648,Suburb,8,1,52923
3,2574,City,12,2,345620
2,3627,Suburb,24,1,600193
5,3063,Rural,9,1,483079
3,2789,City,24,2,113537
4,3494,City,5,2,284720
1,3695,Suburb,1,2,152668
4,3033,Suburb,27,3,827265
3,2139,Suburb,21,2,617937
4,2322,Suburb,1,1,378886
1,1767,Suburb,18,2,570023
1,2506,City,32,2,418093
1,1447,Rural,6,1,616949
4,856,Rural,8,3,754255
3,1213,Rural,38,2,343573
4,3022,Suburb,38,2,465831
1,2091,City,21,1,365588
5,3459,Rural,45,1,373228
1,3105,Rural,42,3,759212
1,3916,City,21,1,270505
3,3038,City,31,1,842411
4,2098,City,16,3,783627
3,1487,Rural,39,3,198257
4,1798,City,29,3,760205
1,2604,Suburb,50,3,83631
1,3714,Suburb,22,3,360065
1,2390,Suburb,47,3,640531
4,1241,Suburb,26,3,892627
1,3296,City,16,3,202754
3,3674,City,49,3,410455
3,1191,Rural,36,1,249047
1,2819,Rural,13,1,312574
5,2800,Suburb,24,1,870852
4,3986,Rural,41,2,322150
5,1383,Rural,38,2,697422
1,3279,Suburb,49,3,940059
5,3135,Rural,12,3,414196
4,3209,Suburb,18,1,473336
4,3152,Rural,25,1,483611
5,2084,Suburb,13,1,59198
2,1314,Suburb,43,1,938713
4,3723,Suburb,28,3,974652
1,1469,Suburb,33,2,884367
1,2808,City,7,1,779014
1,2745,Rural,46,2,821267
2,2332,City,45,3,125417
1,2979,Rural,41,2,499011
5,1888,City,42,1,337468
2,857,Suburb,23,3,651198
4,3428,Rural,13,1,699423
2,1304,Rural,22,1,952953
1,3320,Rural,1,3,323101
1,3748,Suburb,43,3,842520
5,2304,City,29,1,236949
4,3883,Suburb,44,3,918277
4,3133,Rural,36,3,163467
2,1026,Suburb,49,2,907456
1,1503,Rural,2,3,380798
1,3920,Rural,18,1,356752
2,3393,Suburb,26,2,666675
3,2332,Suburb,16,3,985703
1,3387,Suburb,14,2,404285
4,2368,City,22,1,597404
2,1324,City,3,2,635824
2,3843,Rural,39,3,360589
5,1817,Rural,15,1,940202
1,918,City,21,2,441797
1,2517,Suburb,50,2,324273
4,2725,Suburb,24,1,266796
3,2944,City,35,1,776873
4,2052,Rural,39,1,127887
3,3446,Suburb,9,1,273251
5,1778,City,23,1,417671
4,1915,City,8,3,489693
4,1517,Rural,44,2,246135
1,1382,Suburb,2,1,612198
4,2746,City,9,3,894278
1,3367,Rural,29,2,905399
5,2045,Suburb,28,3,255060
3,1923,Rural,35,3,383425
4,1085,Suburb,30,2,638446
5,3101,Suburb,31,3,667186
1,3126,Rural,10,3,985745
3,2508,Suburb,17,1,539488
4,2128,Rural,41,1,345743
4,2562,City,30,1,764730
2,2692,Rural,49,2,262453
4,2766,Suburb,26,3,333051
5,2127,Suburb,34,2,923767
4,3322,Suburb,2,1,616912
4,1431,City,34,1,957338
2,2799,Suburb,19,2,77254
2,2037,Rural,29,2,671888
2,1939,Rural,49,1,447604
4,3912,Rural,44,1,736692
3,2803,City,41,2,978434
3,1433,Rural,19,3,427839
5,3270,City,7,2,437425
4,1083,City,36,2,310317
2,1426,Suburb,42,1,842430
3,1646,Suburb,10,3,279814
4,3397,City,25,2,845880
2,1898,Suburb,3,1,467335
5,1155,Rural,28,2,112444
3,2241,Rural,49,3,65190
3,2421,Suburb,3,3,809307
1,3615,Suburb,16,3,774824
2,3672,Suburb,3,3,575970
1,3182,Rural,12,3,866524
5,1946,Rural,28,3,884860
1,2186,Suburb,36,3,804695
4,3607,Suburb,48,2,375442
3,2478,City,47,3,266780
1,2642,Suburb,16,3,437614
1,1430,Suburb,37,1,604793
2,1026,Suburb,24,1,725806
2,2871,City,14,2,798589
1,2555,City,10,1,714812
4,3463,City,20,1,726031
1,944,Rural,23,3,682409
4,2655,Suburb,38,2,74331
1,1539,Suburb,37,2,814061
5,1009,City,16,3,342919
5,1917,Suburb,42,1,771194
1,2263,Rural,31,2,371706
2,2493,Suburb,14,2,888005
4,3740,City,43,3,129809
5,3073,Suburb,5,1,740490
4,3917,City,3,1,360709
3,2351,Suburb,23,2,196792
2,2949,City,23,3,472750
2,3606,Rural,12,3,547004
3,3637,Rural,23,2,888124
2,1141,Suburb,30,2,751334
5,3891,City,37,3,423496
3,2419,City,35,2,658958
5,867,Suburb,33,3,784730
5,3951,Suburb,33,2,626885
3,1518,City,25,2,777051
4,2274,Suburb,27,2,625433
4,2741,City,24,2,661202
2,2330,Suburb,41,1,607507
3,995,Suburb,19,3,69629
5,3795,Rural,4,3,335585
4,1531,Rural,25,1,182483
4,1406,City,19,2,184021
2,2879,Suburb,26,1,359240
2,1427,Suburb,32,3,705405
2,3329,Rural,42,1,838798
2,3463,City,13,3,433730
3,3209,City,32,2,547573
1,3677,City,33,3,964798
4,2151,Suburb,48,3,845600
2,2681,Rural,9,2,828376
5,1235,Suburb,8,1,566739
4,3730,Suburb,42,1,613070
2,1689,Suburb,27,3,511314
2,2089,City,15,1,378077
3,2728,Suburb,31,3,591922
1,3852,Suburb,41,2,92905
1,1906,Rural,47,1,222022
3,1322,Rural,11,2,66933
5,3757,Suburb,12,3,532540
1,2495,Rural,9,2,525306
5,3404,Suburb,48,2,540706
4,1152,Suburb,18,2,678833
4,1407,City,34,2,686374
1,2278,Suburb,36,3,369602
1,1122,Rural,33,2,785572
4,3528,Rural,50,1,423371
4,2269,Suburb,11,2,516363
1,1816,Rural,15,3,541531
4,1038,Suburb,5,1,200328
1,2580,Rural,1,2,610665
3,2764,Suburb,38,2,704932
2,1403,Suburb,35,3,303383
1,2816,Suburb,21,2,479909
5,1352,Rural,6,3,296507
1,3557,Suburb,16,3,101017
4,1194,City,14,3,821329
5,890,City,7,3,452695
5,1814,Suburb,45,1,887358
2,1686,City,48,1,189817
1,1717,Rural,47,2,217550
3,1240,City,4,1,858148
5,2949,Suburb,41,1,149558
5,2265,Suburb,45,1,179669
3,2226,City,14,3,494752
5,1698,City,14,2,508169
4,2385,City,8,2,609061
3,2127,City,27,1,307818
4,2003,Suburb,33,2,769424
1,3331,City,39,2,468275
1,2582,Suburb,27,3,488465
1,3568,Suburb,13,1,220953
4,913,City,48,2,933208
5,2286,Rural,48,2,209755
5,2222,Suburb,50,1,353057
3,3624,City,24,1,476832
3,1758,Rural,3,1,518180
5,2597,City,20,3,517768
2,1124,City,20,1,818232
4,2379,City,28,3,399528
4,3269,Rural,10,1,941403
4,3301,Suburb,37,1,295820
2,3662,City,19,1,681797
3,3044,City,33,3,319936
3,1865,Rural,18,3,303795
4,2734,Rural,6,2,490218
3,1328,Rural,31,2,119090
4,3064,City,31,3,785473
5,2005,Rural,2,1,268880
5,3642,City,10,3,379399
3,1881,City,35,3,66552
2,2601,City,13,3,264545
3,2384,Suburb,9,3,180766
1,2932,Rural,39,2,536305
4,3962,City,27,2,601958
1,800,City,12,1,553766
3,1005,Suburb,50,3,910304
5,2979,City,5,1,655946
4,810,Suburb,6,2,917758
3,3853,Rural,46,1,196068
2,3568,Rural,34,3,926228
3,2338,City,25,1,722666
2,3814,Suburb,13,3,436994
5,1116,City,30,2,299968
2,2687,City,1,3,841875
1,3004,Rural,28,2,700873
1,1301,Suburb,6,2,98425
1,984,Suburb,41,2,852149
1,2676,Rural,46,3,784373
1,817,Rural,19,3,754421
2,1819,Rural,35,1,742519
1,2771,City,18,3,893268
4,1588,Rural,14,3,513499
2,1147,City,22,1,440797
5,3506,Rural,38,1,790954
2,2322,City,11,1,619519
3,997,City,4,3,316552
5,3409,City,18,3,237341
1,2337,Suburb,36,3,975233
1,1967,City,13,3,917912
3,1136,City,48,3,671062
1,2221,Rural,49,1,602334
5,2664,City,3,3,795414
5,1610,City,18,2,82793
5,1413,Suburb,29,1,344459
2,3108,Suburb,17,3,515641
2,1734,Rural,5,3,150078
5,2456,City,33,1,850546
2,1766,City,50,2,509515
2,1745,Suburb,18,3,959207
4,1227,Rural,8,1,739820
2,2462,Suburb,19,2,915614
4,917,City,7,1,217268
4,3169,Suburb,3,2,527193
2,1787,Rural,19,3,995461
2,1248,City,39,2,63678
2,3292,City,17,3,56144
1,3616,Rural,39,3,246958
4,2735,Suburb,24,1,102207
1,2464,Rural,26,1,938404
5,1026,Suburb,45,2,193799
2,2106,City,24,3,591697
5,1025,Suburb,20,3,91724
1,1553,City,45,3,497815
4,1372,City,32,2,293283
3,3071,City,31,2,558708
2,2234,City,2,2,189854
5,3267,Suburb,34,3,908390
5,1994,Suburb,25,1,236950
5,891,Suburb,23,3,333359
1,2780,Suburb,34,2,465174
1,3123,City,20,1,124947
3,1523,City,31,2,476827
1,2217,City,27,2,795287
4,924,Suburb,35,2,583082
4,3813,Rural,21,3,813766
5,3663,Suburb,49,3,806342
2,3806,City,37,2,195382
5,2731,Rural,18,2,902988
4,3729,Rural,17,3,738342
4,1073,Suburb,48,3,481012
4,2020,Rural,28,3,538782
5,2287,Rural,26,3,646821
3,3801,Rural,35,3,346868
2,2209,Suburb,36,3,450291
3,1184,City,39,1,728311
3,3363,Suburb,7,3,712629
2,3928,City,31,1,153786
4,998,Suburb,18,3,257420
4,2528,Suburb,14,2,740232
5,1122,Rural,49,1,73986
5,2798,City,46,1,563697
3,918,City,3,2,639383
2,2370,City,27,2,873040
2,1804,Suburb,25,3,829585
1,3199,Suburb,48,2,826993
1,3676,Rural,29,1,791385
3,2975,Rural,9,2,955234
5,830,Suburb,37,1,342771
4,2301,Rural,13,2,964940
4,2718,Rural,38,1,53217
3,3121,Rural,42,1,237792
2,3172,Suburb,6,1,279685
1,3100,Suburb,2,1,772383
5,2531,Suburb,42,1,550298
2,1751,City,41,3,532365
5,1499,Rural,19,2,829176
5,1925,Rural,43,1,930415
3,3063,Suburb,22,1,230568
1,1059,Suburb,1,1,620436
1,1671,Rural,17,2,855943
4,2086,Rural,42,3,142861
2,2456,Rural,45,2,235478
2,2611,Suburb,40,2,256213
1,3955,City,32,1,751651
5,2657,Rural,38,1,404516
4,1086,Rural,45,3,359188
4,1151,City,25,1,182086
5,1479,Suburb,28,3,510845
4,3264,City,38,1,716653
5,2957,Suburb,14,1,56081
4,2465,City,29,2,722532
1,1799,Suburb,34,1,462207
4,2356,City,2,3,252012
4,907,Suburb,23,2,90219
2,1909,Rural,14,2,558151
4,3056,City,15,3,185563
5,3754,City,37,2,754717
1,2912,Suburb,26,3,843338
4,1789,Suburb,33,1,952256
1,1448,Rural,7,2,297386
1,904,City,18,3,492115
4,3796,City,40,2,308570
2,3170,City,5,2,519352
3,2085,City,27,1,929480
4,3666,Suburb,31,1,699074
3,1493,City,9,3,417022
4,3497,Rural,15,1,752426
1,1680,Suburb,27,3,984453
4,1066,City,18,1,241656
3,3299,City,21,3,622466
1,1207,Rural,29,1,726886
4,2497,Suburb,44,2,593997
2,3865,Suburb,4,3,643535
5,1908,Suburb,1,1,120823
4,3367,Suburb,13,2,444084
2,2042,City,20,3,693277
3,2422,City,21,1,718104
2,807,City,10,1,760979
5,1423,City,41,1,333234
2,3074,Suburb,50,2,590712
4,3662,City,4,3,726019
2,1551,Rural,32,1,883068
4,1934,Rural,14,3,505758
3,3628,Rural,45,1,580227
5,2611,Rural,24,3,530496
2,3735,Rural,19,3,286434
5,3187,Suburb,8,3,196808
2,2316,City,45,1,80443
5,1164,Rural,49,1,549981
2,2870,Suburb,44,1,151657
3,2030,Suburb,23,3,779173
3,2302,Rural,42,1,893715
4,3070,Rural,44,2,952017
2,2101,City,23,3,341565
3,1173,City,3,1,145599
3,2842,Suburb,47,3,268658
5,2176,City,6,2,488692
3,1169,Suburb,16,3,698491
3,2417,Rural,8,3,445329
4,1770,City,34,1,221905
1,2089,Suburb,27,2,441339
5,2266,Rural,23,2,755328
3,3454,Rural,35,3,359280
1,2084,Rural,29,1,889228
1,961,Suburb,5,3,918379
3,3841,City,42,1,236829
4,2479,Suburb,40,1,743957
2,3102,City,10,3,355228
4,3554,Suburb,17,2,136645
3,1245,Rural,27,3,962527
5,1480,Rural,38,1,127118
2,2925,Rural,46,1,233486
2,949,City,39,2,163162
3,3179,City,5,1,58992
3,3471,Suburb,12,2,990808
5,2393,Rural,19,1,149269
4,3846,Rural,33,1,532659
5,2373,Rural,24,3,619588
3,1514,Rural,17,1,632448
5,1161,Suburb,14,2,51142
3,1570,Rural,4,2,347820
2,2968,City,49,1,295626
5,3046,City,13,1,886922
1,3892,City,50,3,251111
2,3037,City,8,3,813981
1,3749,Rural,29,2,80391
3,1873,Rural,27,1,88452
1,3221,City,45,2,554523
4,3820,City,28,2,710220
3,1718,City,9,3,196757
1,3604,Suburb,38,1,158122
3,1007,City,30,3,315863
4,1764,City,38,1,108665
1,3783,Suburb,38,1,712596
1,3280,Suburb,49,3,580432
2,1151,Rural,16,2,99378
1,2874,Rural,34,3,713104
1,1853,Suburb,7,1,340436
3,1183,Suburb,8,1,161008
4,3590,City,8,3,316709
5,3169,Suburb,37,1,716382
4,1810,Rural,21,1,741654
4,2749,Suburb,41,3,340638
1,2896,City,49,1,113362
5,3991,Rural,44,3,179336
5,3078,Suburb,21,3,668188
4,3743,Rural,34,2,305447
3,803,Suburb,36,3,780373
5,3697,Rural,23,1,733402
5,2142,City,14,3,851153
4,1265,Suburb,47,2,135201
2,2852,Rural,4,2,558237
5,3826,Rural,11,1,868125
4,1905,Rural,33,2,878497
2,3586,Rural,1,3,145666
4,2749,City,9,2,771908
4,2385,Rural,36,2,447358
3,3985,Suburb,3,1,317406
1,1459,Rural,11,3,66418
2,1614,Rural,49,1,849376
1,1138,Suburb,32,2,349008
2,2631,Rural,46,1,119933
2,1130,Rural,20,2,521913
5,3485,Rural,20,1,834965
3,2536,Suburb,36,2,465068
3,1438,Suburb,7,1,994335
4,3272,Suburb,20,2,815181
1,2808,Suburb,39,1,256520
4,1922,Suburb,18,2,657090
3,2190,Suburb,27,1,286429
4,2011,City,3,2,417887
3,2574,City,44,2,604619
3,1829,Suburb,25,2,90452
2,3940,City,26,3,476686
4,2372,Rural,41,3,891502
2,3484,Rural,50,2,244710
4,1351,Rural,21,1,277758
3,2966,Rural,11,2,672744
3,3445,City,19,3,977984
5,3609,City,38,1,929566
2,1476,Rural,8,3,598877
1,1998,Rural,45,2,607530
4,995,City,5,3,662232
1,973,Suburb,34,2,939734
5,3400,Suburb,8,2,480469
3,3779,City,42,1,515013
2,1417,Suburb,3,1,639698
1,1287,Rural,43,1,568342
2,1496,City,29,2,209836
3,3134,City,26,1,797983
2,3697,Rural,26,3,712457
2,1123,City,23,2,589427
4,2106,Rural,50,2,881984
1,2731,City,30,2,533853
5,842,Rural,27,1,407061
2,3993,Suburb,25,3,704541
2,1683,City,20,1,133104
5,1141,Suburb,33,3,576007
1,900,Rural,42,3,934215
3,1876,Suburb,49,1,977992
4,2206,Suburb,49,1,406836
5,2741,Suburb,24,2,478860
2,2202,City,13,2,326481
3,2060,Rural,33,2,724123
4,2298,Suburb,15,2,778649
5,3581,City,42,2,130393
2,2673,Rural,50,3,907186
1,990,City,29,1,766025
5,3478,Rural,40,2,562087
2,2164,Rural,26,3,467888
3,3627,Suburb,10,2,474123
5,3495,Rural,13,1,487048
4,2492,Rural,50,1,85960
1,1455,City,14,2,541249
5,2683,Suburb,38,2,569561
5,949,Suburb,28,2,122507
1,2105,Rural,9,1,231059
3,2310,Rural,42,3,64256
4,3049,City,41,1,739028
2,873,Rural,34,2,476367
3,2075,Suburb,1,2,782799
2,1729,Suburb,16,2,801954
4,2284,Rural,39,2,887379
3,1953,Suburb,36,2,698228
5,2684,Rural,20,3,837339
3,2968,City,37,2,184405
2,2567,Rural,39,1,488720
5,2829,Rural,34,2,430267
1,3068,Rural,40,2,866736
3,1867,Suburb,14,3,897086
3,3043,Rural,37,2,422617
5,2236,Rural,44,3,269006
3,3881,City,1,2,464825
5,3366,Suburb,41,3,383369
1,1686,Suburb,11,1,485847
3,3313,Rural,40,3,344918
2,2566,City,41,1,263036
3,1785,Rural,19,2,902458
5,2214,City,47,1,940881
5,2417,Suburb,45,2,960930
2,1799,City,39,1,221485
2,885,Suburb,4,2,454708
5,2461,City,36,3,927029
5,3051,City,38,3,610467
3,1209,City,15,2,208197
5,3656,Rural,19,2,258217
2,3111,Suburb,18,2,557469
3,3852,City,6,1,134892
5,2875,Suburb,10,1,559158
1,1097,Rural,16,2,818823
2,3679,Suburb,11,3,349081
1,2682,City,39,3,709342
3,1540,Rural,31,1,697017
2,1605,Rural,6,1,539312
3,2432,City,12,3,56523
4,1829,Rural,23,1,848769
2,1753,Rural,42,1,307615
3,3194,Rural,24,2,977589
1,1867,Rural,26,2,798623
3,1094,Rural,22,1,559911
5,2424,Rural,8,1,843582
5,2468,Rural,50,1,807291
1,3065,Suburb,18,1,272210
3,3484,City,31,2,666287
2,3157,Suburb,11,2,897395
1,3023,Rural,2,2,186929
3,1728,Rural,10,1,944109
4,3899,Rural,48,1,368278
5,2937,City,9,2,595070
1,2875,City,6,2,455315
3,2142,City,11,3,693575
4,3293,Rural,37,2,540049
5,3246,Rural,30,2,591976
4,3809,Rural,47,1,755645
1,2337,Suburb,50,2,634148
3,2600,Suburb,33,2,388158
4,3207,Suburb,34,1,988423
4,2392,Suburb,14,3,784000
4,1110,City,22,2,120667
2,1723,Suburb,27,3,426609
4,3932,Suburb,9,1,250536
3,1625,Suburb,30,2,851240
3,821,Rural,45,3,992147
3,1885,Rural,3,2,607028
5,1073,Suburb,24,3,716100
4,1955,City,3,2,589357
1,2110,City,22,3,764073
5,972,City,28,1,781367
2,3959,Rural,26,2,89389
3,3440,Rural,1,1,413533
2,1951,Suburb,20,1,924961
5,1145,City,4,3,481510
2,2427,Rural,46,3,911974
5,1839,City,36,1,190188
2,3384,City,3,2,261551
3,2593,Rural,4,1,625709
4,3859,City,38,1,319405
3,2516,City,2,1,539701
3,3114,Suburb,10,3,938982
3,3177,Suburb,33,3,685074
4,1741,Suburb,39,3,558903
3,3689,Rural,27,2,234984
5,2377,Suburb,45,1,178505
2,1930,City,4,1,580181
4,3826,City,40,1,979441
1,992,Rural,32,2,390971
5,2267,Suburb,39,1,774519
4,3709,Rural,37,3,121316
2,1890,City,29,3,798445
4,1381,Suburb,5,1,300398
5,2352,Suburb,10,1,260557
5,2862,Rural,41,1,318853
1,2858,City,17,3,84962
3,2980,Suburb,15,1,419876
2,2332,City,41,1,726996
5,2270,City,27,2,281023
5,1830,Rural,32,1,813169
2,3468,Suburb,20,3,721706
5,1909,Suburb,47,2,323976
1,3620,Suburb,21,3,200375
1,855,Suburb,12,2,431299
3,2952,City,50,3,433893
4,2593,City,11,3,863424
2,3565,City,49,2,720220
1,1483,City,22,3,647215
1,1810,Suburb,8,2,935687
1,2256,City,45,1,117040
1,2174,Suburb,1,1,447410
3,1928,Suburb,15,3,379175
5,3331,City,46,2,928452
1,2171,City,12,1,384326
3,839,City,49,1,297726
4,3622,City,9,1,308658
5,817,Rural,48,3,260643
4,3781,City,29,3,524323
5,930,Suburb,15,1,367664
5,2780,Suburb,39,2,52280
5,3225,City,24,2,331123
3,906,City,3,1,435406
2,2531,Rural,48,2,269938
4,2076,Rural,38,3,177159
5,1228,Suburb,40,3,670732
5,1437,City,39,1,480235
1,2378,Suburb,13,1,914648
1,2040,City,49,1,490669
3,2329,City,40,3,862431
5,1678,City,7,1,700514
4,2669,City,13,1,732880
4,1315,City,39,2,432812
1,3954,Suburb,13,1,118573
1,1300,Rural,4,3,558701
2,3189,Rural,17,2,296640
5,1031,City,25,2,173334
5,3461,City,33,3,742609
1,2011,City,41,3,76804
1,1275,City,4,3,676638
1,2103,Rural,16,2,956332
2,3220,City,37,1,249254
2,3694,Rural,16,3,122059
2,1905,City,8,3,74887
5,1400,Suburb,8,3,157001
2,1666,City,27,2,803108
5,1838,Suburb,7,2,368540
1,1444,Suburb,43,2,781784
5,3992,Suburb,27,2,177384
4,3390,Suburb,48,2,839221
3,2940,Suburb,21,2,202291
1,3029,Suburb,29,3,830371
4,3586,Rural,19,1,506099
3,1649,Rural,32,3,753816
4,1089,Suburb,13,1,985264
3,2794,Suburb,29,1,355887
3,3906,Suburb,7,2,949183
2,3806,Suburb,31,2,103594
4,3545,Rural,41,1,428467
4,1461,Rural,10,2,638493
1,1393,Rural,43,3,435495
5,2688,Suburb,14,3,786751
4,2820,Suburb,47,2,973293
4,1848,Suburb,34,3,478305
1,2176,Suburb,50,3,311299
1,1770,Rural,3,2,127133
2,3806,Rural,45,3,697692
5,2079,Suburb,49,1,264249
5,3620,Rural,21,2,363342
2,2190,City,27,1,90113
1,3104,Suburb,30,3,119595
1,3952,Rural,36,3,587748
1,2114,Rural,24,3,423959
4,1137,Suburb,14,3,216992
5,1923,Rural,4,2,447711
5,3993,Suburb,27,3,496173
3,1917,City,39,1,879709
3,3757,City,36,2,183399
4,1385,Suburb,32,3,435488
4,3541,Suburb,44,3,703992
5,3013,City,30,3,815999
3,3029,City,24,3,327287
2,3870,City,28,2,57081
1,2900,Suburb,16,2,345017
5,1461,Suburb,15,2,580016
2,1973,Rural,4,3,90669
4,1484,City,13,2,904223
1,2635,City,21,3,151600
4,3523,Suburb,42,2,408419
3,828,Rural,44,2,274966
2,3341,City,15,2,969352
1,3818,City,13,1,424826
1,2936,Rural,19,3,809216
4,2913,City,11,3,994066
5,2105,City,8,3,93279
2,2872,Suburb,15,2,566183
1,2254,Rural,8,3,786196
1,3524,City,23,3,73243
3,3698,Rural,28,3,509399
2,1098,Rural,44,1,950265
2,815,Rural,7,3,861330
1,2888,Suburb,44,3,220088
2,800,Suburb,50,2,886227
2,1964,City,23,3,670808
1,2593,Suburb,47,3,148311
1,3036,City,26,3,776582
4,2241,Rural,49,3,227948
4,2846,City,11,1,380081
4,3051,Rural,35,1,520777
4,1949,City,14,1,399600
2,3783,Rural,47,3,557781
3,2411,Rural,14,3,709188
1,2059,City,30,3,283830
1,3554,City,8,2,722026
5,1211,Rural,43,3,610009
3,1524,City,1,3,938655
3,1184,Suburb,41,3,648156
1,2489,Rural,31,2,295542
3,2116,Rural,46,1,673259
5,2817,Suburb,29,2,539500
2,2080,City,20,1,404742
4,1026,Rural,42,2,366359
5,2160,City,19,1,207622
4,3544,Suburb,40,1,486205
1,2359,Suburb,20,3,140547
2,2677,Suburb,5,3,415460
5,3257,Rural,32,2,354424
3,944,Suburb,21,1,135935
2,1788,City,41,3,498158
5,1883,Rural,43,2,575079
2,1715,City,9,1,520941
1,3429,City,11,3,436725
3,2348,Suburb,43,1,98743
4,3531,Suburb,45,2,320751
4,863,Rural,22,2,357822
4,1048,Suburb,9,2,69946
5,1782,Rural,36,3,350867
2,1474,Rural,48,1,351974
3,2213,Suburb,32,2,150146
3,3135,Suburb,4,2,537705
5,3415,City,10,1,75952
3,3784,Suburb,46,1,848976
3,883,Suburb,47,1,580661
2,3654,Rural,49,2,456742
2,2328,Suburb,22,1,489437
2,3672,Rural,27,1,568964
5,2756,Rural,10,3,296627
5,3423,Suburb,40,3,102185
5,887,Rural,48,3,127903
3,3860,City,6,3,294387
4,2846,Rural,15,3,199248
3,1735,Suburb,17,3,527275
2,3433,Suburb,20,3,915183
4,1804,City,50,2,522880
1,1374,Rural,3,3,644463
4,3663,Rural,17,1,844612
2,2138,City,43,3,699203
2,2689,Rural,43,1,173373
2,1943,City,3,2,743411
2,2574,City,10,1,241016
1,2172,Rural,40,1,603133
4,1885,Rural,8,3,150247
1,2221,City,49,2,818096
3,3565,City,33,2,931387
4,2489,City,24,1,229800
3,1858,Suburb,49,2,552487
3,1694,Suburb,40,1,370228
3,1649,Suburb,49,2,915634
2,3544,Rural,42,2,225689
4,3864,City,13,3,184168
5,2065,Suburb,13,3,242007
4,1273,City,48,3,63802
2,1173,Suburb,36,3,105808
4,3029,City,13,1,474234
2,3791,City,41,2,67260
4,2388,Suburb,9,3,878348
4,3210,Rural,34,2,796920
3,3972,Suburb,30,3,120736
1,1277,City,49,1,87074
4,2662,City,33,1,777925
5,2312,Suburb,11,2,808229
1,2544,Suburb,49,1,643439
5,1981,Rural,25,3,629587
4,2275,Suburb,30,1,368560
2,2478,City,1,3,952960
4,1203,Suburb,5,2,703976
3,2812,City,24,3,754805
