Car Model,MPG,Engine Displacement,Horsepower,Weight,Acceleration,Number of Cylinders,Origin,Curb Weight
Ford,23.01321323,4.693521362,493.0958164,4990.607298,11.91454388,8,USA,3426.256676
BMW,25.54709159,4.789689495,199.9891563,4202.762179,15.11002057,8,Germany,3464.65525
BMW,20.85396127,4.930249351,129.345627,5267.173478,13.12259423,6,Germany,2901.269142
Ford,43.14950037,5.166540943,365.2584996,5838.36859,17.65141694,6,Germany,3789.821447
Nissan,24.27013307,3.223940882,338.1465481,5170.649907,16.4261406,8,USA,2993.869695
Nissan,21.23738039,2.775467273,266.0582616,4415.212315,5.874458058,8,USA,3878.67191
Ford,31.70784333,3.828794986,268.8768936,3973.366352,19.97631851,8,Japan,3207.402102
Mercedes,15.636969,2.984689694,414.0255684,2160.276345,16.28603681,6,Japan,2515.585999
Nissan,42.08787923,3.904296667,178.285056,5937.287915,17.95854974,4,Japan,2743.061967
Honda,12.98202575,4.322343451,428.1013276,3533.92449,14.76796568,6,Japan,2653.478885
Honda,49.47547746,4.253620074,359.4988456,2608.912856,17.84427692,8,USA,2566.038694
Mercedes,40.88979077,2.998211548,267.5879095,4666.835422,6.685744624,4,USA,3571.025966
BMW,17.94862726,2.167440807,283.2114466,3137.153156,10.21606753,6,Japan,2788.47381
Nissan,10.22088468,3.222117354,202.6588829,4343.113084,18.14631415,8,USA,3757.929692
Mercedes,42.61845714,2.070376576,400.8457331,4347.071631,8.024828169,6,USA,2896.703243
Toyota,38.27429375,5.060388141,305.1498969,3782.919284,6.173631479,4,USA,2548.49066
Mercedes,39.16028672,2.883509843,228.3418171,5344.474462,16.8217841,8,USA,3731.013016
Ford,40.85081387,2.117838989,338.4200463,3059.868246,17.53229233,6,Japan,3199.218776
Honda,12.96178607,1.60179104,498.2937808,3794.530366,7.439783273,4,Japan,3399.25816
Mercedes,24.33862914,4.083289545,274.1049119,4150.768514,17.81518974,4,USA,3004.340933
Audi,14.63476238,4.04760927,468.2765603,4654.498883,15.30151693,6,Germany,2569.060594
Nissan,44.52413704,2.862416666,238.006736,5135.887402,12.80124025,4,Japan,3055.265634
Audi,34.93192507,1.786847555,121.8930828,3579.229132,17.45375289,8,Japan,3277.429555
Nissan,23.23592099,3.13851558,181.6968425,4584.187776,11.28873874,4,Germany,2517.529905
Mercedes,12.54233401,2.74486998,267.4780573,2602.443812,7.909909343,6,Japan,3361.435048
Mercedes,22.43929287,4.208482559,187.8539714,5730.592402,9.272790149,8,Germany,3839.563232
Honda,23.00733288,3.923116998,100.0908153,3532.235226,12.57746027,4,Germany,2826.760784
Honda,39.18424713,2.958374913,466.0006151,4918.085688,12.96996189,4,USA,3890.153742
Mercedes,35.50229885,2.371570217,437.5517645,2081.364328,17.0837124,8,Japan,2646.412778
Toyota,45.4885097,5.452143865,396.9168926,2820.748572,16.87029085,8,Germany,3738.154525
Nissan,28.88859701,3.316006485,167.1258383,3948.330177,13.72049836,4,USA,3760.486537
Mercedes,14.78376984,4.253096943,148.1454305,5513.009871,16.71178225,8,Japan,2886.639794
Nissan,38.52979149,2.06221187,127.0418998,4109.0206,7.876601874,6,USA,3936.765112
Chevrolet,40.43140194,3.442358799,389.6116755,5719.481929,5.750967906,4,USA,3124.898089
BMW,32.4510879,1.610146879,471.5231843,3935.187586,18.10450734,6,Germany,2711.884131
Toyota,40.8386872,3.521820472,272.2143284,3961.796387,6.133317406,4,Japan,3387.571676
Honda,29.75182385,5.356069628,147.6562688,2478.987154,8.700326446,6,USA,3994.922056
Audi,30.90931318,3.036826852,304.9571283,5210.624977,15.42978424,6,Germany,3848.937323
Honda,27.10164073,1.65598405,239.532763,2987.86165,11.14171906,8,Germany,2917.904239
Ford,11.01676507,1.623823164,249.9299697,5598.449957,18.14470955,4,USA,3365.479899
BMW,14.31565708,3.05194704,348.5322497,5643.296881,9.46969692,8,USA,2673.05149
Honda,11.25716743,2.140099746,387.4872453,5773.240447,5.1780702,8,Germany,3192.767207
Nissan,35.45641645,1.593408385,144.2414395,4080.921956,9.509834608,4,USA,3284.605102
Honda,22.57423924,4.524854456,114.2360923,4708.375139,13.67112574,6,USA,2972.917447
Mercedes,30.34282765,3.334092036,497.7321211,5114.06352,10.63907563,4,Japan,3226.280624
Nissan,46.30265896,2.656979088,193.0913396,2524.058475,13.02309134,4,Germany,3879.907687
Nissan,19.97168917,5.100332732,121.53221,4403.82878,18.14897178,4,USA,3250.206456
Toyota,26.41531692,1.964555841,175.9501316,2137.191605,18.68727581,8,Germany,3746.485466
Honda,40.22204554,5.323675316,115.5831385,3990.264334,8.98961097,4,Japan,2976.085644
Toyota,19.15192662,2.75586687,256.7243578,2619.370726,11.9321071,4,Germany,3957.106334
Audi,13.07919639,5.053614689,420.9607138,2731.691704,13.23716023,4,Germany,2640.19485
Audi,21.59005812,3.911771506,236.4977799,3460.190267,19.23668685,6,Germany,3378.37997
BMW,16.44885149,4.806829439,277.6733628,3729.748667,19.97925979,6,Japan,3684.831693
Nissan,47.18790609,5.436052653,370.2347094,4492.689698,8.531108733,6,Japan,3721.061479
Mercedes,42.32481518,2.653621751,303.557628,2297.713674,15.90469807,6,Germany,2797.421666
Mercedes,35.33615026,5.344541942,444.5782744,4014.767045,10.67046593,8,Germany,3102.468833
Audi,44.85842361,3.05792758,446.41427,2730.500521,5.121622953,8,Japan,3436.294259
BMW,42.14688308,3.042047619,103.9642782,4295.9007,5.138787837,4,USA,2973.824065
Honda,17.46280236,2.861548417,411.2185226,4549.618449,11.90849011,8,Japan,3487.444023
BMW,45.70235994,3.665630429,284.2934401,4226.837026,12.3250237,6,Germany,3068.171007
BMW,31.57368968,2.116580173,495.5362165,4953.182042,5.338545449,4,USA,3026.299484
Honda,42.29760621,3.714845941,293.2928304,3342.436977,15.30391125,4,USA,2662.102257
Toyota,45.843652,3.66681925,494.7583782,5060.426367,9.410050829,6,USA,2558.879318
Toyota,22.720139,4.54760725,401.8277445,3731.068327,13.39839652,6,Japan,3752.910685
Nissan,14.40207698,4.834599848,199.4419538,3936.737993,9.513786097,6,Japan,3234.316738
Mercedes,19.1174065,3.261765401,315.3579917,4592.408509,7.507014723,8,Japan,3344.3097
Nissan,27.08431155,2.709332997,496.8542558,2073.433536,11.10760608,4,Japan,3058.331534
Honda,42.72059064,2.537339589,443.0122431,4615.976886,8.484100472,6,Germany,2705.113068
Honda,44.42922333,2.278495347,138.9467575,4474.340596,13.02201465,4,USA,3174.357997
Chevrolet,10.27808522,1.730590329,382.5487987,3239.388467,7.982427954,4,Germany,2843.435617
Chevrolet,30.4298921,2.869791915,238.2318343,2343.17714,12.62608965,8,Japan,3756.52457
Ford,26.69644013,2.580990769,102.7929048,2363.7418,7.360677723,4,Japan,3980.182807
Mercedes,18.88431242,5.365669543,261.3923876,5692.894988,15.06462064,6,Germany,3833.644203
Audi,14.79461469,3.730835305,193.9017687,4757.117285,16.30906527,6,USA,3292.411399
Nissan,23.50460686,2.889108156,427.5477082,2508.410455,6.655913514,4,USA,3442.197618
BMW,47.71638816,3.821870404,234.9322435,3426.892677,12.01703618,4,Japan,3922.183814
Audi,22.92811728,2.056786805,431.0094776,4369.931976,6.06307551,8,Japan,3308.0229
Ford,30.75162487,3.276174997,100.2391755,5342.28682,13.97273668,6,Japan,3457.883685
Audi,38.12075836,4.004937286,223.12766,2174.643715,8.966064469,6,Japan,3443.844256
Mercedes,24.5451841,3.455591327,196.4660857,2946.532526,12.91436685,4,USA,3562.181728
Mercedes,48.87128331,3.107115203,193.4269444,5558.995961,12.76191514,4,Germany,3460.427649
Mercedes,48.4978918,5.475393556,127.2746479,2036.662201,18.86531519,4,USA,3506.058097
Ford,20.07129183,5.021259049,174.8497082,2805.596411,13.23624834,6,Germany,3588.841708
Toyota,29.88994024,3.993623833,322.219828,5836.096704,13.7449772,4,Japan,3713.648845
BMW,22.03513239,3.777509445,216.5444291,4453.607386,11.02479689,8,Japan,3104.582454
Mercedes,21.39361978,3.982641919,266.9579129,3046.685467,19.23619405,8,Germany,3618.750976
Toyota,11.47547789,2.305248431,250.7467521,2267.964378,16.65778864,4,Japan,2650.305639
Mercedes,34.38257336,3.080550973,450.36197,2112.765362,9.281079355,8,USA,3814.282198
Chevrolet,30.10716093,1.657838132,462.1195996,2978.980319,17.66314379,8,Japan,2935.066462
Ford,12.05915005,3.40218415,297.1827887,5525.943278,11.4859454,8,Japan,3105.190471
Audi,21.14585857,3.672098336,232.0623801,3663.654617,17.43000715,8,Japan,3705.415619
Chevrolet,46.33063544,2.410998944,142.7202816,4881.333477,17.34332102,8,Japan,3455.480557
BMW,19.58247563,5.356115389,481.3611518,5673.140142,7.833052801,6,USA,2962.941985
Mercedes,15.79579488,5.137818444,124.090778,3632.161846,15.51711697,4,Germany,2838.098667
BMW,29.57811041,4.388572942,219.060111,2765.109484,9.35964454,8,Japan,3936.571673
Nissan,49.42601816,3.633546515,219.2264805,4068.471723,9.46239005,4,Japan,2631.664542
Mercedes,19.68221086,4.979876639,228.1605145,5632.334748,9.445221153,8,USA,2506.502663
Honda,36.8854219,2.022609375,165.7147373,5217.497657,15.88352371,6,USA,3509.402353
Toyota,40.46478461,4.662039177,413.2645724,2263.319373,8.447390627,6,USA,3421.711641
Nissan,19.50550176,1.999283256,148.9991448,4770.2912,5.013587529,8,Japan,3606.420944
Audi,39.12865394,4.67684265,353.9626637,4287.59009,15.7285528,8,Germany,3597.450747
Nissan,24.71132531,2.603070273,149.5384107,5629.852705,7.567771158,8,USA,3794.888691
Audi,35.29223322,5.008362324,128.214255,2489.925667,6.56723593,6,USA,3883.162886
Toyota,35.34118843,5.276168375,463.7718015,4136.144453,8.562741809,6,USA,3662.536882
Toyota,31.43098736,2.095183878,176.0515065,5517.850774,10.69850783,4,Germany,2848.439202
BMW,13.6115908,3.35070242,428.5000618,3640.095147,12.13859491,6,Japan,3195.244267
BMW,43.41209982,5.423949513,317.8523484,3927.979671,5.668550611,8,Japan,3462.572861
Ford,22.8312026,3.433629744,131.1426078,2281.842711,19.55859999,4,Japan,3309.047903
Chevrolet,17.46074042,4.95419009,482.1792766,3112.574562,15.7409458,6,USA,2738.346269
BMW,11.63100566,3.854926089,198.7844668,3298.026597,9.84791098,6,Japan,3383.909546
Nissan,33.63571773,3.001319632,443.8581381,5780.489795,9.780458859,8,USA,3829.792974
Ford,37.10257447,2.643134222,167.5240023,3130.669442,11.72813824,4,Germany,3127.775835
Audi,10.66351316,2.312892364,441.5771529,3843.474941,14.39367234,6,Germany,3503.399237
Ford,30.48372233,4.547192766,105.2915252,4685.217694,7.195595999,6,Japan,3423.901429
Nissan,19.05983101,3.046162027,304.7121826,2648.73349,7.833947206,8,USA,3065.564705
BMW,35.80691162,3.545101849,407.7770318,3945.769549,17.89151874,4,USA,3347.906811
Mercedes,16.97465716,3.46930192,473.918207,4954.156158,8.843823858,4,Japan,2815.318051
Audi,37.63750952,3.809116117,463.6808545,5467.420852,10.70292497,4,Germany,3319.160888
Nissan,25.46941385,4.962308582,427.8499478,4505.037099,18.06907776,4,Germany,3698.244386
Honda,47.46919955,5.422957374,455.2765399,4676.214061,14.94721744,8,Germany,3638.421654
BMW,15.50083777,3.130336834,179.6878743,2505.13389,10.12567819,6,Germany,3036.931825
Chevrolet,23.64265404,4.810075688,213.6737183,5783.105989,15.25549319,6,Germany,2668.127824
Audi,14.53894085,4.558111179,215.58741,2530.29631,5.295248231,4,Japan,3699.913848
Nissan,46.98774473,3.794115806,250.8215724,5098.691749,16.0346399,4,Japan,2897.558634
BMW,45.09357414,5.324188574,257.3282682,3059.265287,12.30524061,4,Japan,2579.565651
Toyota,20.31766511,2.301898062,317.8221299,5734.372575,17.19773221,6,Germany,3167.78944
Honda,36.39936184,1.937056841,163.9519053,4879.838157,19.31956478,6,Germany,3609.205794
Audi,42.68888801,4.915847868,376.4986655,5015.254852,18.88682824,4,Japan,3712.740011
Audi,32.20803246,3.256599267,167.0266157,2876.236692,18.63897565,8,Japan,3973.303224
Chevrolet,31.18602313,4.887875417,224.1233928,3772.159907,12.68254934,6,Germany,2784.111526
BMW,19.67409164,5.072360821,301.3380522,4471.252778,10.40213171,6,USA,2940.692276
Toyota,13.72411071,1.749830374,418.5762246,5079.894473,11.97552987,4,Japan,3414.235748
BMW,45.88863032,5.033859052,395.7876933,2415.837504,15.34844005,8,Germany,3717.015546
Toyota,46.01672229,3.293276221,358.2137426,5849.461266,18.25996665,4,Germany,2851.112532
Chevrolet,35.32405829,3.541729956,162.3093042,5560.882682,8.104794545,4,Japan,3114.871676
Honda,23.56119164,4.006370044,318.8181382,3081.394362,18.77289738,8,USA,3112.601003
Audi,23.96838298,5.205530427,134.9786007,5291.040972,17.22770348,8,Germany,3659.4051
Toyota,39.03822715,1.576464378,250.9452707,4073.295692,19.68284023,8,Japan,2861.398309
Ford,45.8844104,3.407373873,265.4066121,3847.225926,18.2037766,6,Germany,3953.137832
Chevrolet,45.48345697,4.25088817,115.9245758,3257.736423,9.199059945,4,Germany,3265.695719
Chevrolet,41.19502183,4.390827831,209.5952398,4323.874347,6.58933867,6,Germany,2923.100255
Nissan,35.68126585,4.270129726,482.2597869,4919.556471,6.68361608,8,Germany,2926.42609
Honda,13.3655986,2.037740518,481.4530431,3643.73162,9.368349779,6,USA,2527.44998
Ford,16.46514856,2.697582353,240.9308217,4516.876772,14.21275586,8,Japan,3538.646336
Ford,45.94216754,2.934862102,117.2400436,4797.251685,17.06480489,8,Japan,3663.922454
Nissan,34.25716239,4.717748831,171.6379757,4844.487268,18.4887546,4,Japan,2548.641659
Toyota,10.36788206,2.61503949,256.8871174,2207.864393,14.35630077,4,Japan,3378.901809
Toyota,14.05886171,2.342819855,479.1118792,5438.991223,5.084469691,4,Japan,3672.509002
Mercedes,36.54007076,5.329792076,156.4796254,3833.013259,7.794751648,6,USA,3064.360073
Mercedes,10.20246335,1.53545314,405.4063375,3049.664327,6.495893058,4,Germany,3149.112374
Ford,16.43232206,5.491283423,143.4730157,2967.05803,10.44986713,8,Germany,3042.43735
Honda,31.94935157,4.207285195,492.503031,3932.056451,12.5202649,4,Japan,2973.476078
Toyota,37.67580791,4.813877198,252.6465996,5547.326158,5.650957679,6,Germany,3236.712585
Chevrolet,36.07845038,2.678477585,410.0938156,3513.390327,10.22716964,4,Germany,2749.15099
BMW,18.97077238,1.557261111,237.0364331,4998.902987,7.687695119,4,Germany,3161.031522
Nissan,38.48716885,4.451478074,351.0675509,2387.274924,14.70605249,4,Japan,3912.737686
Honda,19.4899635,4.836578388,176.8064339,3904.226809,11.96408554,6,Japan,2541.103147
Toyota,23.01598793,4.461904528,158.4084077,5966.744562,12.4297647,8,USA,2747.115124
BMW,39.8596562,2.071401149,475.2256558,5081.751211,11.41537682,8,Japan,3666.553586
Ford,35.98531596,4.513711689,467.0589112,2842.113954,19.34029566,8,USA,2698.085635
Nissan,43.96893642,4.575691128,454.9875761,4005.765895,8.221026877,4,Japan,2906.921349
Toyota,36.30451569,4.134162063,350.1733801,2934.499055,12.7499639,4,Germany,3182.258386
Ford,32.73234413,4.564463731,423.3072845,3638.243709,16.04026053,6,USA,3914.743386
Toyota,13.74699071,4.883685759,127.6147748,5120.336095,13.3526662,8,USA,2775.251781
Nissan,24.70863212,3.954416457,233.9156168,5084.899261,18.93531329,4,USA,3884.626891
Chevrolet,20.60809471,1.854418856,225.4812499,2912.401512,10.66952533,4,Japan,3577.786769
Audi,19.75958574,3.450511239,354.2581288,5688.893273,11.95513709,4,USA,3506.717368
Chevrolet,48.92042219,1.810597339,242.3831094,4370.272731,6.327834728,6,Japan,3585.313786
Audi,25.72390899,3.130172124,159.4027127,3519.697164,14.13498667,8,USA,2546.869928
BMW,45.68186221,3.128425957,338.5868302,4007.742323,9.323179527,6,Japan,2648.350392
Ford,35.24554504,1.764039377,425.7535683,4420.285014,7.404635593,8,USA,3002.262293
Audi,41.79245214,2.895282136,252.8493978,4239.562127,13.16796939,8,Germany,2610.9513
Chevrolet,30.10548372,1.943992395,152.907486,3945.620142,12.98465395,4,Germany,3981.384564
Nissan,33.07615539,4.73294084,178.6752789,4019.731216,6.138074618,4,USA,3370.618312
Ford,29.70070775,5.290752104,194.9933221,2705.647642,15.4732318,4,Japan,3231.015507
Toyota,17.80971951,1.789265901,219.9590372,5250.931617,14.35658286,4,Japan,3678.267677
Audi,38.89808461,5.320460829,357.1180282,4167.04128,7.835259241,4,Japan,3965.43881
Mercedes,21.2308945,3.590306397,340.3781938,2524.319447,12.04152293,8,Germany,3932.695
Audi,10.97263866,2.698262712,378.4319446,5064.628406,15.80484375,4,Germany,3689.597327
Honda,35.81889184,1.807448301,245.0007938,5729.775914,12.94153611,4,Germany,3065.761355
Audi,17.08442718,3.502497072,429.5990608,5789.227597,10.93233614,6,Japan,2598.939237
Audi,47.61834337,4.678062178,181.6350645,3476.07093,9.835076871,6,Japan,2647.565467
Toyota,48.15714308,4.328345909,287.616299,2542.067494,14.155908,8,Japan,2501.728511
Nissan,46.59457561,1.700904046,420.3754886,4073.598507,19.08663047,8,USA,2502.854265
BMW,24.80634801,1.791607341,172.0634591,2450.436917,15.07617261,6,USA,3904.632698
Ford,10.61826466,3.111493131,143.9452455,5735.949674,6.121188555,6,USA,3890.525454
Toyota,47.1327425,2.681161976,453.4735871,2734.318509,11.9102746,4,Germany,3501.3307
Ford,27.12736593,2.429537292,237.1718651,3011.06344,18.36236197,4,Germany,3590.015086
Mercedes,48.66619276,2.624017996,373.54805,3626.546108,6.416936387,8,Japan,3269.812685
Chevrolet,48.54479908,4.713930973,110.1394417,3532.657874,19.83313568,6,USA,2856.763384
Honda,44.12037822,5.216912215,376.0187554,5178.65157,19.2360409,8,Japan,3871.577574
Mercedes,21.77795568,3.120410778,226.4405246,3825.267282,6.174117211,4,USA,2916.537201
Nissan,25.40390914,5.124444009,122.2963414,2683.07304,19.00119981,8,USA,3609.506891
Toyota,44.04546686,2.785982805,343.9251046,3068.839582,10.44698885,8,Japan,2868.153527
Honda,22.67688021,3.405747945,196.3215264,4036.453541,17.67063751,8,Japan,3805.222627
Audi,16.77970987,2.404115991,254.7228968,2589.81567,11.27575007,4,USA,3476.859152
Nissan,32.2720505,4.061904169,132.2323249,4446.622703,11.61282669,8,USA,3464.042531
Mercedes,47.44619097,5.415924461,158.8653004,4262.989226,14.51364636,4,Germany,2646.050855
Nissan,37.84119187,3.913972384,219.1908942,4858.809266,16.61716129,6,Japan,3129.203355
BMW,32.8024468,2.931256336,135.9038002,5750.818462,5.506837264,8,Japan,3287.362761
Mercedes,13.88705975,4.091269784,464.3305059,5649.018244,13.89733993,8,Japan,2941.054433
Mercedes,34.60028907,1.991682714,102.4188173,5784.302472,7.800994911,4,Japan,3821.461918
Chevrolet,49.602154,5.054636321,293.5440875,2978.862388,10.18924277,8,USA,3756.504912
BMW,15.60336061,3.512335803,149.2989833,2526.261227,10.21952999,4,Germany,3240.431369
BMW,30.73318609,3.297398968,223.0716358,3209.106802,12.0359051,8,Japan,3010.046804
Ford,45.09492288,3.843459154,470.4238239,5580.340691,10.01204618,6,USA,3702.313408
Ford,39.63074471,3.999135451,164.6778213,5888.213898,6.610416777,6,USA,2795.337171
Audi,37.88062964,1.787103225,486.3329279,5437.299804,7.184431078,6,USA,2607.274473
Honda,38.09936336,4.230468885,182.3177508,2440.070885,5.501569783,8,USA,2568.565729
Chevrolet,24.37964605,2.467726721,396.6264434,5789.711992,12.05373628,8,USA,2558.024891
Mercedes,21.74367377,4.35581053,318.670906,3693.432109,19.31671542,6,Japan,3233.332985
Nissan,42.37444622,4.790139178,453.791491,2037.241163,6.735128355,6,Japan,2882.970454
Audi,42.40453579,4.71583403,321.5973022,3769.574963,19.1939674,4,Germany,3535.562682
Chevrolet,44.68289274,3.71000387,313.8236877,2184.276679,16.00042272,4,Japan,3480.837361
Chevrolet,46.5296221,3.580679569,178.1832001,4175.511685,14.56248204,6,USA,3313.030011
Mercedes,30.45369595,2.071503845,166.4917448,3354.21611,14.67916633,6,Germany,3029.264922
Mercedes,30.06065179,4.601384602,466.5956604,3893.739734,17.40091473,8,USA,3775.684367
Honda,41.93180716,2.585637522,231.1352795,4452.681443,6.603797966,6,USA,3564.55413
Ford,35.99855723,3.486781691,248.832902,5475.204383,12.57131485,4,Japan,2907.289186
Mercedes,38.07867509,2.637096372,403.9294634,4647.606306,15.45636707,4,USA,3252.532993
Chevrolet,41.83170678,2.035313452,235.529393,3736.195474,13.80230668,4,Japan,2734.406813
Chevrolet,45.60021367,4.018230788,480.8249787,5277.711415,17.49168607,4,USA,2993.164437
Chevrolet,23.51980627,1.717328139,395.1711076,5622.32855,6.084075635,4,Germany,3995.710274
Toyota,25.02331811,4.494580937,338.971697,2479.039866,15.36051559,4,USA,2835.76633
Chevrolet,13.75927759,2.770347181,452.3580642,4127.73191,13.01041596,6,Japan,3547.453534
Chevrolet,33.13120564,1.500538772,119.8423633,3138.047839,10.68741296,4,USA,2857.627969
Mercedes,11.43769095,3.544516557,202.8250769,2188.244792,10.10412473,4,Japan,3907.201809
Nissan,28.62392073,1.687407634,286.0145337,4674.18678,14.31248949,4,Japan,2965.199267
BMW,31.70578539,2.604678231,190.7914158,5451.08311,18.36493062,4,Germany,3020.033612
Toyota,21.46165009,4.32790595,397.5620749,2651.610618,12.44263889,6,Japan,3390.78966
Chevrolet,33.63333042,1.750758486,467.6832124,5249.65463,17.37084746,8,Germany,3382.167657
BMW,11.22001,4.857353969,269.508048,5413.582934,11.03234573,8,Germany,3368.614585
Chevrolet,11.49392755,1.515279691,236.85304,5657.361771,6.535916942,8,USA,3359.882003
Honda,42.90402243,2.487295477,484.6202929,3061.140356,5.922586047,8,Germany,2968.280341
Mercedes,24.40762566,4.463616225,277.9409731,5615.812261,5.77001557,4,Japan,3151.615335
Mercedes,15.08242051,2.765080599,295.6193602,3282.651019,10.70225213,8,Japan,3390.150165
Honda,30.8897304,1.907569552,240.6599489,4209.352054,10.05856626,8,Germany,3506.905186
BMW,40.79974212,2.940935675,463.8193892,2202.029883,15.76905535,6,USA,2879.69352
Mercedes,18.6328411,2.581573146,327.5821933,2175.524353,16.14232252,6,Germany,3552.212593
Toyota,34.91561903,4.870847609,404.8698349,4881.492851,5.762809533,6,Germany,3884.914375
