Date,Car Model,Units Sold,Revenue
2022-01-01,Electric,3,170669.5661932063
2022-01-01,Truck,4,148010.7850266042
2022-01-01,Electric,8,213638.55616370623
2022-01-01,Sedan,5,128573.49033033152
2022-01-02,SUV,5,301507.093363403
2022-01-02,Truck,8,319142.1811437345
2022-01-02,Truck,2,79474.88883533905
2022-01-02,Sedan,6,407769.22127310414
2022-01-02,SUV,8,455360.99558364705
2022-01-02,Sedan,8,251178.46108333598
2022-01-02,Electric,8,274344.62116446946
2022-01-02,Sedan,6,165809.44929139083
2022-01-02,SUV,4,289498.01775980997
2022-01-02,Sedan,10,592411.6498254198
2022-01-02,Truck,7,239520.883179822
2022-01-02,Truck,7,273064.71697361954
2022-01-02,Electric,8,300650.1550381351
2022-01-02,Truck,3,201443.7177670446
2022-01-02,SUV,8,501295.2991623671
2022-01-02,Sedan,2,110332.51305725677
2022-01-02,Sedan,8,394035.9687007069
2022-01-02,Sedan,4,209563.92298140755
2022-01-02,Electric,3,102230.53340863044
2022-01-02,Truck,8,502369.06563520484
2022-01-02,SUV,10,302365.0907582786
2022-01-02,SUV,4,108431.48064135283
2022-01-02,Truck,8,442769.4211247975
2022-01-02,Electric,10,271849.1796283349
2022-01-02,Electric,5,163860.94383656397
2022-01-02,SUV,8,515960.14402221865
2022-01-02,SUV,9,506526.0243219123
2022-01-02,SUV,5,321476.0198831731
2022-01-02,SUV,1,48862.84725818128
2022-01-02,Truck,6,472445.1815022447
2022-01-02,SUV,2,115124.98407933899
2022-01-02,Electric,9,420879.4451009154
2022-01-02,Truck,5,272031.3612431903
2022-01-02,Electric,9,256035.00035618292
2022-01-02,Truck,4,291179.5747683528
2022-01-02,Truck,5,389798.83162075974
2022-01-02,Sedan,6,280309.06346556044
2022-01-02,Sedan,9,664206.2172592443
2022-01-02,Sedan,10,205930.40403006336
2022-01-02,Electric,5,349953.90792720264
2022-01-02,Sedan,1,71310.39697372039
2022-01-02,Truck,5,289799.7743622311
2022-01-02,Sedan,9,344572.61331975384
2022-01-02,Sedan,2,136681.85747385453
2022-01-02,Truck,7,313014.98726233584
2022-01-02,Truck,10,547701.3961033556
2022-01-02,SUV,10,765047.1974496951
2022-01-02,Truck,1,29233.726751859525
2022-01-02,Sedan,5,105574.63741270483
2022-01-02,SUV,4,111406.17611785684
2022-01-02,Electric,1,65454.61055995882
2022-01-02,SUV,6,121308.57439468527
2022-01-02,Sedan,3,191475.30568425043
2022-01-02,Sedan,9,607768.0580845808
2022-01-02,Truck,5,340506.23117473844
2022-01-02,Electric,9,704478.1771069218
2022-01-02,Sedan,4,309436.28420827247
2022-01-02,SUV,1,56561.076659387676
2022-01-02,Electric,3,74148.5528415413
2022-01-02,Truck,10,639570.1939367285
2022-01-02,Electric,2,72023.80367274217
2022-01-02,Sedan,3,105734.61338130254
2022-01-02,Sedan,2,113308.07804613476
2022-01-02,Truck,2,125888.91106121973
2022-01-02,Truck,9,439709.90033300256
2022-01-02,Truck,9,519960.2789984892
2022-01-02,Electric,3,217148.11853610427
2022-01-02,Electric,5,218835.6820739695
2022-01-02,Sedan,5,179170.71365414668
2022-01-02,Truck,5,370277.8169786737
2022-01-02,SUV,7,249700.3869264415
2022-01-02,SUV,9,652795.3771588246
2022-01-02,Electric,9,603023.9167265741
2022-01-02,Electric,3,144758.57497379888
2022-01-02,Truck,10,480400.7119070733
2022-01-02,SUV,5,254205.46640443907
2022-01-02,Electric,5,259496.05222531478
2022-01-02,Truck,8,630831.3263819225
2022-01-02,Sedan,2,65662.57786460436
2022-01-02,Sedan,10,368418.65874496
2022-01-02,SUV,2,45349.48825735503
2022-01-02,SUV,4,108221.36587536667
2022-01-02,Truck,10,268711.20507599384
2022-01-02,SUV,4,173602.04782916853
2022-01-02,Sedan,8,445574.65834371425
2022-01-02,SUV,9,718731.5930733925
2022-01-02,SUV,2,99828.3351923625
2022-01-02,Truck,1,60794.351192037146
2022-01-02,Truck,10,310855.3980251511
2022-01-02,Sedan,6,381974.3181361673
2022-01-02,Electric,8,367251.1746915687
2022-01-02,Truck,1,30645.887185771775
2022-01-02,Electric,1,50716.57087524966
2022-01-02,Electric,4,92420.56526802672
2022-01-02,Electric,3,66915.33551583799
2022-01-02,Sedan,5,286657.59163757367
2022-01-03,Electric,4,250285.51393013154
2022-01-03,Truck,3,127947.2592394398
2022-01-03,Electric,3,69893.55627363586
2022-01-03,Truck,6,189795.5402623096
2022-01-03,Truck,6,312492.3955865253
2022-01-03,Sedan,6,231425.15892531342
2022-01-03,Electric,2,61064.39783367977
2022-01-03,Truck,4,221162.48661219692
2022-01-03,Sedan,4,252168.5648005356
2022-01-03,SUV,10,459669.4372823455
2022-01-03,Truck,7,176398.63786016149
2022-01-03,Truck,1,70683.32780979379
2022-01-03,Sedan,10,285621.72593057767
2022-01-03,Truck,1,38053.661724638005
2022-01-03,SUV,1,24973.762966432198
2022-01-03,SUV,3,233396.03998656396
2022-01-03,Electric,7,284230.2645158265
2022-01-03,SUV,10,344077.4933280034
2022-01-03,Electric,6,350233.80325025605
2022-01-03,Electric,10,658045.3684127452
2022-01-03,Electric,4,136935.25057120743
2022-01-03,SUV,10,366562.49468926777
2022-01-03,Sedan,4,180118.8545514827
2022-01-03,Sedan,10,760710.5411970369
2022-01-03,Sedan,10,559768.0101030194
2022-01-03,Sedan,10,464112.639407875
2022-01-03,Electric,3,175769.35666925285
2022-01-03,Electric,1,40397.16528319857
2022-01-03,Electric,8,537483.6102500532
2022-01-03,Truck,3,82389.93658067833
2022-01-03,Electric,7,400394.00208111934
2022-01-03,Truck,4,244475.32171527387
2022-01-03,Electric,6,371501.5081381783
2022-01-03,Truck,10,758804.6502573704
2022-01-03,Electric,3,70843.69071764706
2022-01-03,SUV,9,431413.97528362623
2022-01-03,Sedan,3,123750.49943813223
2022-01-03,Electric,7,555345.4374976484
2022-01-03,SUV,4,134646.09890588082
2022-01-03,Sedan,3,225490.92810147075
2022-01-03,Electric,8,378472.04539401026
2022-01-03,Sedan,6,325096.47517537425
2022-01-03,Sedan,5,169045.96898800612
2022-01-03,SUV,3,127147.64840991612
2022-01-03,SUV,3,217499.5139443374
2022-01-03,Electric,8,349809.1718088022
2022-01-03,SUV,7,366521.1760651982
2022-01-03,SUV,2,56344.59209945687
2022-01-03,Truck,3,134552.65301021317
2022-01-03,SUV,8,383350.6691579975
2022-01-03,Electric,5,296259.7334805604
2022-01-03,Sedan,4,196828.54349150576
2022-01-03,Electric,7,356737.29180592607
2022-01-03,Electric,7,499106.0204959633
2022-01-03,Electric,9,712137.2707805987
2022-01-03,SUV,8,379985.4153111827
2022-01-03,SUV,3,81281.27795398202
2022-01-03,Electric,4,201479.6909627671
2022-01-03,Electric,1,29110.635150668535
2022-01-03,Truck,8,253056.61528732476
2022-01-03,Sedan,10,322033.1409629435
2022-01-03,Electric,4,128120.99580514619
2022-01-03,Sedan,4,207247.56061200367
2022-01-03,SUV,2,153436.8383422493
2022-01-03,Electric,9,477642.54273364367
2022-01-03,Electric,7,373910.36379742087
2022-01-03,Sedan,9,380949.18036021537
2022-01-03,SUV,8,561201.8376480544
2022-01-03,Sedan,7,353790.60338839696
2022-01-03,Truck,6,381974.5966447386
2022-01-03,Truck,8,263914.7332580227
2022-01-03,SUV,4,211403.9207780762
2022-01-03,Truck,7,196220.80592563158
2022-01-03,Truck,3,222398.96509397347
2022-01-03,Sedan,2,109610.70786609697
2022-01-03,Sedan,3,191781.34570623116
2022-01-03,Truck,2,134671.9754432012
2022-01-03,SUV,9,699285.8083970994
2022-01-03,Sedan,2,41302.6448803807
2022-01-03,Electric,5,249355.5894306118
2022-01-03,Truck,6,446524.2686835461
2022-01-03,Electric,4,274850.6343559603
2022-01-03,SUV,1,56278.138332849645
2022-01-03,Sedan,4,249656.93837997917
2022-01-03,Truck,5,301086.9409840479
2022-01-03,Truck,10,357591.16124714597
2022-01-03,Sedan,7,342904.42351883574
2022-01-03,SUV,2,76970.96094952978
2022-01-03,SUV,8,637687.6944636765
2022-01-04,Electric,7,341527.81082288147
2022-01-04,Sedan,1,31972.673923372662
2022-01-04,Electric,5,340275.99023155833
2022-01-04,SUV,2,86393.64860141955
2022-01-04,Truck,7,153677.68067664426
2022-01-04,Electric,4,122674.27798525846
2022-01-04,Electric,4,222589.87597980257
2022-01-04,Electric,1,58280.37326638925
2022-01-04,Sedan,6,140077.8984115475
2022-01-04,Truck,9,710254.302329918
2022-01-04,Electric,4,290847.40942557674
2022-01-04,Electric,10,250055.06953676188
2022-01-04,Sedan,7,491338.7607873424
2022-01-04,SUV,3,230387.34439612308
2022-01-04,Electric,6,472928.64860001375
2022-01-04,Truck,2,83202.29830552108
2022-01-04,SUV,4,284153.7798497205
2022-01-04,Electric,7,498656.35092956375
2022-01-04,Truck,2,68857.77179122264
2022-01-04,SUV,9,201499.79936358216
2022-01-04,Truck,3,183527.25637562998
2022-01-04,Electric,3,73303.13254140194
2022-01-04,Sedan,2,149708.1241344416
2022-01-04,Electric,1,59572.14683713618
2022-01-04,SUV,5,163487.83005455992
2022-01-04,Truck,5,284952.860194145
2022-01-04,Electric,4,101093.05513867651
2022-01-04,SUV,9,198795.31755493104
2022-01-04,Electric,2,110836.51910439032
2022-01-04,Truck,6,379284.29419222474
2022-01-04,Truck,8,298660.5628991566
2022-01-04,Sedan,7,173893.11512152082
2022-01-04,Truck,1,36181.79875405427
2022-01-04,SUV,10,662443.82274454
2022-01-04,Electric,9,661579.628211089
2022-01-04,Electric,1,39555.43029807474
2022-01-04,SUV,1,23135.982300772645
2022-01-04,Truck,8,523303.3008150935
2022-01-04,Sedan,4,175196.40668839816
2022-01-04,SUV,7,264345.95616394375
2022-01-04,SUV,9,539614.2967610657
2022-01-04,Electric,2,139520.58811579592
2022-01-04,Truck,3,206528.07396895508
2022-01-04,Sedan,4,104371.87852676184
2022-01-04,Sedan,5,113821.04855886051
2022-01-04,SUV,9,389026.0601837077
2022-01-04,Electric,5,260883.487436828
2022-01-04,SUV,2,138591.8479048527
2022-01-04,Sedan,4,180429.3701989762
2022-01-04,SUV,4,85985.12317709302
2022-01-04,SUV,2,129588.0924267254
2022-01-04,SUV,3,63657.46590114721
2022-01-04,Truck,9,719281.8410700791
2022-01-04,Sedan,1,51269.87308639316
2022-01-04,SUV,8,331313.2042165925
2022-01-04,Sedan,8,405308.307470597
2022-01-04,Sedan,2,48308.47301119066
2022-01-04,SUV,3,214545.4009015051
2022-01-04,SUV,10,460033.2315258031
2022-01-04,Sedan,5,185820.9296010674
2022-01-04,Truck,4,215869.28384369885
2022-01-04,Truck,5,222468.5043146582
2022-01-04,Electric,1,45378.48290190334
2022-01-04,Electric,10,211244.78663173827
2022-01-04,Sedan,7,174663.17735395918
2022-01-04,SUV,7,233952.11638135678
2022-01-04,Sedan,9,289366.10551784013
2022-01-04,Truck,7,262703.57314494235
2022-01-04,Truck,1,71380.23763496027
2022-01-04,SUV,3,209680.89140908176
2022-01-04,Truck,2,125750.96502364049
2022-01-04,Sedan,5,248523.05656704382
2022-01-04,Sedan,7,306702.40453128336
2022-01-04,Truck,5,347042.042360887
2022-01-04,SUV,3,208404.11318463352
2022-01-04,Electric,6,346138.6860717749
2022-01-04,SUV,10,232761.223443769
2022-01-04,Sedan,2,144409.3776598828
2022-01-04,Electric,4,150615.3034979084
2022-01-04,Electric,3,198739.44699305188
2022-01-04,Sedan,6,432300.6552436565
2022-01-04,Sedan,2,142877.72606829467
2022-01-04,Truck,5,293426.9749060338
2022-01-04,Sedan,7,149499.6348648367
2022-01-04,Truck,3,237360.55045287305
2022-01-04,Electric,9,210692.6176922777
2022-01-04,Sedan,4,279065.27953584783
2022-01-04,Sedan,4,166656.76235307776
2022-01-04,Electric,6,279034.95014304615
2022-01-04,SUV,7,281915.697784014
2022-01-04,Sedan,7,518472.7001090518
2022-01-04,SUV,6,175710.22786470898
2022-01-04,Sedan,8,466221.81435566617
2022-01-04,Sedan,6,152824.4929122712
2022-01-04,SUV,2,100358.10471689561
2022-01-04,Truck,7,350776.14092309156
2022-01-05,Sedan,7,345997.034525025
2022-01-05,Truck,7,435569.35966234695
2022-01-05,Electric,9,232584.93657199648
2022-01-05,Sedan,8,547215.6750522248
2022-01-05,Sedan,9,562545.4609692596
2022-01-05,Truck,6,179069.29410127449
2022-01-05,Truck,9,696055.2559693956
2022-01-05,Electric,6,234453.276796147
2022-01-05,Electric,5,388731.49359617557
2022-01-05,Truck,5,379868.01434309175
2022-01-05,Truck,4,295652.9790985376
2022-01-05,SUV,3,76936.49591572922
2022-01-05,Electric,1,24100.195863420337
2022-01-05,Truck,3,136787.53155208705
2022-01-05,Truck,9,674806.745971424
2022-01-05,Truck,6,290863.8670661136
2022-01-05,Sedan,7,470046.83036219503
2022-01-05,SUV,4,302834.535830755
2022-01-05,Sedan,3,153110.5427188199
2022-01-05,Sedan,3,187587.41492004562
2022-01-05,Truck,6,341938.036701028
2022-01-05,Electric,8,540415.0757826737
2022-01-05,Electric,9,341500.22963205515
2022-01-05,Sedan,1,56053.564068632506
2022-01-05,SUV,3,80034.08811238068
2022-01-05,Sedan,3,210279.49962513818
2022-01-05,Truck,3,225210.14098126267
2022-01-05,Sedan,1,58777.72197047867
2022-01-05,Electric,3,176156.47265100922
2022-01-05,Electric,4,310501.889929411
2022-01-05,Sedan,4,294248.9417535695
2022-01-05,Truck,6,204044.60556629024
2022-01-05,SUV,7,180427.17109016643
2022-01-05,Sedan,9,581340.561875607
2022-01-05,Truck,10,558184.8400476351
2022-01-05,Sedan,1,56459.04253404514
2022-01-05,Electric,2,103178.04782642298
2022-01-05,Truck,5,399593.4426979662
2022-01-05,SUV,10,578804.8316410136
2022-01-05,SUV,2,61874.85893675107
2022-01-05,Electric,10,456460.0114068971
2022-01-05,Electric,5,101766.02800851165
2022-01-05,Sedan,10,444227.0063462284
2022-01-05,Truck,8,510481.7978608679
2022-01-05,Electric,4,224023.02660621566
2022-01-05,Truck,4,256935.71138026833
2022-01-05,Truck,10,733718.4137379213
2022-01-05,SUV,3,82570.98582366134
2022-01-05,Truck,7,335891.6102420102
2022-01-05,Sedan,5,295692.187880111
2022-01-05,Sedan,3,197406.3673474992
2022-01-05,SUV,10,779012.1117311908
2022-01-05,Truck,3,125640.62608342934
2022-01-05,Truck,8,555905.4078082552
2022-01-05,Sedan,5,368578.31773983286
2022-01-05,Truck,7,319655.2772109703
2022-01-05,Electric,4,259873.89224938798
2022-01-05,Truck,9,420791.55127453426
2022-01-05,SUV,2,71618.30186446063
2022-01-05,SUV,8,607240.8890892501
2022-01-05,SUV,10,544335.3718087053
2022-01-05,Truck,10,663342.6657842309
2022-01-05,SUV,10,511268.13824496925
2022-01-05,Truck,9,694219.4466024466
2022-01-05,Truck,1,76030.38200176621
2022-01-05,Truck,1,30037.212128676165
2022-01-05,Truck,1,51831.030475739404
2022-01-05,Electric,2,138632.57837423097
2022-01-05,SUV,10,632544.8825999997
2022-01-05,SUV,9,704747.6554103153
2022-01-05,SUV,3,207188.8755541265
2022-01-05,Sedan,9,470696.8157665515
2022-01-06,SUV,10,775632.7304504147
2022-01-06,Electric,1,57845.86681147124
2022-01-06,Truck,9,395101.79648668313
2022-01-06,Truck,1,73606.42139482683
2022-01-06,Truck,10,698640.1361043672
2022-01-06,Sedan,2,123903.13096981493
2022-01-06,Sedan,4,137854.67656757584
2022-01-06,Truck,6,124592.99238201207
2022-01-06,Electric,10,777941.1435599262
2022-01-06,SUV,5,298836.9139152066
2022-01-06,SUV,5,150451.80984387628
2022-01-06,Electric,1,38648.428168086335
2022-01-06,SUV,6,443339.39151540934
2022-01-06,Sedan,9,430855.22800303664
2022-01-06,SUV,7,270351.8962486321
2022-01-06,Truck,9,555994.3546128885
2022-01-06,Sedan,10,662160.9354655419
2022-01-06,Electric,3,143945.8699205438
2022-01-06,Electric,9,454860.6446830284
2022-01-06,Sedan,4,111284.97429455532
2022-01-06,Truck,10,378481.7139551504
2022-01-06,Electric,4,155152.4497838117
2022-01-06,SUV,7,239058.28299525852
2022-01-06,SUV,6,395273.4629774954
2022-01-06,Electric,6,380057.376482203
2022-01-06,Truck,1,37001.673953431804
2022-01-06,Truck,9,239155.9319228196
2022-01-06,Sedan,9,479307.47467172483
2022-01-06,Truck,6,134684.0331444128
2022-01-06,Electric,9,493065.4749469301
2022-01-06,Sedan,2,62180.298760244696
2022-01-06,Electric,1,28458.14753642957
2022-01-06,Electric,10,505305.6082925306
2022-01-06,SUV,10,727188.9748072899
2022-01-06,Truck,6,479893.0155878036
2022-01-06,Electric,10,617551.8608248336
2022-01-06,Electric,4,274273.65479121136
2022-01-06,SUV,5,229702.19161126233
2022-01-06,Sedan,4,95318.92889319311
2022-01-06,SUV,3,214085.67696566437
2022-01-06,Truck,1,55044.02698090551
2022-01-06,Sedan,9,230464.49726919603
2022-01-06,Truck,10,244691.42016047495
2022-01-06,Electric,3,220621.1396913917
2022-01-06,SUV,8,376228.25447208085
2022-01-06,SUV,9,337986.26501779817
2022-01-06,Electric,8,300167.38625755673
2022-01-06,Electric,5,177378.096727443
2022-01-06,Sedan,8,199342.27354245176
2022-01-06,Sedan,10,268078.62013479864
2022-01-06,Truck,9,548795.6818332701
2022-01-06,SUV,8,290236.71023868397
2022-01-06,SUV,7,363038.29461216845
2022-01-06,Electric,4,225647.93310622923
2022-01-06,SUV,4,133844.6533799747
2022-01-06,Electric,2,90028.75540733172
2022-01-06,SUV,9,505724.70168960287
2022-01-06,Sedan,9,217189.13220124747
2022-01-06,Truck,4,211668.78502302436
2022-01-06,Electric,8,342877.11843295745
2022-01-06,Sedan,6,378286.83358565485
2022-01-06,Electric,10,306653.8758119443
2022-01-06,Truck,5,160374.11026121367
2022-01-06,Sedan,9,709006.957188857
2022-01-06,Truck,5,197176.57504992944
2022-01-06,Electric,6,369678.98707533925
2022-01-06,Electric,8,163305.60354297693
2022-01-06,Sedan,1,20291.35520886276
2022-01-06,Truck,5,163070.1518131305
2022-01-06,Sedan,6,268375.5559948842
2022-01-06,Truck,4,236998.9564024276
2022-01-06,Sedan,10,324070.13655100024
2022-01-06,Truck,10,439010.7931315795
2022-01-06,Truck,1,24515.837801144055
2022-01-06,SUV,4,185388.91369375275
2022-01-06,SUV,1,63303.52032329562
2022-01-07,Sedan,5,278706.9444571056
2022-01-07,Electric,8,235293.85910476831
2022-01-07,Truck,6,371433.5208146901
2022-01-07,Sedan,3,159026.69749287388
2022-01-07,Truck,7,249358.39611575013
2022-01-07,Truck,10,799686.6083144594
2022-01-07,Electric,1,29584.998668297543
2022-01-07,Electric,2,118494.07892282677
2022-01-07,Electric,4,180026.02350765408
2022-01-07,Electric,7,353109.49168810085
2022-01-07,Truck,6,281835.405351821
2022-01-07,Electric,4,229043.0441119739
2022-01-07,Electric,6,127922.59475615823
2022-01-07,Truck,6,318113.761474519
2022-01-07,SUV,5,324597.34331753606
2022-01-07,SUV,6,407513.3803555434
2022-01-07,SUV,3,172143.62070304196
2022-01-07,SUV,8,585770.1953352491
2022-01-07,SUV,5,196268.09928590883
2022-01-07,Electric,3,64465.033285225596
2022-01-07,Sedan,3,156373.03895562544
2022-01-07,Sedan,8,196402.12176303854
2022-01-07,Sedan,5,122244.93749831116
2022-01-07,Sedan,10,209954.2154274572
2022-01-07,SUV,3,173970.32829889853
2022-01-07,SUV,9,617857.1157951426
2022-01-07,Sedan,10,349870.59687591775
2022-01-07,Electric,6,142103.48144510406
2022-01-07,Truck,5,260924.67405837763
2022-01-07,Electric,6,380650.88424953434
2022-01-07,Sedan,6,249681.2142095355
2022-01-07,Electric,5,351729.462708692
2022-01-07,Sedan,4,212773.60834109888
2022-01-07,Electric,8,365540.2635693174
2022-01-07,SUV,8,467825.1976037401
2022-01-07,Truck,6,170581.50531820126
2022-01-07,Electric,9,566960.9976947054
2022-01-07,Truck,2,113319.50815096313
2022-01-07,Electric,8,505430.3007047568
2022-01-07,SUV,9,202945.95789971369
2022-01-07,Sedan,7,452438.44827781676
2022-01-07,Electric,3,154454.24715323633
2022-01-07,Truck,7,402178.490715034
2022-01-07,Sedan,4,182957.96683046417
2022-01-07,SUV,3,104766.23506041909
2022-01-07,Truck,6,160602.8281476342
2022-01-07,SUV,2,75617.04925332693
2022-01-07,SUV,1,20247.314295493077
2022-01-07,Truck,1,71615.74791643696
2022-01-07,Truck,9,472533.20186804415
2022-01-07,Electric,9,482381.2021984417
2022-01-07,Sedan,10,641269.7658721692
2022-01-07,SUV,4,114693.49536846849
2022-01-07,Sedan,4,94497.76518956212
2022-01-07,Sedan,8,463965.515142108
2022-01-07,Truck,7,334188.65078367334
2022-01-07,Electric,8,176463.99400455246
2022-01-07,Truck,4,265824.61252606264
2022-01-07,Electric,6,191607.52245619008
2022-01-07,SUV,7,207681.22520656203
2022-01-07,SUV,2,128321.92008949324
2022-01-07,Truck,7,489278.9275199872
2022-01-07,Electric,1,63857.78624867001
2022-01-07,SUV,1,42010.667273504136
2022-01-07,Truck,1,43497.62613849006
2022-01-07,Electric,6,384916.3489514094
2022-01-07,Electric,8,284200.0894919006
2022-01-07,SUV,1,30609.881615600825
2022-01-07,Sedan,10,598255.9393951842
2022-01-07,Truck,2,143949.6430400408
2022-01-07,Electric,2,118362.37792711146
2022-01-07,Truck,1,25214.811105924557
2022-01-07,SUV,2,130107.52286789556
2022-01-07,Truck,3,171064.72272468728
2022-01-07,Sedan,4,227159.0727590457
2022-01-07,Truck,10,630234.1760608885
2022-01-07,SUV,7,299738.4465809411
2022-01-07,Electric,9,411807.787941721
2022-01-07,Sedan,9,521697.48844166833
2022-01-07,Sedan,2,72244.83493151874
2022-01-07,Truck,3,152645.2278570067
2022-01-07,Electric,6,272131.54969531775
2022-01-08,Electric,3,100645.23694211879
2022-01-08,Electric,2,80436.478893453
2022-01-08,Electric,1,51590.05811993718
2022-01-08,Electric,7,396727.3042901193
2022-01-08,Sedan,9,677723.4404533206
2022-01-08,Truck,10,674476.5336030716
2022-01-08,Sedan,6,172143.71490385017
2022-01-08,Sedan,1,50646.74272211708
2022-01-08,SUV,5,292807.9384815422
2022-01-08,Truck,7,335379.8465734415
2022-01-08,SUV,7,216205.82236347423
2022-01-08,Truck,1,44805.22852333575
2022-01-08,SUV,10,613461.8421110746
2022-01-08,SUV,1,72022.48390286473
2022-01-08,SUV,4,96946.67950786282
2022-01-08,Truck,3,230458.39145638663
2022-01-08,Electric,9,182179.18995084468
2022-01-08,Electric,6,215823.47152926875
2022-01-08,Electric,10,393457.3270193483
2022-01-08,Sedan,10,240976.788049796
2022-01-08,Truck,5,300996.71873967187
2022-01-08,SUV,8,308225.73921506724
2022-01-08,Truck,1,50014.04240569478
2022-01-08,SUV,9,364929.17951633834
2022-01-08,Truck,7,529364.6197999906
2022-01-08,SUV,8,263245.4798822339
2022-01-08,Truck,10,408629.07958964864
2022-01-08,Electric,9,330789.91705562663
2022-01-08,Electric,4,82057.99474220924
2022-01-08,Electric,9,652441.9489774755
2022-01-08,Sedan,3,90474.45712414119
2022-01-08,Electric,5,222796.57137822325
2022-01-08,Electric,1,28304.564664255045
2022-01-08,Sedan,3,175877.59863575327
2022-01-08,Sedan,1,65324.37112669043
2022-01-08,Electric,9,527544.0562970759
2022-01-08,Sedan,3,123337.01432606635
2022-01-08,Truck,9,332443.7218306244
2022-01-08,SUV,6,471872.1746285622
2022-01-08,Electric,1,27169.985865837276
2022-01-08,Sedan,9,286575.9915051553
2022-01-08,Truck,7,196173.89162445004
2022-01-08,Electric,8,323276.476187713
2022-01-08,Electric,4,212495.4361306524
2022-01-08,Truck,4,208415.79515939302
2022-01-08,Truck,4,258321.7629434198
2022-01-08,Truck,3,69960.58679403493
2022-01-08,SUV,5,305634.2268799097
2022-01-08,Electric,2,66756.44843407616
2022-01-08,Truck,1,53749.581707464946
2022-01-08,Electric,10,403162.0867692032
2022-01-08,Truck,7,440104.6894778548
2022-01-08,Truck,6,156807.09991758136
2022-01-08,SUV,7,264928.98780167726
2022-01-08,SUV,4,140950.02303939036
2022-01-08,SUV,1,55799.54949425462
2022-01-08,SUV,1,26873.501600440657
2022-01-08,Electric,6,423904.828955045
2022-01-08,SUV,4,265209.34538198274
2022-01-08,Electric,1,53624.51520940115
2022-01-08,Sedan,10,609738.8043743271
2022-01-08,Electric,9,305953.9142999142
2022-01-08,Truck,9,340465.7770427855
2022-01-08,Electric,9,335172.58317141025
2022-01-08,Electric,10,493715.57422936085
2022-01-08,Truck,10,220514.79086758546
2022-01-08,SUV,3,64708.69155134284
2022-01-08,Sedan,8,258453.71929812105
2022-01-08,Sedan,10,629132.3395098628
2022-01-08,Sedan,9,466336.9408589155
2022-01-08,Truck,10,214205.24597861967
2022-01-08,Truck,7,179260.15280297954
2022-01-08,Electric,6,271842.8016267398
2022-01-08,Truck,4,245434.2769356533
2022-01-08,Electric,1,72677.0321316292
2022-01-08,Truck,5,348584.07707409223
2022-01-08,SUV,5,246666.30177250775
2022-01-08,Truck,6,301874.246861172
2022-01-08,SUV,8,573725.5464517076
2022-01-08,Truck,5,242252.05171088572
2022-01-08,Electric,8,275334.9459985075
2022-01-09,Electric,3,117068.50987762173
2022-01-09,Sedan,2,104605.67231562443
2022-01-09,Truck,5,281401.03350911266
2022-01-09,Sedan,4,236965.03506698768
2022-01-09,Sedan,7,174979.8084581056
2022-01-09,Truck,5,364306.64644653123
2022-01-09,SUV,6,145496.13499823824
2022-01-09,Sedan,2,63429.09178840631
2022-01-09,Truck,9,620403.8584278439
2022-01-09,SUV,7,384711.17604348407
2022-01-09,Truck,9,319258.9481560287
2022-01-09,Truck,2,106956.04698909787
2022-01-09,Sedan,4,301543.1672254977
2022-01-09,SUV,8,440000.2298979801
2022-01-09,Truck,2,100043.14896806679
2022-01-09,SUV,1,66095.50527893398
