Car,Horsepower
Toyota,361
Ford,172
Nissan,322
Toyota,140
Nissan,303
Lexus,363
Toyota,277
Mercedes,183
BMW,210
Mercedes,350
Kia,106
BMW,183
Mercedes,307
BMW,121
BMW,102
Chevrolet,226
Ford,396
Ford,287
Chevrolet,113
Nissan,111
Honda,186
Nissan,111
Toyota,124
Toyota,342
BMW,221
Mercedes,246
Mercedes,154
Ford,337
Audi,272
Nissan,320
Kia,218
Lexus,282
Mercedes,387
Lexus,399
BMW,181
Lexus,310
Kia,249
Chevrolet,136
Kia,158
Lexus,230
Kia,301
Honda,342
BMW,134
Nissan,192
Chevrolet,306
Mercedes,312
Toyota,258
Nissan,123
Toyota,392
BMW,103
Chevrolet,319
Ford,119
Mercedes,251
Honda,149
Ford,276
BMW,195
Nissan,204
Honda,349
Kia,216
Lexus,327
Honda,165
BMW,361
Audi,394
Lexus,342
Toyota,285
Mercedes,345
Toyota,224
Honda,367
Toyota,230
BMW,336
Kia,117
Nissan,139
Mercedes,120
Toyota,324
Toyota,381
Honda,107
Nissan,199
Ford,339
Toyota,186
BMW,397
Audi,113
Mercedes,101
Toyota,392
BMW,140
BMW,210
Mercedes,113
Ford,330
BMW,183
Audi,229
BMW,330
BMW,244
BMW,127
Kia,165
Kia,262
Ford,328
Toyota,360
BMW,263
Nissan,386
Toyota,109
Ford,294
Chevrolet,217
Toyota,369
Toyota,179
Lexus,192
Honda,365
Lexus,356
Audi,232
Kia,375
Kia,363
Honda,270
Mercedes,100
Mercedes,163
Ford,383
Honda,220
Toyota,206
Mercedes,274
BMW,303
Nissan,264
Toyota,219
Audi,143
BMW,255
BMW,306
Honda,207
Ford,350
Audi,229
Mercedes,392
Honda,119
Mercedes,381
Honda,384
Honda,100
Honda,218
Ford,134
Honda,297
Chevrolet,344
Nissan,158
Mercedes,260
Toyota,278
Lexus,305
Audi,111
Kia,375
Ford,280
Toyota,341
BMW,315
Chevrolet,350
Kia,398
Lexus,225
Toyota,316
Kia,384
Toyota,284
Chevrolet,138
Lexus,322
BMW,283
Honda,277
Mercedes,393
BMW,250
Honda,225
Ford,333
Nissan,107
Audi,228
Audi,363
Mercedes,256
Lexus,104
Chevrolet,185
Lexus,274
Chevrolet,389
Lexus,292
Nissan,218
Ford,317
Ford,213
Honda,244
Kia,125
Ford,235
Ford,331
BMW,175
BMW,388
Honda,100
Kia,246
Mercedes,386
BMW,241
Mercedes,152
Toyota,168
BMW,189
Nissan,319
Kia,291
Honda,162
Toyota,172
Kia,260
Nissan,268
Kia,188
Nissan,275
Nissan,368
Mercedes,172
Lexus,344
Toyota,176
Kia,258
Chevrolet,197
Toyota,201
Lexus,231
Toyota,201
Ford,118
Chevrolet,181
Lexus,378
Mercedes,228
Kia,188
Audi,312
Lexus,242
Honda,164
Kia,175
Lexus,298
Ford,242
Audi,192
Ford,323
Audi,390
Honda,201
Kia,366
Mercedes,209
Ford,364
Ford,102
Nissan,184
Audi,381
BMW,216
Kia,320
Audi,253
Nissan,252
Toyota,111
Audi,232
Mercedes,392
Kia,399
Nissan,327
Toyota,370
Chevrolet,142
Nissan,120
Chevrolet,206
Kia,216
Ford,223
Nissan,380
Honda,391
Chevrolet,302
Mercedes,150
Honda,370
Lexus,376
Lexus,240
Toyota,374
Ford,389
Kia,151
Nissan,126
BMW,256
Mercedes,338
Chevrolet,255
Kia,390
Honda,235
Lexus,243
Mercedes,205
BMW,257
Nissan,245
Toyota,101
BMW,176
Mercedes,231
BMW,189
Mercedes,362
Mercedes,207
Audi,173
Chevrolet,138
Lexus,258
Audi,170
Nissan,340
Audi,397
Ford,135
Ford,183
Lexus,362
BMW,271
Chevrolet,272
Lexus,146
Mercedes,240
Honda,217
Chevrolet,376
Chevrolet,313
Mercedes,319
Mercedes,125
Toyota,108
Lexus,370
Mercedes,109
Ford,220
Nissan,224
Honda,269
Lexus,171
Kia,251
Ford,307
BMW,148
Mercedes,253
Kia,392
Mercedes,167
Chevrolet,149
Ford,251
Chevrolet,118
Toyota,199
Chevrolet,159
Toyota,266
Toyota,301
Kia,245
Mercedes,263
BMW,341
Chevrolet,168
Ford,274
Toyota,148
Mercedes,207
Honda,325
Lexus,260
Kia,218
BMW,248
Audi,249
Kia,392
Honda,242
Lexus,259
Honda,110
Chevrolet,237
Toyota,177
BMW,176
Nissan,353
Toyota,357
Nissan,390
Lexus,362
Mercedes,184
Audi,245
Ford,141
Toyota,224
BMW,266
Honda,340
BMW,379
Lexus,287
Nissan,118
Honda,167
Ford,317
Ford,201
Toyota,141
Lexus,387
Mercedes,266
Lexus,208
Nissan,135
BMW,331
Ford,328
BMW,263
BMW,172
BMW,235
Ford,169
Kia,295
Chevrolet,368
Nissan,148
Kia,229
Nissan,104
Honda,126
Lexus,259
Lexus,248
Audi,363
Lexus,329
Ford,299
Mercedes,149
Toyota,166
Audi,399
Toyota,157
Nissan,358
Toyota,229
Toyota,314
Audi,271
Honda,357
BMW,201
Lexus,308
Lexus,390
Ford,385
Audi,215
Ford,363
Mercedes,249
Mercedes,399
Ford,135
Audi,386
Ford,307
Lexus,205
Kia,257
Chevrolet,220
Toyota,154
Chevrolet,111
Audi,244
Chevrolet,235
Mercedes,102
Nissan,243
Toyota,129
BMW,336
Audi,378
Toyota,214
Chevrolet,203
Mercedes,217
Honda,104
Kia,347
BMW,220
Kia,385
Toyota,248
Mercedes,183
Mercedes,330
Chevrolet,387
Lexus,260
Chevrolet,371
Lexus,137
Lexus,325
BMW,241
Chevrolet,391
Honda,250
Ford,213
Ford,336
Chevrolet,165
Chevrolet,357
Kia,348
BMW,279
Chevrolet,289
Kia,253
Lexus,295
Mercedes,361
Mercedes,242
Lexus,200
Audi,343
Kia,111
Kia,338
Lexus,148
Honda,141
Nissan,265
