Date,Brake_Counter,Stop_Counter,Cruise_Control,PTO_Time,Engine_Load,Fuel_Efficiency_kmpl
16-02-2023,37,49,0,8.196585995,85.79636806,15.31097796
17-02-2023,35,18,0,8.688545532,98.87307018,15.62438925
18-02-2023,91,27,0,4.043034668,81.58307783,13.46989077
19-02-2023,72,7,0,0.365561141,50.16675205,26.94133245
20-02-2023,83,24,0,4.227084372,94.89052997,9.574974891
21-02-2023,59,24,0,8.036696449,21.6639253,35.85261028
22-02-2023,68,40,0,0.770836232,64.359205,20.33421192
23-02-2023,7,16,1,5.055453621,3.639555879,47.60231303
24-02-2023,89,40,1,6.737395488,66.98990817,18.56545786
25-02-2023,60,25,0,3.83052937,0.635971657,41.1733021
26-02-2023,92,20,0,9.63557608,35.9717419,26.64636539
27-02-2023,79,4,0,2.56866139,66.07859113,22.52350698
28-02-2023,15,5,0,8.811919835,83.09113205,19.65021887
01-03-2023,98,2,0,7.415933749,53.70513196,24.20315729
02-03-2023,89,9,0,0.611693297,58.14895965,22.16053413
03-03-2023,22,12,0,1.109142004,69.53753462,24.72896562
04-03-2023,64,28,0,9.179390263,64.13464127,20.40707821
05-03-2023,63,12,1,8.951498794,20.85123278,34.98695288
06-03-2023,0,37,0,0.555723247,97.23249056,18.48086139
07-03-2023,24,30,0,1.118188542,35.2999204,34.19816851
08-03-2023,29,44,0,4.616279687,52.78482651,29.72268877
09-03-2023,77,22,0,8.124668908,68.83823982,18.73919597
10-03-2023,98,10,0,4.527685508,56.07721154,21.66564917
11-03-2023,9,9,1,4.615008192,82.54359191,23.6163451
12-03-2023,73,15,0,1.442625586,22.49921215,36.91034212
13-03-2023,74,34,0,0.497969118,21.25904006,33.5855641
14-03-2023,27,0,0,1.174452682,10.19262931,44.51969333
15-03-2023,25,14,0,1.40148498,53.31194921,29.95798555
16-03-2023,55,19,1,4.747698776,26.85757739,33.18782982
17-03-2023,97,46,0,9.458444592,7.894373072,33.64761253
18-03-2023,42,44,0,3.399090909,93.04593918,15.05951316
19-03-2023,34,37,1,5.864109395,99.02870282,13.00531541
20-03-2023,30,30,0,6.367613742,29.24269902,34.45727676
21-03-2023,39,27,1,7.740385713,54.51664996,28.59963076
22-03-2023,19,18,0,8.136787486,53.47827728,29.20715749
23-03-2023,78,9,0,1.179038469,35.4047028,30.14710115
24-03-2023,11,5,0,9.241868452,52.73465728,29.8376688
25-03-2023,71,24,0,2.205252218,11.88519225,37.64357644
26-03-2023,77,4,0,4.658330404,23.15876749,31.76748328
27-03-2023,61,40,0,1.667015594,92.70212769,15.39268191
28-03-2023,55,22,0,5.606035201,33.57089109,30.44174828
29-03-2023,90,41,0,9.848633081,76.84516618,13.37620927
30-03-2023,81,38,1,4.541606423,11.80856214,36.23244753
31-03-2023,15,28,0,7.822157158,66.55832269,25.06599341
01-04-2023,22,3,0,1.642654075,88.11806451,19.89140001
02-04-2023,58,29,0,8.376238031,2.147218519,39.79915701
03-04-2023,70,46,0,9.81040422,70.17590677,17.5588241
04-04-2023,47,33,0,6.213699003,70.98880005,20.90421109
05-04-2023,14,19,0,3.013774304,48.84464466,30.56603544
06-04-2023,0,43,1,8.950609928,21.04224327,38.2722591
07-04-2023,3,20,0,5.75586717,64.70448694,29.00994582
08-04-2023,80,7,0,7.822711915,6.083800523,38.19160835
09-04-2023,95,43,0,3.006689135,96.11725297,8.754583784
10-04-2023,60,4,0,8.919556234,1.070794309,40.47299704
11-04-2023,3,38,0,9.203259315,93.95052446,15.65738573
12-04-2023,92,36,0,7.072880516,10.78407627,34.54622049
13-04-2023,10,16,0,7.244324836,15.74960805,41.65140766
14-04-2023,18,15,0,5.677126939,60.88517791,28.11622528
15-04-2023,60,8,0,3.483090419,87.51128869,17.47683565
16-04-2023,76,17,0,6.553266522,37.4195065,28.1896241
17-04-2023,50,44,0,8.326780747,85.58117233,14.75209132
18-04-2023,78,47,0,9.222758426,8.54946158,33.51417504
19-04-2023,7,24,1,8.353147251,65.13597706,28.51214131
20-04-2023,46,23,0,2.504655408,58.77954577,27.7562153
21-04-2023,39,17,0,8.343708705,89.78584497,17.13382288
22-04-2023,26,48,0,1.586937041,94.66842935,15.29553434
23-04-2023,12,5,0,4.997523709,0.02992728,47.58342702
24-04-2023,26,13,1,0.623623495,31.36204153,38.46638093
25-04-2023,4,44,0,7.258716998,60.30787767,28.31941604
26-04-2023,58,46,0,5.166043739,59.51756213,22.3881619
27-04-2023,87,15,0,5.921176938,15.36777474,34.77882906
28-04-2023,2,6,0,1.881531499,84.47057801,22.26305326
29-04-2023,21,1,0,9.329542302,55.9372153,30.36700349
30-04-2023,86,23,0,4.979120946,5.910658846,37.74820292
01-05-2023,91,25,0,4.473236134,80.6558731,15.63711723
02-05-2023,82,6,0,9.88078208,0.303001077,40.29539706
03-05-2023,57,18,0,1.016198086,21.8554351,36.58889376
04-05-2023,67,27,0,6.506655986,39.54686219,28.44051683
05-05-2023,86,9,0,2.572192675,28.50299181,30.45295092
06-05-2023,19,13,0,5.085377312,47.02551806,31.05298498
07-05-2023,49,0,0,5.654849375,85.57051886,18.82644107
08-05-2023,59,8,0,2.944391852,38.31516164,32.72043471
09-05-2023,9,23,0,3.724776032,50.99201594,31.28618745
10-05-2023,21,24,0,2.632754264,29.86019518,37.48957069
11-05-2023,6,47,0,2.953473215,34.05106922,35.32210201
12-05-2023,88,36,1,3.738523873,98.78168714,11.22334124
13-05-2023,81,43,0,1.385845553,78.08843572,17.2236456
14-05-2023,47,30,0,7.659203929,40.50651484,29.671252
15-05-2023,90,26,0,2.249065454,39.8246208,26.4616078
16-05-2023,19,21,1,8.314262943,20.56750253,38.8478677
17-05-2023,63,18,0,4.206440009,31.07814145,34.42306187
18-05-2023,93,7,1,2.268407225,97.3676347,10.99612969
19-05-2023,97,9,1,9.808123194,28.04994354,31.76846412
20-05-2023,68,10,0,0.394817025,71.12565542,20.92133226
21-05-2023,3,5,1,4.849713117,93.80174629,22.52851463
22-05-2023,34,33,0,8.339855624,5.488041324,41.87033838
23-05-2023,95,35,1,8.581521974,12.11521487,32.99804237
24-05-2023,96,7,0,4.157856513,38.57922528,27.75596116
25-05-2023,56,15,0,8.45606808,81.88398163,18.69424497
26-05-2023,50,11,0,2.585143154,15.55588228,39.69734786
27-05-2023,96,36,0,4.406717151,32.79016995,27.04156558
28-05-2023,10,25,1,1.452022926,14.19269781,43.92536773
29-05-2023,51,13,0,7.676085793,66.98508555,23.49958155
30-05-2023,86,48,0,4.055183633,97.62386725,7.199476276
31-05-2023,92,47,1,5.028229873,12.02374209,33.81910014
01-06-2023,12,9,0,9.20919858,29.33283998,36.13618319
02-06-2023,13,41,0,7.704397964,75.28706148,22.34155888
03-06-2023,73,23,0,5.886475284,25.9598686,33.13069903
04-06-2023,49,41,0,2.456307291,21.3829941,34.9133264
05-06-2023,60,28,0,0.450647035,85.1371919,17.00766963
06-06-2023,39,13,0,5.843231364,26.83824301,35.04118417
07-06-2023,92,26,0,4.599560658,17.6129976,34.62644382
08-06-2023,48,20,0,2.71597551,15.75971906,40.59828343
09-06-2023,56,36,0,3.878153061,79.76858337,17.14991032
10-06-2023,22,31,0,2.452915332,1.576344979,45.86788055
11-06-2023,48,49,0,5.799606285,7.283513252,37.15459317
12-06-2023,15,18,0,6.211086329,87.36561212,21.72917109
13-06-2023,96,28,0,7.958997173,23.45525675,28.72200406
14-06-2023,12,11,1,9.883223671,3.201880769,46.71239124
15-06-2023,47,27,0,4.5407474,8.570272219,41.08001823
16-06-2023,10,12,0,0.756426564,62.4374678,28.83492766
17-06-2023,18,27,0,7.753712068,29.66805937,35.92992169
18-06-2023,18,33,0,1.519008808,69.94684566,24.27288533
19-06-2023,25,35,0,4.155574407,20.7667414,36.97242452
20-06-2023,88,46,0,6.233428387,28.3431163,28.61940311
21-06-2023,30,26,0,3.916754893,98.40384928,15.37065456
22-06-2023,85,12,0,2.406108554,15.69616584,36.41203788
23-06-2023,19,11,0,0.145241095,49.19762946,34.17764754
24-06-2023,55,2,0,9.230927866,93.19816478,14.68663016
25-06-2023,32,35,1,4.007621663,58.72678027,27.13735421
26-06-2023,42,43,0,7.744663618,73.60015295,20.30581352
27-06-2023,4,36,0,2.130420294,4.234631845,45.82789944
28-06-2023,87,47,0,1.797678607,27.45081269,29.97923124
29-06-2023,99,21,0,4.890436281,8.732846078,33.7772124
30-06-2023,20,16,0,2.124548135,88.17952098,19.6663218
01-07-2023,83,32,0,5.219552541,22.34652809,31.49065006
02-07-2023,17,4,0,0.581675672,5.309770583,46.79015544
03-07-2023,84,42,1,9.40197407,45.38609617,24.11213288
04-07-2023,45,5,0,2.025650977,74.29243992,22.07744067
05-07-2023,66,46,0,7.437756452,62.88810448,23.06108158
06-07-2023,32,26,0,6.416343357,70.36869153,23.03373367
07-07-2023,5,2,0,4.101362614,15.54624387,44.42138454
08-07-2023,93,21,0,0.214096319,8.390317092,37.1176861
09-07-2023,35,47,0,2.694627848,65.27178517,23.67662484
10-07-2023,35,29,0,0.62120948,15.66953316,39.16653612
11-07-2023,85,6,0,3.729322088,24.97197567,31.36885554
12-07-2023,74,37,0,6.96441268,97.62259684,11.37022643
13-07-2023,65,44,1,3.856222065,41.64616052,28.3434328
14-07-2023,69,17,0,5.283703641,24.87036966,34.51079994
15-07-2023,2,9,1,3.416903872,59.87509784,32.54377147
16-07-2023,15,9,0,5.851459628,7.557225406,44.77342589
17-07-2023,64,25,0,0.303697789,38.80041446,29.70995328
18-07-2023,20,13,0,0.014777042,58.45633079,29.64558663
19-07-2023,51,35,0,1.931620826,48.72313732,27.2354665
20-07-2023,87,35,0,7.922371803,42.41936622,25.47430748
21-07-2023,54,16,0,8.937584321,30.2880355,33.39575592
22-07-2023,1,47,0,0.52507883,47.97943219,33.20982501
23-07-2023,22,46,0,8.012593057,30.27014285,34.36928516
24-07-2023,86,14,0,2.612228233,15.39359923,37.00907584
25-07-2023,48,49,0,7.749274944,99.65484557,12.57197768
26-07-2023,26,15,0,4.85094109,11.49520403,43.19443241
27-07-2023,94,13,1,1.687266582,57.58336844,23.15826734
28-07-2023,11,28,0,4.864157052,80.1333893,23.29966232
29-07-2023,43,18,0,0.288379938,70.43704658,23.63638515
30-07-2023,72,15,0,0.358242094,98.13190407,13.75865241
31-07-2023,46,37,1,3.299861755,35.89330451,32.15585442
01-08-2023,75,21,1,8.40158497,35.43116523,29.8539205
02-08-2023,37,30,0,2.542768144,60.74212717,25.31181542
03-08-2023,27,26,0,7.021638304,84.07317658,19.63885107
04-08-2023,60,45,0,1.723514401,57.8986439,24.24256864
05-08-2023,45,37,1,8.237947434,21.0946461,35.70913021
06-08-2023,66,7,0,7.335966794,20.65235417,35.01440978
07-08-2023,60,28,0,9.491245548,49.33484252,25.2880041
08-08-2023,34,26,0,3.150969135,13.55728508,39.43655587
09-08-2023,82,2,0,0.904298625,20.74441698,35.69566016
10-08-2023,84,40,0,9.380959866,85.4630809,12.42440361
11-08-2023,51,11,1,6.157318953,86.05768085,17.64651088
12-08-2023,44,31,0,8.038753955,52.45514538,24.90943587
13-08-2023,6,35,0,3.103387553,9.892155457,44.02041761
14-08-2023,95,28,1,1.980650298,87.27681911,12.77451649
15-08-2023,42,47,0,0.471955456,72.51239489,21.47152161
16-08-2023,90,7,0,7.598125087,29.47605809,30.47595226
17-08-2023,34,21,0,2.798365635,85.85852144,19.61323509
18-08-2023,21,49,0,8.561964495,94.41730519,16.11435849
19-08-2023,69,6,0,9.118563801,71.25977654,20.46496245
20-08-2023,39,48,0,8.835490433,25.33915306,35.59756471
21-08-2023,43,38,0,3.72865188,69.90440369,22.07184526
22-08-2023,34,48,0,3.331146501,85.90906156,18.55723359
23-08-2023,35,1,0,6.283528053,46.53212319,32.14362013
24-08-2023,42,35,1,0.238049185,63.02312127,27.60581834
25-08-2023,62,48,0,3.911256281,20.73265611,34.04420529
26-08-2023,87,24,0,5.269796837,48.17593379,26.35253579
27-08-2023,44,0,0,2.152909946,69.74901892,25.77891793
28-08-2023,40,9,0,5.455600568,82.33456917,21.5344764
29-08-2023,46,38,0,1.373720948,49.07676263,29.01452302
30-08-2023,51,33,0,2.962432409,75.85979134,19.65187044
31-08-2023,28,23,0,5.75013903,13.26424643,40.20269686
01-09-2023,83,0,1,0.47829915,53.8945963,25.69650626
02-09-2023,59,9,0,4.075171997,31.16356642,33.5066679
03-09-2023,62,39,0,7.575318342,42.42406812,28.17118504
04-09-2023,0,2,1,6.250630023,54.55342929,30.21257036
05-09-2023,41,37,0,4.333371628,79.07447067,19.68531389
06-09-2023,55,20,0,2.708728193,11.15959536,39.37165477
07-09-2023,21,15,1,1.025796909,1.935653884,46.35906098
08-09-2023,8,17,1,4.626159803,77.36570464,24.42618775
09-09-2023,13,6,0,8.489938819,37.75936382,34.4641893
10-09-2023,30,32,0,1.025813811,42.78221655,33.13567908
11-09-2023,92,23,0,9.470995947,4.798195751,36.93572775
12-09-2023,4,5,0,9.847806749,35.29567257,36.11630439
13-09-2023,88,2,0,0.007396333,36.59390169,28.11768996
14-09-2023,95,13,1,7.824604744,39.91806194,25.75848636
15-09-2023,73,38,0,8.103645383,22.92558159,33.80952013
16-09-2023,50,9,1,7.955180815,79.41153337,19.36914032
17-09-2023,27,23,0,6.633963993,58.42689238,27.15400956
18-09-2023,15,7,1,1.492981218,3.739181883,45.94574722
19-09-2023,84,1,0,8.778931651,4.340628358,39.19773331
20-09-2023,86,31,0,3.050262134,76.01516417,16.65328067
21-09-2023,58,15,0,8.769773406,74.49488958,20.42051547
22-09-2023,92,8,1,8.526345899,1.011583177,38.88573744
23-09-2023,18,12,0,4.320455071,51.22850615,30.16384966
24-09-2023,36,21,0,8.604909901,3.990750523,42.55757539
25-09-2023,99,3,0,6.449802388,9.251277253,36.19042222
26-09-2023,29,49,0,4.127250857,33.75788353,33.39160941
27-09-2023,39,9,0,0.040726167,99.66966896,14.69666455
28-09-2023,91,6,0,0.960354922,33.28094891,29.65347605
29-09-2023,13,30,0,1.142547579,96.47120352,20.53208107
30-09-2023,6,17,1,1.715452028,8.481677086,45.14375938
01-10-2023,87,48,0,9.020340738,89.18776734,11.19405971
02-10-2023,80,9,0,4.299954403,57.00953108,23.32422066
03-10-2023,38,28,0,7.215380925,0.892684729,43.20463142
04-10-2023,51,15,0,4.042703574,48.47716413,29.48596192
05-10-2023,65,36,0,6.988852524,13.10980453,36.34639179
06-10-2023,99,32,0,6.31719965,8.392938955,33.59815835
07-10-2023,88,35,0,5.838907905,13.74771154,34.36080458
08-10-2023,73,33,1,9.14430361,48.49502725,26.86762579
09-10-2023,3,12,0,7.890798632,9.599272271,43.03088243
10-10-2023,75,32,0,1.047248206,47.59784385,25.42071451
11-10-2023,59,2,0,0.92403816,80.33483214,18.09979673
12-10-2023,19,35,1,7.728581321,11.48111537,41.62154169
13-10-2023,41,45,0,7.901765924,22.00979427,35.67472927
14-10-2023,25,21,0,9.036512363,64.79475525,25.11013872
15-10-2023,64,16,0,4.426681717,19.74284024,36.35105503
16-10-2023,16,49,0,8.775280769,2.557448291,42.26912947
17-10-2023,7,47,1,2.59508918,52.03662211,29.93346266
18-10-2023,67,6,0,1.535131179,89.24578582,16.29316385
19-10-2023,18,41,0,6.452714239,73.11345867,23.62908107
20-10-2023,50,28,1,8.864383984,9.452728808,40.12110185
21-10-2023,49,39,0,7.52335947,18.81939953,34.95268099
22-10-2023,15,22,0,7.479751345,30.96417481,37.69982361
23-10-2023,15,25,1,8.622740697,89.10158761,19.99369124
24-10-2023,2,35,0,6.26411542,68.48624004,27.18581756
25-10-2023,91,33,0,4.960138532,25.67231415,30.34711843
26-10-2023,57,48,0,8.06102313,33.1521714,31.86579162
27-10-2023,45,9,1,5.148531195,62.71768005,23.72519337
28-10-2023,20,35,0,8.987922444,72.73404119,22.59382915
29-10-2023,83,11,1,4.778213821,25.85949874,32.3967189
30-10-2023,74,14,0,6.026330372,72.2002957,18.35887265
31-10-2023,44,48,0,3.97575049,75.01423369,20.27729175
01-11-2023,99,30,1,1.281426416,11.62797598,35.29016069
02-11-2023,80,20,0,4.044946041,0.399314214,40.22265171
03-11-2023,34,14,0,3.948328233,92.40012956,17.81867917
04-11-2023,67,48,1,3.678449453,80.37778933,17.53599359
05-11-2023,66,23,0,1.255073613,31.45050401,33.04812796
06-11-2023,16,19,0,0.124013977,84.79071095,23.34832479
07-11-2023,61,40,1,4.525775217,47.61351676,29.14026137
08-11-2023,79,27,0,3.290786725,32.84422874,30.60584868
09-11-2023,55,41,0,2.151743554,75.08363844,19.22151365
10-11-2023,69,32,1,2.758743479,16.39430836,38.01451276
11-11-2023,70,37,0,1.674480854,14.07837495,36.36058749
12-11-2023,66,36,0,5.707576094,4.09529482,38.78716741
13-11-2023,85,20,0,9.773020557,70.7562528,16.84820702
14-11-2023,60,22,1,3.87848554,48.04527313,28.19628323
15-11-2023,43,29,0,7.755151662,56.1103356,25.50084372
16-11-2023,80,21,0,5.1962115,70.27947428,19.13781216
17-11-2023,87,42,0,1.105348622,32.73201424,30.18418453
18-11-2023,93,37,0,1.75935119,28.25457923,29.75901692
19-11-2023,36,40,1,7.447045649,58.44561128,23.89321722
20-11-2023,2,21,0,6.178723722,92.56238911,18.7655552
21-11-2023,31,27,0,9.415574267,54.32033547,26.26489545
22-11-2023,5,10,0,9.833154871,35.33548638,34.09740521
23-11-2023,44,33,0,5.297644121,73.51773593,21.20770793
24-11-2023,86,38,0,9.094666196,82.45326789,13.15598844
25-11-2023,30,21,1,5.623025596,50.57106393,31.79437251
26-11-2023,83,3,0,2.825969104,17.03016681,35.02594598
27-11-2023,91,28,0,0.72827444,64.47685479,21.6545693
28-11-2023,48,39,0,1.743035072,45.93306674,28.84817551
29-11-2023,57,41,0,2.347435492,42.3642531,28.84461991
30-11-2023,19,1,0,8.968342527,7.610565029,44.99870003
01-12-2023,18,3,0,5.467863055,88.59523715,18.75317635
02-12-2023,40,13,0,0.094139726,70.79286368,22.79809356
03-12-2023,15,38,0,1.220146373,59.2822666,28.33387047
04-12-2023,24,13,0,2.836207202,42.28702808,33.37138329
05-12-2023,72,3,0,6.247404879,29.46562515,32.22629846
06-12-2023,52,29,0,8.236330741,91.57271469,13.94931141
07-12-2023,67,39,1,8.811845762,86.68881306,11.75058256
08-12-2023,60,47,0,3.874906915,30.70791115,31.34267916
09-12-2023,37,32,0,9.060314618,73.50928891,20.30980624
10-12-2023,8,19,1,0.836231475,76.66388429,26.36897359
11-12-2023,94,47,0,2.741216969,36.56723001,25.25671371
12-12-2023,12,28,1,1.964913056,60.86329786,28.41920629
13-12-2023,26,38,0,5.034827875,81.55640435,21.00684034
14-12-2023,13,6,0,8.399085054,35.71893377,36.82768414
15-12-2023,45,41,0,4.725085186,52.38529922,26.30985993
16-12-2023,20,25,0,8.224414533,80.13329985,21.15993609
17-12-2023,3,23,0,4.830446918,9.460759304,45.73814582
18-12-2023,55,2,0,6.794855828,87.75576448,15.96415992
19-12-2023,53,38,0,4.341982298,47.87444229,26.9594898
20-12-2023,24,3,0,0.786987847,0.061262742,48.71542805
21-12-2023,34,6,0,8.198366039,77.4806757,22.90184194
22-12-2023,57,14,0,9.097230755,99.89552491,13.22595559
23-12-2023,19,9,1,6.274483862,68.6903772,25.51005304
24-12-2023,31,6,1,2.405061371,4.553927707,44.42100348
25-12-2023,51,26,0,6.115129908,94.05824561,14.74345325
26-12-2023,15,21,1,6.139158691,78.23022048,23.517897
27-12-2023,79,5,0,5.63005397,2.884018201,40.45418834
28-12-2023,84,1,0,8.407181933,24.37260163,33.50406305
29-12-2023,87,29,0,8.845980441,57.58211051,21.18284029
30-12-2023,27,17,0,4.11047456,16.77601212,40.41411731
31-12-2023,26,7,0,5.308836541,37.3617697,34.68583931
